text,start,end,label,score,polarity
"Hello there, YouTube.",1.36,2.44,POSITIVE,0.9984281063079834,0.9984281063079834
Michael Powers.,2.62,2.96,POSITIVE,0.9993557333946228,0.9993557333946228
"Again, I'm going to do my...",3.24,4.42,POSITIVE,0.9993031024932861,0.9993031024932861
"I decided to just do the reviews in one day, since I've gotten out to do much.",4.42,7.58,NEGATIVE,0.9951947331428528,-0.9951947331428528
"So, here we go.",8.18,9.5,POSITIVE,0.995058536529541,0.995058536529541
The long -awaited movie review of Final Destination 3.,9.74,13.22,POSITIVE,0.9687811136245728,0.9687811136245728
So here we go.,14.41,15.21,POSITIVE,0.9984473586082458,0.9984473586082458
"Now, this movie reunites the two direct creators of the first movie, Jim Wong and Glenn Morgan.",15.95,22.65,POSITIVE,0.9994251728057861,0.9994251728057861
"Jim Wong, of course, directing the third one again.",23.17,25.03,POSITIVE,0.9954153299331665,0.9954153299331665
And I was very impressed with his work on the first one.,26.14,28.12,POSITIVE,0.9998284578323364,0.9998284578323364
I thought that the first one was creative and inventive and really brought something new to cinema.,28.22,33.92,POSITIVE,0.9998155236244202,0.9998155236244202
The second one was directed by David R.,34.95,37.01,POSITIVE,0.9920920133590698,0.9920920133590698
"Ellis,",37.13,37.27,POSITIVE,0.9827725291252136,0.9827725291252136
"who's also directing the fourth one, The Final Destination, coming out once again now.",38.09,42.11,POSITIVE,0.9989233613014221,0.9989233613014221
"But the second one, it did in some ways take it to the next level, but in some ways the first one was better.",42.81,47.89,NEGATIVE,0.8435357809066772,-0.8435357809066772
So it was just about equal to the first one.,48.55,50.95,POSITIVE,0.9766347408294678,0.9766347408294678
"So here we are with the creators of the first one, Final Destination 3.",51.29,54.73,POSITIVE,0.9960429668426514,0.9960429668426514
So let's get into this review and I'll tell you why.,55.31,57.79,NEGATIVE,0.5523406267166138,-0.5523406267166138
"Well, I'll tell you what I thought of it.",58.07,59.47,POSITIVE,0.999110758304596,0.999110758304596
"So anyway, here we go.",60.13,61.51,POSITIVE,0.9033631086349487,0.9033631086349487
"Now, the plot of the movie this time, it's basically exactly the same as the first two movies, but with different characters.",61.93,66.43,NEGATIVE,0.892440140247345,-0.892440140247345
So here we go.,67.17,67.83,POSITIVE,0.9984473586082458,0.9984473586082458
Mary Elizabeth Winstead portrays Wendy Christensen and Ryan Merriman portrays Kevin Blake.,69.19,74.99,POSITIVE,0.9937964677810669,0.9937964677810669
I think that's the second name.,76.61,77.49,POSITIVE,0.5742580890655518,0.5742580890655518
I don't know.,77.61,77.81,NEGATIVE,0.9975111484527588,-0.9975111484527588
"Anyway, that's not the review.",77.93,78.61,NEGATIVE,0.9992164373397827,-0.9992164373397827
Wendy has a premonition that of course her and her friends run in the amusement park.,79.71,83.53,NEGATIVE,0.9959111213684082,-0.9959111213684082
"And she has a premonition that a roller coaster is going to crash, which of course is exactly the same as the first two.",83.97,88.89,NEGATIVE,0.9942601919174194,-0.9942601919174194
It happens.,89.01,89.53,POSITIVE,0.9995914101600647,0.9995914101600647
It crashes.,91.47,92.27,NEGATIVE,0.9995837807655334,-0.9995837807655334
She and a few other people get off the ride.,92.67,94.37,POSITIVE,0.9427853226661682,0.9427853226661682
"And then of course what happens is exactly the same as the first two,",94.91,97.63,NEGATIVE,0.9318572878837585,-0.9318572878837585
"where the death starts picking off people one by one and, you know, before they reach their final destination.",98.79,104.59,NEGATIVE,0.9995587468147278,-0.9995587468147278
And they have to try and stay alive and avoid death as much as possible.,105.73,108.55,NEGATIVE,0.9976301193237305,-0.9976301193237305
So that's the basic plot of Final Destination 3.,109.51,111.21,POSITIVE,0.7734719514846802,0.7734719514846802
"Now, by the sound of the brush plot there, you may think I hated this movie.",114.1,117.86,NEGATIVE,0.9997774958610535,-0.9997774958610535
"But you're wrong, actually.",118.64,120.12,NEGATIVE,0.9772242307662964,-0.9772242307662964
I did.,120.32,120.74,POSITIVE,0.9990059733390808,0.9990059733390808
I really liked it.,121.0,121.88,POSITIVE,0.9998458623886108,0.9998458623886108
I'll tell you why first.,122.54,123.62,POSITIVE,0.9741931557655334,0.9741931557655334
"First, I'm going to get into the acting, which was much, much better than the second one.",124.08,127.86,POSITIVE,0.9911620616912842,0.9911620616912842
The second one had wooden acting in some places.,128.26,130.78,NEGATIVE,0.9997414946556091,-0.9997414946556091
I'm sorry.,130.8,131.26,NEGATIVE,0.9996709823608398,-0.9996709823608398
"I did like the second one, but most of the actors were so, with the exception of maybe the police cop and Kimberly, but the rest of the actors were so wooden.",131.7,139.22,NEGATIVE,0.9995638728141785,-0.9995638728141785
They were just...,139.8,140.86,NEGATIVE,0.9854745864868164,-0.9854745864868164
what acting were they doing anyway?,140.86,142.3,NEGATIVE,0.9990956783294678,-0.9990956783294678
I don't know.,142.58,142.86,NEGATIVE,0.9975111484527588,-0.9975111484527588
They do seriously need to learn acting better.,143.06,144.88,NEGATIVE,0.9949671626091003,-0.9949671626091003
"Anyway, the third out one, acting was much, much better than the second one anyway.",146.53,150.75,POSITIVE,0.9856598377227783,0.9856598377227783
May or a little bit of Winstead.,151.33,152.07,POSITIVE,0.9824851751327515,0.9824851751327515
Oh my God.,152.27,152.79,NEGATIVE,0.7070452570915222,-0.7070452570915222
She is terrific.,152.89,153.73,POSITIVE,0.9998730421066284,0.9998730421066284
She's nice looking as well.,153.99,154.91,POSITIVE,0.999868631362915,0.999868631362915
But she is also a terrific actress.,154.99,156.47,POSITIVE,0.9998712539672852,0.9998712539672852
"Obviously, this is one of the best performances I've seen out of hers.",157.05,159.69,POSITIVE,0.9998462200164795,0.9998462200164795
I've not seen one bad movie that she's been in.,159.93,162.41,POSITIVE,0.9965465664863586,0.9965465664863586
"I mean, this is the only movie I've really seen with her in it.",162.51,164.43,NEGATIVE,0.9990419745445251,-0.9990419745445251
"And Die Hard 4, terrific in that.",164.71,166.35,POSITIVE,0.9998824596405029,0.9998824596405029
"But May or a little bit of Winstead, I must say, she is a terrific and beautiful and talented actress.",167.05,171.11,POSITIVE,0.9998478889465332,0.9998478889465332
"She just plays the emotion and distress of her character so well, you actually feel for her character.",171.11,176.37,POSITIVE,0.999039351940155,0.999039351940155
"You know she's going through the stress, and you feel sorry for her.",176.71,179.05,NEGATIVE,0.9991182684898376,-0.9991182684898376
You want to help her.,179.05,180.09,POSITIVE,0.9939302206039429,0.9939302206039429
"You know, who else was there?",181.21,182.15,NEGATIVE,0.9983761310577393,-0.9983761310577393
Ryan Merriman plays Kevin Blake.,182.41,184.27,POSITIVE,0.9919396042823792,0.9919396042823792
"You know,",184.63,184.83,POSITIVE,0.9876084327697754,0.9876084327697754
or whatever his surname is.,185.55,187.27,NEGATIVE,0.9654307961463928,-0.9654307961463928
"He was, you know, he was...",187.97,189.63,POSITIVE,0.8758557438850403,0.8758557438850403
"Kevin Fisher, sorry, that's his name.",189.63,190.89,NEGATIVE,0.9994757771492004,-0.9994757771492004
He plays Kevin.,191.67,192.63,POSITIVE,0.9827790856361389,0.9827790856361389
He was terrific as well.,192.71,193.83,POSITIVE,0.9998677968978882,0.9998677968978882
"Again, he was more of the emotional distress of his girlfriend, and the death of his girlfriend as well at the start of the movie.",194.15,199.11,NEGATIVE,0.9980984330177307,-0.9980984330177307
You feel for his characters as much as Wendy's.,199.11,201.49,POSITIVE,0.9988319277763367,0.9988319277763367
"You know, they were terrific as characters.",201.91,203.35,POSITIVE,0.9998600482940674,0.9998600482940674
"Those two are some of the best actresses and actors, sorry, I've seen in ages.",203.55,207.31,POSITIVE,0.9989487528800964,0.9989487528800964
"I know I'm getting a bit carried away here, but anyway.",207.81,209.73,NEGATIVE,0.9625774025917053,-0.9625774025917053
"Um,",210.41,210.77,NEGATIVE,0.9837655425071716,-0.9837655425071716
the best of the cast.,211.94,212.42,POSITIVE,0.9998564720153809,0.9998564720153809
"They were, some of them were a little bit, um,",212.62,214.28,NEGATIVE,0.9877426624298096,-0.9877426624298096
"iffy -ish, but I was very, I was very satisfied with the acting in this movie.",214.92,218.5,POSITIVE,0.9991477727890015,0.9991477727890015
It was great.,218.58,219.04,POSITIVE,0.9998749494552612,0.9998749494552612
"So, that's acting -wise done.",220.46,222.42,POSITIVE,0.9663708209991455,0.9663708209991455
"The movie in general, what did I think of it?",222.58,224.6,NEGATIVE,0.978980541229248,-0.978980541229248
I think that this is the best in the series so far.,225.92,228.1,POSITIVE,0.9997828602790833,0.9997828602790833
"I think that because Jim Wong directed the first one, he came back and took the, you might as well just forget the second one ever happened and just,",228.1,237.1,NEGATIVE,0.9966520667076111,-0.9966520667076111
"you know, I mean, this one doesn't have any references to the first two.",237.88,240.96,NEGATIVE,0.9995189905166626,-0.9995189905166626
"That's kind of, you know, it kind of like just invents a new idea and goes in another direction for the franchise.",241.82,248.32,POSITIVE,0.9892071485519409,0.9892071485519409
So I kind of like that in some ways.,249.24,251.02,POSITIVE,0.9983851909637451,0.9983851909637451
"Anyway, let's get into the movie.",251.42,252.34,NEGATIVE,0.9792100787162781,-0.9792100787162781
What did I like?,252.54,253.06,POSITIVE,0.999118983745575,0.999118983745575
What did I not like?,253.3,254.06,NEGATIVE,0.9743082523345947,-0.9743082523345947
"First of all, what did I like?",254.5,255.88,POSITIVE,0.9981202483177185,0.9981202483177185
"I really liked how the deaths, for a start, the deaths I thought were, the deaths I thought were much more realistic this time round.",256.38,265.31,POSITIVE,0.9917569756507874,0.9917569756507874
"Much more realistic than the second one, even though the second one did have some creepy deaths, but this one is a lot more gore in it, which is good.",265.91,275.32,POSITIVE,0.9996590614318848,0.9996590614318848
"What's the point of having a death if you're not going to have gore, right?",275.7,277.52,NEGATIVE,0.9970188140869141,-0.9970188140869141
"In a movie like this anyway, like a thriller horror franchise.",277.8,280.64,NEGATIVE,0.9699504971504211,-0.9699504971504211
But the deaths in this one were much more realistic this time round and they were really enjoyable to see.,281.94,287.08,POSITIVE,0.9998192191123962,0.9998192191123962
"And also, you're quite glad to see some of these characters go.",287.66,290.12,POSITIVE,0.9998316764831543,0.9998316764831543
"There was one character called, well,",290.56,292.92,NEGATIVE,0.5412952899932861,-0.5412952899932861
"there's one main actor called Texas, I think his name is.",294.87,297.07,NEGATIVE,0.9532215595245361,-0.9532215595245361
He plays this guy called Luis,297.45,300.27,POSITIVE,0.9636508822441101,0.9636508822441101
"Romero, and he's just an asshole in this movie.",301.84,304.84,NEGATIVE,0.999518632888794,-0.999518632888794
"When you see him die, you're like,",305.14,306.24,POSITIVE,0.9938250780105591,0.9938250780105591
"you know, you see him die, but, you know, again, it proves in favor of the acting because it was great.",307.85,312.97,POSITIVE,0.9997653365135193,0.9997653365135193
"But, yeah, the deaths were much more realistic this time round.",314.57,317.43,POSITIVE,0.8387550115585327,0.8387550115585327
"They weren't too over, well,",317.43,318.73,NEGATIVE,0.7198411822319031,-0.7198411822319031
not most of them weren't too over.,319.61,320.97,NEGATIVE,0.627782940864563,-0.627782940864563
"There was a couple of them that were a little silly, but most of them were not over the top, like in the second one.",321.05,325.31,NEGATIVE,0.9866572022438049,-0.9866572022438049
"They were not too silly, like in the second one.",325.59,327.47,POSITIVE,0.9899644255638123,0.9899644255638123
"And like the first one, it was to try to focus on the realisticness of it, which I liked.",327.81,332.13,POSITIVE,0.9806817173957825,0.9806817173957825
