text,start,end,label,score,polarity
"just got back from the midnight showing of Saw 5 and I have to review it before I go to sleep because I'm still excited about it, but I just want to let you guys know that the first half of this review is going to have no spoilers at all so you don't have to worry about it being ruined for you, and the second half of this video is going to have spoilers, but I will warn you beforehand so you can close out of the video, and then after you see Saw 5 you can come back and watch the spoilers.",0.08,20.5,POSITIVE,0.9457261562347412,0.9457261562347412
"Also be very wary of the comments underneath the video, I would suggest that if you haven't seen Saw 5 you shouldn't go to the comments because people are going to be commenting about the ending and stuff, so if you haven't seen Saw 5 don't check out the comments on this video either.",20.92,32.92,NEGATIVE,0.9952924251556396,-0.9952924251556396
"So hopefully you got all that, now let's talk about Saw 5.",33.48,35.62,POSITIVE,0.9917677640914917,0.9917677640914917
"Now some of you might not know this, but I was extremely excited about Saw 5.",36.02,39.44,POSITIVE,0.9990505576133728,0.9990505576133728
"Okay, all of you knew that, obviously.",39.7,41.16,POSITIVE,0.9960036873817444,0.9960036873817444
"So I was, you know, really hyped up and excited to see it, and I have to say that it was definitely better than Saw 4, not exactly what I was expecting, but it was still really really really good and it's just made me really really excited for Saw 6.",41.68,55.3,POSITIVE,0.9998366832733154,0.9998366832733154
"Now there were two plots going on in this movie, one of them was great and the other one was completely irrelevant as far as I can tell.",55.82,61.78,NEGATIVE,0.9995648264884949,-0.9995648264884949
"The great plot was with Hoffman tying up all his loose ends and stuff, and the irrelevant plot was with five random strangers, kind of like in Saw 2, who, you know, have to go through these traps and stuff, but I totally missed how it tied into the movie at all, and I'm pretty sure that's because it didn't tie into the movie at all, so that was really bizarre and I didn't care about the characters at all because they weren't, you know, introduced well really, so it was just really really strange, but luckily",62.16,87.26,NEGATIVE,0.9987521171569824,-0.9987521171569824
"Hoffman's story was really really really awesome and totally made up for that, so that's okay.",87.9,94.54,POSITIVE,0.9998714923858643,0.9998714923858643
"Of course, as everyone knows, the tagline of Saw 5 was, you won't believe how it ends, and I guess that's sort of true because I sure didn't see the end coming, I'm not gonna spoil it, don't worry, but the end was really, you know, the Saw movies are known for their big twist endings and stuff, but I thought that the best part of Saw 5 was the storyline, like in general, everything leading up to the ending.",95.22,115.6,POSITIVE,0.8841461539268494,0.8841461539268494
"The ending was not, you know, crazy shocking or anything like usual, it was not a huge Saw twist moment,",116.0,121.34,NEGATIVE,0.9976069927215576,-0.9976069927215576
"so you know, that was a little surprising, I guess.",122.72,124.48,POSITIVE,0.8570525050163269,0.8570525050163269
"That's not to say that the ending wasn't good because it really was, but it was not exactly what I was expecting, and seriously, everything leading up to the end was better than the ending, which is still good because the movie was good.",124.86,135.68,POSITIVE,0.9983845949172974,0.9983845949172974
"Saw 5 left like no closure at all at the end of the movie, and it pretty much just left the door wide open for Saw 6, which obviously is already scheduled to come out next year, so you know, we knew it was coming and everything, but man oh man, it really left the door open, it didn't even, you know, try to close it at all, like the wind isn't gonna blow it open or anything, it's just open.",136.34,152.9,NEGATIVE,0.9963667392730713,-0.9963667392730713
