text,start,end,label,score,polarity
"guys, I just saw the movie Friends with Benefits and I'm going to review it for you.",0.34,4.16,POSITIVE,0.9997621178627014,0.9997621178627014
I took some notes so I'm going to read what I wrote down.,4.42,6.84,NEGATIVE,0.9892061948776245,-0.9892061948776245
"I guess before I get into specifics,",7.4,9.16,NEGATIVE,0.9991484880447388,-0.9991484880447388
"um, I'll just say like the basic, um,",9.82,12.98,NEGATIVE,0.9818861484527588,-0.9818861484527588
overall thoughts on the movie.,13.78,14.92,POSITIVE,0.9934437274932861,0.9934437274932861
I don't really know.,15.44,16.72,NEGATIVE,0.9994800686836243,-0.9994800686836243
I don't - it's so weird.,17.02,18.68,NEGATIVE,0.985191822052002,-0.985191822052002
"I - there were times in the movie where I felt really bored and there were times that I thought it was funny and there were times that I was just sitting there after they said they're jokes and I was like,",19.02,30.66,NEGATIVE,0.9979357719421387,-0.9979357719421387
that's not - nobody's laughing.,31.57,33.15,NEGATIVE,0.9847976565361023,-0.9847976565361023
That's not funny.,33.37,33.79,NEGATIVE,0.999789297580719,-0.999789297580719
I just don't think it was very good and this is the thing.,34.11,37.47,NEGATIVE,0.9994476437568665,-0.9994476437568665
Friends with Benefits and No Strings Attached.,38.63,40.41,POSITIVE,0.997655987739563,0.997655987739563
"They are the same movie,",40.51,41.59,NEGATIVE,0.9926300048828125,-0.9926300048828125
"different ways of getting to the same point, but it's the same point.",42.27,44.55,POSITIVE,0.9926949739456177,0.9926949739456177
So I think that No Strings Attached was better than Friends with Benefits.,44.97,49.93,NEGATIVE,0.9953970313072205,-0.9953970313072205
I was not bored during No Strings Attached.,50.37,53.25,POSITIVE,0.9928625226020813,0.9928625226020813
"I thought it was very funny,",53.39,54.47,POSITIVE,0.9968544840812683,0.9968544840812683
"um,",55.15,55.15,NEGATIVE,0.9837655425071716,-0.9837655425071716
"and uh, Friends with Benefits had its moments,",56.15,59.61,POSITIVE,0.989984393119812,0.989984393119812
but it had a lot of really bad moments.,60.97,63.85,NEGATIVE,0.997314989566803,-0.997314989566803
I don't know.,65.16,65.66,NEGATIVE,0.9975111484527588,-0.9975111484527588
I'm gonna - I'm gonna go through the things that I wrote down and we'll see if I can sort of give any more information on this.,65.9,71.22,NEGATIVE,0.9990140199661255,-0.9990140199661255
Richard Jenkins is in this movie and he is one of my favorite actors ever.,72.12,75.72,POSITIVE,0.9998199343681335,0.9998199343681335
He is brilliant.,75.98,76.9,POSITIVE,0.9998832941055298,0.9998832941055298
"There is not a movie that I see him in that I don't end up crying because he is so fantastic and he just breaks your heart whenever he does, you know, a role that - usually his roles do break your heart at some point, so definitely did in this movie.",77.32,92.24,POSITIVE,0.9988139867782593,0.9988139867782593
I like teared up in Friends with Benefits because of him.,92.5,95.92,POSITIVE,0.9984127283096313,0.9984127283096313
"The lady who plays Justin Timberlake's sister, um, I thought she was very good in this movie and I thought she was just like really natural and funny and she looks like Renee Zellweger and Helen Hunt from the Twister movie and she talks like her too.",96.46,110.82,POSITIVE,0.9998015761375427,0.9998015761375427
"Does anybody else - like, if you've seen it, don't you think that she talks exactly like her?",110.98,115.08,NEGATIVE,0.9940245747566223,-0.9940245747566223
