text,start,end,label,score,polarity
"Hello again, Frank12Castle.",1.13,3.13,POSITIVE,0.9862992167472839,0.9862992167472839
"I know it's been quite a long time since I've done one of these, but I was very busy, and you all probably saw movies over Christmas that you wanted to see anyway, so I'm back.",3.67,14.35,POSITIVE,0.5004855990409851,0.5004855990409851
"Anyway, I want to go see The Green Hornet, which of course stars Seth Rogen, who also helped write the movie.",14.63,19.85,POSITIVE,0.9975589513778687,0.9975589513778687
It was directed by Mike Gondry.,20.41,21.83,POSITIVE,0.9865891933441162,0.9865891933441162
"It stars other actors such as Jay Chow, Christoph Waltz, and Cameron Diaz.",21.83,28.89,POSITIVE,0.9972201585769653,0.9972201585769653
"The Green Hornet is a radio show, like The Lone Ranger, and The Green Hornet was essentially like Batman.",31.11,39.11,NEGATIVE,0.9289442300796509,-0.9289442300796509
"He was a normal guy who used gadgets and his sidekick to help fight crime, usually the Nazis,",39.43,47.93,POSITIVE,0.9914679527282715,0.9914679527282715
but that's not what this movie was about.,48.53,50.19,NEGATIVE,0.9987154006958008,-0.9987154006958008
"The way The Green Hornet was done via Seth Rogen's point of view, it was a parody.",52.09,57.07,NEGATIVE,0.960799515247345,-0.960799515247345
"The Green Hornet,",57.61,58.47,POSITIVE,0.9099823832511902,0.9099823832511902
"his real name is Britt Reid,",59.15,60.57,POSITIVE,0.9885463714599609,0.9885463714599609
he doesn't know how to do much.,61.33,63.37,NEGATIVE,0.9997614026069641,-0.9997614026069641
"When he fights, he just brawls.",63.83,65.33,NEGATIVE,0.9887407422065735,-0.9887407422065735
He has no science behind it.,65.39,67.33,NEGATIVE,0.9981322884559631,-0.9981322884559631
"In fact, most of the work is done by Kato.",67.65,69.43,POSITIVE,0.9830077886581421,0.9830077886581421
Kato fights for The Green Hornet.,69.69,72.03,POSITIVE,0.7646368741989136,0.7646368741989136
"He makes The Black Beauty, which is the car The Green Hornet uses.",72.03,76.89,POSITIVE,0.9956374764442444,0.9956374764442444
"He makes gadgets for The Green Hornet, and he doesn't get that much recognition, but he helps out because he wants to fight for good.",77.09,82.91,POSITIVE,0.98862224817276,0.98862224817276
The movie starts off as any superhero movie would.,85.46,88.0,POSITIVE,0.9926120638847351,0.9926120638847351
"You have a character,",88.72,90.2,POSITIVE,0.9985607266426086,0.9985607266426086
"you have the main character, who has a crisis happen in his life, and then he becomes a hero.",91.22,97.14,POSITIVE,0.9981456995010376,0.9981456995010376
That is what this movie is.,97.8,98.92,POSITIVE,0.9992411136627197,0.9992411136627197
