text,start,end,label,score,polarity
"Hey little ones Lee here, and we're talking about the expendables the action movie written by Sylvester Stallone Produced by Sylvester Stallone starring Sylvester Stallone directed by Sylvester Stallone, so Yeah, Sylvester Stallone So it's gonna be an action movie obviously and you guys all know what the expendables are and if you don't basically slice a memo to all the action stars of the last 20 years and said hey show up for this movie, so most of them did and It's really what you would expect.",3.44,35.16,POSITIVE,0.9966991543769836,0.9966991543769836
It's not a compelling narrative by any means There's little to no character development all movie and yet this movie is incredibly enjoyable for action fans.,35.5,46.3,POSITIVE,0.9997560381889343,0.9997560381889343
I'll Start off kind of like you know who the characters are there's Sylvester Stallone obviously is the lead character and he leads this troop of mercenaries called the expendables and,46.5,56.14,NEGATIVE,0.9770256280899048,-0.9770256280899048
"Really, there's no",57.34,58.54,NEGATIVE,0.9990035891532898,-0.9990035891532898
Humongous tale to these guys.,59.16,60.58,POSITIVE,0.9888662695884705,0.9888662695884705
It's just a bunch of army mercs who now make a living taking jobs,60.58,64.0,NEGATIVE,0.9893496036529541,-0.9893496036529541
"this movie just follows them on one of their jobs, which is like, you know, the kind of their biggest hardest job they've had yet and",64.9,70.14,POSITIVE,0.9776214361190796,0.9776214361190796
Essentially they're to take down a tyrant out in a another nation and that's really it.,71.14,76.78,POSITIVE,0.99750155210495,0.99750155210495
Just take down this tyrant,76.8,77.94,NEGATIVE,0.9435518383979797,-0.9435518383979797
"Not a complicated story, but you know what you don't need a complicated formula for an action movie.",78.7,83.64,POSITIVE,0.989630401134491,0.989630401134491
There's a bad guy Gotta go take them out.,83.64,85.82,NEGATIVE,0.9973517656326294,-0.9973517656326294
"That's really all you need This movie essentially was made for three reasons in my opinion The first reason is the obvious just to make a exciting enjoyable action film and that's you know All that's all we needed to do and it definitely comes through on that I'll touch on why in a bit the second reason this movie was made and in my opinion the real reason is made Again, it's Sylvester Stallone telling himself.",86.04,111.22,POSITIVE,0.9988040924072266,0.9988040924072266
I've still got it I got given credit.,111.44,114.58,POSITIVE,0.9993973970413208,0.9993973970413208
He is in terrific shape for a man twice my age who looks significantly better than me That's kind of made me feel depressed.,114.98,120.62,NEGATIVE,0.9583548307418823,-0.9583548307418823
