text,start,end,label,score,polarity
YouTube it's been too long.,3.98,5.98,NEGATIVE,0.9985150694847107,-0.9985150694847107
I'm not in the shot.,6.04,7.14,NEGATIVE,0.9571388363838196,-0.9571388363838196
Yeah my ASAM,7.16,8.06,POSITIVE,0.9945671558380127,0.9945671558380127
"Okay, I have posted video because I've been busy with school I've got like four weeks left and it's been crazy trying to get final projects done and situated",9.59,19.68,NEGATIVE,0.9989593029022217,-0.9989593029022217
"But in midterms, so Anyway, I'm back to do review for you guys I have not seen draw up in hood yet So it's not a review on that and I was gonna see my Gruber this weekend and I still might so there might be a review sometime later for my Gruber review",20.42,33.52,NEGATIVE,0.9865388870239258,-0.9865388870239258
But I'm here to review Shrek forever after Which I was not excited to see and it actually surprised me,34.24,41.64,POSITIVE,0.9961807727813721,0.9961807727813721
To summarize it Shrek forever after is about Shrek,43.98,46.98,POSITIVE,0.9985508322715759,0.9985508322715759
He's in life.,47.6,48.86,POSITIVE,0.9996469020843506,0.9996469020843506
He basically his life is repetitive.,49.0,50.66,NEGATIVE,0.9994103908538818,-0.9994103908538818
"It's the same thing every day And then he realizes he just has a freakout moment and he realizes that this isn't he wants to be regular over again Blah blah blah kind of goes on He meets Rumpelstiltskin that he signs a contract for being one day as an ogre and he has to give up one day In his past, you know, like one day of his life that he wouldn't remember",50.8,71.06,NEGATIVE,0.9968286156654358,-0.9968286156654358
"Well, Rumpelstiltskin is tricky and what happens is Shrek gets transported to Daisy a ogre But then he chose Rumpelstiltskin shows the day Shrek was born so that Shrek can never say Fiona",72.32,82.88,NEGATIVE,0.8288504481315613,-0.8288504481315613
"He could be in charge of the castle of Rumpelstiltskin basically, that's it and I have to admit I",83.52,89.38,POSITIVE,0.8864470720291138,0.8864470720291138
I like Shrek.,90.69,91.75,POSITIVE,0.9997871518135071,0.9997871518135071
I do.,92.23,92.53,POSITIVE,0.9993317723274231,0.9993317723274231
I like the first two Shrek's quite a bit,92.71,94.27,POSITIVE,0.9995506405830383,0.9995506405830383
"They've become quite a bit overrated, but the first two were pretty excellent The third one was a piece of crap and that's why I was not excited about the fourth one",95.49,101.85,NEGATIVE,0.8246816992759705,-0.8246816992759705
Which actually was really good.,103.22,105.08,POSITIVE,0.9998317956924438,0.9998317956924438
I did like the fourth one quite a bit,105.08,106.6,POSITIVE,0.9986502528190613,0.9986502528190613
I,108.42,108.78,POSITIVE,0.9797317385673523,0.9797317385673523
did enjoy it reminded me of the first one.,110.64,112.74,POSITIVE,0.9998084902763367,0.9998084902763367
I had the same kind of vibe as the first one and,112.82,114.9,POSITIVE,0.6641036868095398,0.6641036868095398
It just was better.,116.38,117.76,POSITIVE,0.9989398121833801,0.9989398121833801
"Maybe it was the baby ogres Maybe bringing in the baby ogres really brought it down Because the first two were great and then they brought in the kids and it made it more kitty friendly movie The first two were kid movies, but they were had adult humor and some adults could appreciate and would go over the kids heads And this is what the fourth one kind of has the third one was more kid humor, though It didn't have that much adult humor in it",117.88,141.08,NEGATIVE,0.9886986613273621,-0.9886986613273621
"But yeah, the fourth one it does have kid humor.",141.7,144.62,POSITIVE,0.9876712560653687,0.9876712560653687
"It definitely is a kids movie, but it does have some adult humor.",144.72,147.18,POSITIVE,0.9935943484306335,0.9935943484306335
"There was a Quote in this movie that sounded so dirty coming out, but it was great",147.38,152.54,POSITIVE,0.9979051351547241,0.9979051351547241
You want to know it is?,153.39,154.39,POSITIVE,0.9958083629608154,0.9958083629608154
Yes,154.89,154.89,POSITIVE,0.9997805953025818,0.9997805953025818
It's something about a waffle hole,155.84,157.42,NEGATIVE,0.9925333261489868,-0.9925333261489868
"Am I the only one am I perverted enough to think that that sounds dirty because it totally does waffle hole It had me laughing out loud and I don't think that many of the people were laughing about it, but I was a creepy",158.18,170.6,NEGATIVE,0.9958244562149048,-0.9958244562149048
17 year old in the audience,172.3,173.94,POSITIVE,0.9950018525123596,0.9950018525123596
with her cousins who are five and four and,174.62,178.2,POSITIVE,0.9986429810523987,0.9986429810523987
Yeah,179.52,179.98,POSITIVE,0.9993269443511963,0.9993269443511963
That's what happened,181.24,182.26,NEGATIVE,0.8330453038215637,-0.8330453038215637
"But yeah, it's it's better than the third one.",183.5,186.22,POSITIVE,0.9997604489326477,0.9997604489326477
Absolutely I didn't see it in 3d because my one of my cousins doesn't like the glasses so we didn't go see it 3d and I think Judging by some of the effects they use.,186.34,194.36,NEGATIVE,0.9852961897850037,-0.9852961897850037
