text,start,end,label,score,polarity
My name is Gina and last night I saw G .I.,4.48,7.98,POSITIVE,0.896485447883606,0.896485447883606
Joe The Rise of Cobra.,8.2,9.78,POSITIVE,0.9707833528518677,0.9707833528518677
This movie is directed by Stephen Summers whose claim to fame is the Mummy franchise and he really seems to be channeling Michael Bay in this movie.,10.24,20.24,POSITIVE,0.9712086915969849,0.9712086915969849
The plot has the consistency of Swiss cheese and it's really glossed over with lots of stunning special effects and big explosions.,20.84,28.3,POSITIVE,0.9990352392196655,0.9990352392196655
All in all it's kind of a disappointment to any of us who grew up in the 80s and are used to the toys in the cartoon.,29.46,35.5,NEGATIVE,0.9997816681861877,-0.9997816681861877
I feel like it almost should have had a G rating.,35.94,39.12,NEGATIVE,0.9993759989738464,-0.9993759989738464
It was really kind of,39.76,41.48,POSITIVE,0.9931168556213379,0.9931168556213379
dumbed down for us and I hate to say that.,42.16,45.32,NEGATIVE,0.9987678527832031,-0.9987678527832031
I think you will really love this movie if you are eight,45.78,50.54,POSITIVE,0.9997727274894714,0.9997727274894714
but if you were a child who grew up in that time period you're not going to enjoy this movie very much because they aren't playing to you.,51.69,60.57,NEGATIVE,0.995745837688446,-0.995745837688446
They're playing to a new audience of kids who don't know anything about these characters in the first place.,60.69,65.47,NEGATIVE,0.9954987168312073,-0.9954987168312073
The plot involves some tiny little machines sometime in the future that can destroy cancer cells and have become weaponized and bad people are trying to steal the warheads and so a government secret group called G .I.,66.55,82.43,NEGATIVE,0.9889417290687561,-0.9889417290687561
Joe is trying to protect them from the bad guys.,82.67,85.73,NEGATIVE,0.9063904285430908,-0.9063904285430908
Channing Tatum is the lead.,86.69,88.27,POSITIVE,0.9993820190429688,0.9993820190429688
He is from the step -up movies I guess which I haven't seen and all I can say is he's a pretty average guy.,90.05,96.73,NEGATIVE,0.9749571084976196,-0.9749571084976196
I don't really feel any emotional pull from him in this movie.,97.31,100.13,NEGATIVE,0.9987838864326477,-0.9987838864326477
Even a scene where he proposes to his girlfriend in a flashback he barely bats an eye.,100.63,105.81,NEGATIVE,0.894862949848175,-0.894862949848175
His best friend is played by Marlon Wayans.,106.33,109.39,POSITIVE,0.9975380897521973,0.9975380897521973
He plays Ripcord.,109.55,110.49,NEGATIVE,0.7935938835144043,-0.7935938835144043
