text,start,end,label,score,polarity
"guys, welcome to Tuesday on the Rough Cuts.",0.3,3.22,POSITIVE,0.9919473528862,0.9919473528862
"I just want to say that I love you,",3.4,4.98,POSITIVE,0.9998090863227844,0.9998090863227844
I have something in my mouth.,6.42,7.78,POSITIVE,0.9689725041389465,0.9689725041389465
"Hey guys, welcome to Tuesday on the Rough Cuts.",8.63,11.55,POSITIVE,0.9957042336463928,0.9957042336463928
"I'm the Lindsey Bue, aka Lindsey Brace, here on YouTube.",12.09,15.87,NEGATIVE,0.9758543372154236,-0.9758543372154236
"Tuesdays is my day, although Brock did a unique movie last Tuesday.",16.85,22.95,POSITIVE,0.9901425838470459,0.9901425838470459
"But I want to talk to you about a movie called I Love You, Philip Morris.",23.15,27.69,POSITIVE,0.9995939135551453,0.9995939135551453
"Now, I had no idea how good this movie was going to be.",28.39,32.37,POSITIVE,0.965001106262207,0.965001106262207
"I shouldn't say it's not like amazingly going to win some awards good, but it's such a feel -good comedy based on a real story.",33.57,42.93,POSITIVE,0.9995819926261902,0.9995819926261902
"It's based on Steven Russell,",43.87,47.27,POSITIVE,0.9962878227233887,0.9962878227233887
"is the guy's real name, who was portrayed by Jim Carrey in the movie.",48.44,51.88,POSITIVE,0.9972303509712219,0.9972303509712219
It's about a con artist.,53.0,55.28,POSITIVE,0.9963529109954834,0.9963529109954834
He turned like he has everything a guy could dream of.,56.7,60.36,POSITIVE,0.9985128045082092,0.9985128045082092
"He's got a wife, a beautiful daughter, and then he realizes that, well, he's gay.",60.42,66.76,NEGATIVE,0.9155728816986084,-0.9155728816986084
"And in order to keep up with his extravagant new lifestyle,",67.74,73.24,POSITIVE,0.9952070116996765,0.9952070116996765
he decides to go con.,73.92,76.1,NEGATIVE,0.9981303811073303,-0.9981303811073303
"He becomes a con man, and he's very good at it.",76.8,79.94,POSITIVE,0.9998356103897095,0.9998356103897095
"Now, the real Steven Russell has like an IQ of like 163,",79.94,83.92,NEGATIVE,0.9585407376289368,-0.9585407376289368
"which is like,",84.86,85.78,POSITIVE,0.9887921214103699,0.9887921214103699
"wow, genius.",86.81,87.85,POSITIVE,0.9998016953468323,0.9998016953468323
"I mean, some people, like James Woods, I believe his IQ is 180 or something like that.",88.13,94.61,NEGATIVE,0.9936515092849731,-0.9936515092849731
"But I Love You, Philip Morris stars Jim Carrey,",95.03,97.77,POSITIVE,0.9998600482940674,0.9998600482940674
