text,start,end,label,score,polarity
"Hey little ones, Lee here, and I'm doing a movie review for Ridley Scott's adaptation of Robin Hood, starring Russell Crowe.",3.76,11.6,POSITIVE,0.9914371371269226,0.9914371371269226
"First thing I gotta say, right off the bat, I was dreading going in to see this movie.",12.82,16.8,NEGATIVE,0.9971812963485718,-0.9971812963485718
The trailers weren't really doing it much for me.,17.5,19.6,NEGATIVE,0.9996737241744995,-0.9996737241744995
"It seemed like they were focusing too much on epic than, you know, character development of this timeless tale that is Robin Hood.",19.7,25.44,NEGATIVE,0.9997852444648743,-0.9997852444648743
And also just these reviews I was reading about it.,26.1,28.46,POSITIVE,0.9983716607093811,0.9983716607093811
"I mean, I think the most generous review I read gave it 2 out of 5.",28.58,31.84,POSITIVE,0.9796531200408936,0.9796531200408936
So I really was not looking forward to seeing this movie.,31.84,35.5,NEGATIVE,0.9985371828079224,-0.9985371828079224
"But I gotta say, maybe my expectations were lowered by these other reviews I read, but I didn't mind it, to be honest with you.",36.76,44.36,NEGATIVE,0.9665460586547852,-0.9665460586547852
"I know it's been really just getting nailed to the cross as far as, you know, movies going on at a film festival right now.",45.22,51.6,NEGATIVE,0.9919556379318237,-0.9919556379318237
But I didn't find it all that bad.,51.76,54.26,POSITIVE,0.8697761297225952,0.8697761297225952
I didn't find all that good.,54.42,55.44,NEGATIVE,0.9996877908706665,-0.9996877908706665
"Like I said, maybe my expectations were lowered because of all these reviews, but I really didn't hate it.",55.44,62.12,POSITIVE,0.9836926460266113,0.9836926460266113
"I guess we'll start right off, like, what people could hate about this movie.",63.52,67.08,NEGATIVE,0.9951512813568115,-0.9951512813568115
"There are some negatives, to say the least.",67.24,69.18,NEGATIVE,0.9990071654319763,-0.9990071654319763
"Really, first and foremost, it just lacked the charm of these past Robin Hood movies that we know.",71.76,77.52,NEGATIVE,0.9997594952583313,-0.9997594952583313
"I mean,",77.76,77.94,NEGATIVE,0.9875812530517578,-0.9875812530517578
"there was the classic Disney version, which everyone watched when there were kids.",78.56,82.14,POSITIVE,0.9934321045875549,0.9934321045875549
"There's Men in Tights, which, you know,",83.2,85.12,NEGATIVE,0.890160858631134,-0.890160858631134
hilarious spoof of the story.,85.88,87.02,POSITIVE,0.9998849630355835,0.9998849630355835
"There was a Kevin Costner, Prince of Thieves version, which was supposed to be the dark and edgy version of its time.",87.66,93.0,NEGATIVE,0.9920923113822937,-0.9920923113822937
"But I mean, that was, what,",93.28,94.38,NEGATIVE,0.9896496534347534,-0.9896496534347534
13 years ago?,95.1,95.88,NEGATIVE,0.9787762761116028,-0.9787762761116028
14 years ago?,96.14,96.8,NEGATIVE,0.978303849697113,-0.978303849697113
Probably more than that.,96.88,97.6,POSITIVE,0.9966768026351929,0.9966768026351929
"So,",98.06,98.5,POSITIVE,0.5736933350563049,0.5736933350563049
"maybe in Hollywood's eyes it was time for a remake, and it just lacked the charm of those past movies.",99.2,105.65,NEGATIVE,0.9997996687889099,-0.9997996687889099
"It did seem to focus too much on epic, epic, epic, and it really just lacked what made the other movies more enjoyable.",105.65,115.53,NEGATIVE,0.999777615070343,-0.999777615070343
"It suffers from what I call Kingdom of Heaven Syndrome, where it builds too much for these huge, catastrophic war sequences.",115.75,123.63,NEGATIVE,0.9996830224990845,-0.9996830224990845
"They're supposed to blow you away, but the problem is you don't give a damn, because it just lacks that charm of the past movies.",124.01,132.57,NEGATIVE,0.9997591376304626,-0.9997591376304626
"Not in all instances, but the ones that matter the most,",132.57,136.81,POSITIVE,0.9685702919960022,0.9685702919960022
yeah.,137.85,137.85,POSITIVE,0.9995235204696655,0.9995235204696655
Russell Crowe and Cate Blanchett just did not sell it for me.,138.53,142.57,NEGATIVE,0.9996731281280518,-0.9996731281280518
I had a very hard time just buying it.,142.71,146.51,NEGATIVE,0.999409556388855,-0.999409556388855
"We're supposed to believe that these two are in their mid -30s at the oldest,",147.21,152.99,NEGATIVE,0.9765807390213013,-0.9765807390213013
and they're looking pretty rough in this movie.,153.65,157.33,NEGATIVE,0.9994890689849854,-0.9994890689849854
"Like, okay, yes, Russell Crowe's Robin Hood is a crusader.",157.33,160.59,POSITIVE,0.9826935529708862,0.9826935529708862
He just got back from the crusades.,160.69,161.81,NEGATIVE,0.8736972212791443,-0.8736972212791443
"I can appreciate that he's not going to be looking like a chipper, bright young man, but early 30s, really?",161.95,169.38,POSITIVE,0.677625298500061,0.677625298500061
You want me to buy that?,169.7,170.74,NEGATIVE,0.9888476133346558,-0.9888476133346558
I can't do it.,171.5,172.56,NEGATIVE,0.9995338916778564,-0.9995338916778564
"Especially when he's hanging out with the Merry Men, who all but one of them are probably early 20s, and one of them is maybe mid -20s.",172.92,182.6,NEGATIVE,0.9576454162597656,-0.9576454162597656
"Meanwhile, they're hanging out with Papa Russell.",182.6,184.78,POSITIVE,0.808698832988739,0.808698832988739
"It just looks like there's a bunch of guys hanging out, and someone brought their dad along because he offered to drive.",185.02,189.2,NEGATIVE,0.9940181970596313,-0.9940181970596313
