id,start,end,word
6Egk_28TtTM,0.370,0.910,Hi
6Egk_28TtTM,0.910,1.430,"everybody,"
6Egk_28TtTM,1.970,2.150,my
6Egk_28TtTM,2.150,2.410,name
6Egk_28TtTM,2.410,2.590,is
6Egk_28TtTM,2.590,2.990,Anthony
6Egk_28TtTM,2.990,3.350,Ronda
6Egk_28TtTM,3.350,3.710,from
6Egk_28TtTM,3.710,3.970,Kids
6Egk_28TtTM,3.970,4.290,First.
6Egk_28TtTM,4.790,5.030,I
6Egk_28TtTM,5.030,5.230,just
6Egk_28TtTM,5.230,5.450,got
6Egk_28TtTM,5.450,5.810,finished
6Egk_28TtTM,5.810,6.110,watching
6Egk_28TtTM,6.110,6.390,an
6Egk_28TtTM,6.390,6.990,excellent
6Egk_28TtTM,6.990,7.490,movie
6Egk_28TtTM,7.490,7.850,called
6Egk_28TtTM,7.850,8.350,Mars
6Egk_28TtTM,8.350,8.650,Needs
6Egk_28TtTM,8.650,9.130,Moms.
6Egk_28TtTM,9.950,10.170,This
6Egk_28TtTM,10.170,10.470,movie
6Egk_28TtTM,10.470,10.790,is
6Egk_28TtTM,10.790,11.030,all
6Egk_28TtTM,11.030,11.450,about
6Egk_28TtTM,11.450,12.010,"Milo,"
6Egk_28TtTM,12.370,12.450,who
6Egk_28TtTM,12.450,12.670,goes
6Egk_28TtTM,12.670,12.890,on
6Egk_28TtTM,12.890,13.110,a
6Egk_28TtTM,13.110,13.410,big
6Egk_28TtTM,13.410,14.150,"adventure,"
6Egk_28TtTM,14.590,15.030,to
6Egk_28TtTM,15.030,15.390,help
6Egk_28TtTM,15.390,15.650,his
6Egk_28TtTM,15.650,16.070,mother
6Egk_28TtTM,16.070,17.390,get
6Egk_28TtTM,17.390,17.710,away
6Egk_28TtTM,17.710,18.030,from
6Egk_28TtTM,18.030,18.250,the
6Egk_28TtTM,18.250,18.610,aliens.
6Egk_28TtTM,20.600,20.800,The
6Egk_28TtTM,20.800,21.260,aliens
6Egk_28TtTM,21.260,21.680,aren't
6Egk_28TtTM,21.680,22.020,really
6Egk_28TtTM,22.020,22.300,good
6Egk_28TtTM,22.300,22.820,"mothers,"
6Egk_28TtTM,23.500,23.900,so
6Egk_28TtTM,23.900,24.300,that's
6Egk_28TtTM,24.300,24.640,why
6Egk_28TtTM,24.640,24.860,they
6Egk_28TtTM,24.860,25.120,look
6Egk_28TtTM,25.120,25.640,down
6Egk_28TtTM,25.640,27.240,at
6Egk_28TtTM,27.240,27.620,Earth
6Egk_28TtTM,27.620,28.220,to
6Egk_28TtTM,28.220,28.520,find
6Egk_28TtTM,28.520,28.940,good
6Egk_28TtTM,28.940,29.480,mothers
6Egk_28TtTM,29.480,30.080,to
6Egk_28TtTM,30.080,30.340,take
6Egk_28TtTM,30.340,30.600,care
6Egk_28TtTM,30.600,30.800,of
6Egk_28TtTM,30.800,30.940,the
6Egk_28TtTM,30.940,31.320,alien
6Egk_28TtTM,31.320,31.760,siblings.
6Egk_28TtTM,33.100,33.440,And
6Egk_28TtTM,33.440,33.760,my
6Egk_28TtTM,33.760,34.120,favorite
6Egk_28TtTM,34.120,34.900,characters
6Egk_28TtTM,34.900,35.320,in
6Egk_28TtTM,35.320,35.440,the
6Egk_28TtTM,35.440,35.800,movie
6Egk_28TtTM,35.800,36.140,would
6Egk_28TtTM,36.140,36.460,have
6Egk_28TtTM,36.460,36.660,to
6Egk_28TtTM,36.660,37.520,be
6Egk_28TtTM,37.520,37.940,"Milo,"
6Egk_28TtTM,38.580,39.040,Milo's
6Egk_28TtTM,39.040,39.300,"mother,"
6Egk_28TtTM,39.900,40.060,and
6Egk_28TtTM,40.060,40.280,Gribble.
6Egk_28TtTM,40.840,41.120,I
6Egk_28TtTM,41.120,41.500,liked
6Egk_28TtTM,41.500,42.140,Gribble
6Egk_28TtTM,42.140,42.580,because
6Egk_28TtTM,42.580,42.920,he
6Egk_28TtTM,42.920,43.400,helped
6Egk_28TtTM,43.400,44.240,Milo
6Egk_28TtTM,44.240,45.220,get
6Egk_28TtTM,46.080,47.660,Milo's
6Egk_28TtTM,47.660,48.120,mother
6Egk_28TtTM,48.120,48.940,away
6Egk_28TtTM,48.940,49.220,from
6Egk_28TtTM,49.220,49.420,the
6Egk_28TtTM,49.420,49.860,"aliens,"
6Egk_28TtTM,50.500,50.880,which
6Egk_28TtTM,50.880,51.360,I
6Egk_28TtTM,51.360,51.740,thought
6Egk_28TtTM,51.740,52.340,was
6Egk_28TtTM,52.340,53.100,awesome.
6Egk_28TtTM,54.180,54.580,And
6Egk_28TtTM,54.580,55.020,my
6Egk_28TtTM,55.020,55.380,favorite
6Egk_28TtTM,55.380,55.720,part
6Egk_28TtTM,55.720,55.960,in
6Egk_28TtTM,55.960,56.080,the
6Egk_28TtTM,56.080,56.420,movie
6Egk_28TtTM,56.420,57.160,was
6Egk_28TtTM,57.160,58.660,when
6Egk_28TtTM,58.750,59.350,Milo
6Egk_28TtTM,59.350,59.990,had
6Egk_28TtTM,59.990,60.490,to
6Egk_28TtTM,60.490,60.890,save
6Egk_28TtTM,60.890,61.370,"Gribble,"
6Egk_28TtTM,61.990,62.910,because
6Egk_28TtTM,62.910,63.390,the
6Egk_28TtTM,63.390,63.830,aliens
6Egk_28TtTM,63.830,64.070,in
6Egk_28TtTM,64.070,64.190,the
6Egk_28TtTM,64.190,64.790,uniforms
6Egk_28TtTM,64.790,65.270,were
6Egk_28TtTM,65.270,65.430,going
6Egk_28TtTM,65.430,65.590,to
6Egk_28TtTM,65.590,65.950,shoot
6Egk_28TtTM,65.950,66.510,Gribble.
6Egk_28TtTM,67.780,68.000,And
6Egk_28TtTM,68.000,68.640,when
6Egk_28TtTM,68.640,68.800,they
6Egk_28TtTM,68.800,68.980,were
6Egk_28TtTM,68.980,69.280,about
6Egk_28TtTM,69.280,69.540,to
6Egk_28TtTM,69.540,69.760,shoot
6Egk_28TtTM,69.760,70.220,"Gribble,"
6Egk_28TtTM,70.660,70.820,Milo
6Egk_28TtTM,70.820,72.040,came
6Egk_28TtTM,72.270,72.590,"in,"
6Egk_28TtTM,73.050,73.570,swung
6Egk_28TtTM,73.570,74.090,"in,"
6Egk_28TtTM,74.310,74.690,and
6Egk_28TtTM,74.690,74.990,then
6Egk_28TtTM,74.990,76.170,saved
6Egk_28TtTM,76.170,76.430,the
6Egk_28TtTM,76.430,76.650,day.
6Egk_28TtTM,77.720,78.100,And
6Egk_28TtTM,78.100,79.240,there
6Egk_28TtTM,79.240,79.520,are
6Egk_28TtTM,79.520,79.820,some
6Egk_28TtTM,79.820,80.260,bad
6Egk_28TtTM,80.260,81.120,people
6Egk_28TtTM,81.120,81.480,in
6Egk_28TtTM,81.480,81.660,this
6Egk_28TtTM,81.660,82.060,"movie,"
6Egk_28TtTM,82.900,83.140,and
6Egk_28TtTM,83.140,83.420,that
6Egk_28TtTM,83.420,83.660,is
6Egk_28TtTM,83.660,83.800,the
6Egk_28TtTM,83.800,84.240,aliens
6Egk_28TtTM,84.240,84.520,in
6Egk_28TtTM,84.520,84.660,the
6Egk_28TtTM,84.660,85.200,uniforms.
6Egk_28TtTM,86.100,86.360,They
6Egk_28TtTM,86.360,86.540,are
6Egk_28TtTM,86.540,86.840,bad
6Egk_28TtTM,86.840,87.180,because
6Egk_28TtTM,87.180,87.460,they
6Egk_28TtTM,87.460,87.840,listen
6Egk_28TtTM,87.840,88.180,to
6Egk_28TtTM,88.180,88.380,the
6Egk_28TtTM,88.380,88.920,supervisor.
6Egk_28TtTM,89.580,89.760,The
6Egk_28TtTM,89.760,90.360,supervisor
6Egk_28TtTM,90.360,90.940,wants
6Egk_28TtTM,90.940,91.660,everything
6Egk_28TtTM,91.660,92.220,around
6Egk_28TtTM,92.220,92.620,here.
6Egk_28TtTM,93.060,93.340,She
6Egk_28TtTM,93.340,93.680,doesn't
6Egk_28TtTM,93.680,93.860,care
6Egk_28TtTM,93.860,94.140,about
6Egk_28TtTM,94.140,94.800,anything
6Egk_28TtTM,94.800,95.400,anyone
6Egk_28TtTM,95.400,95.820,ever
6Egk_28TtTM,95.820,96.260,says.
6Egk_28TtTM,97.360,97.780,And
6Egk_28TtTM,97.780,98.280,I
6Egk_28TtTM,98.280,98.500,would
6Egk_28TtTM,98.500,99.100,recommend
6Egk_28TtTM,99.100,99.540,this
6Egk_28TtTM,99.540,99.880,movie
6Egk_28TtTM,99.880,100.380,for
6Egk_28TtTM,100.380,100.820,ages
6Egk_28TtTM,100.820,101.320,3
6Egk_28TtTM,101.320,101.500,and
6Egk_28TtTM,101.500,101.860,"up,"
6Egk_28TtTM,102.940,103.560,because
6Egk_28TtTM,103.560,104.320,it
6Egk_28TtTM,104.320,104.700,is
6Egk_28TtTM,104.700,104.860,a
6Egk_28TtTM,104.860,105.080,good
6Egk_28TtTM,105.080,105.620,"movie,"
6Egk_28TtTM,106.400,106.620,and
6Egk_28TtTM,106.620,106.860,it
6Egk_28TtTM,106.860,107.300,depends
6Egk_28TtTM,107.300,107.880,what
6Egk_28TtTM,107.880,108.300,age
6Egk_28TtTM,108.300,108.620,you
6Egk_28TtTM,108.620,108.940,are
6Egk_28TtTM,108.940,109.380,and
6Egk_28TtTM,109.380,109.740,how
6Egk_28TtTM,109.940,111.900,you
6Egk_28TtTM,111.900,112.400,see
6Egk_28TtTM,112.400,113.300,the
6Egk_28TtTM,113.300,113.700,movie.
6Egk_28TtTM,114.790,115.570,For
6Egk_28TtTM,115.570,116.170,"example,"
6Egk_28TtTM,116.890,117.010,my
6Egk_28TtTM,117.010,117.310,brother
6Egk_28TtTM,117.310,117.730,is
6Egk_28TtTM,117.730,118.190,5
6Egk_28TtTM,118.190,118.430,years
6Egk_28TtTM,118.430,118.970,"old,"
6Egk_28TtTM,119.530,119.850,and
6Egk_28TtTM,119.850,120.130,he
6Egk_28TtTM,120.130,120.410,didn't
6Egk_28TtTM,120.410,120.650,think
6Egk_28TtTM,120.650,120.850,this
6Egk_28TtTM,120.850,121.130,movie
6Egk_28TtTM,121.130,121.350,was
6Egk_28TtTM,121.350,121.670,scary
6Egk_28TtTM,121.670,121.990,at
6Egk_28TtTM,121.990,122.330,all.
6Egk_28TtTM,122.520,123.380,I
6Egk_28TtTM,123.380,123.620,am
6Egk_28TtTM,123.620,123.900,8
6Egk_28TtTM,123.900,124.140,years
6Egk_28TtTM,124.140,124.660,"old,"
6Egk_28TtTM,125.060,125.380,and
6Egk_28TtTM,125.380,125.660,I
6Egk_28TtTM,125.660,125.940,thought
6Egk_28TtTM,125.940,126.160,it
6Egk_28TtTM,126.160,126.560,was
6Egk_28TtTM,126.560,127.000,really
6Egk_28TtTM,127.000,128.040,kind
6Egk_28TtTM,128.040,128.280,of
6Egk_28TtTM,128.280,128.620,scary.
6Egk_28TtTM,129.600,130.040,And
6Egk_28TtTM,130.040,130.780,that
6Egk_28TtTM,130.780,131.120,was
6Egk_28TtTM,131.120,131.380,my
6Egk_28TtTM,131.380,131.880,example.
6Egk_28TtTM,133.070,133.410,And
6Egk_28TtTM,133.410,134.650,I
6Egk_28TtTM,134.650,135.390,think
6Egk_28TtTM,135.390,136.630,why
6Egk_28TtTM,136.630,136.850,I
6Egk_28TtTM,136.850,136.990,would
6Egk_28TtTM,136.990,137.170,be
6Egk_28TtTM,137.170,137.570,scared
6Egk_28TtTM,137.570,138.290,is
6Egk_28TtTM,138.290,138.710,because
6Egk_28TtTM,138.710,139.130,I
6Egk_28TtTM,139.130,139.330,would
6Egk_28TtTM,139.330,139.750,feel
6Egk_28TtTM,139.750,140.810,scared
6Egk_28TtTM,140.810,141.290,and
6Egk_28TtTM,141.290,141.810,kind
6Egk_28TtTM,141.810,142.130,of
6Egk_28TtTM,142.130,142.470,sad
6Egk_28TtTM,142.470,142.770,if
6Egk_28TtTM,142.770,142.890,I
6Egk_28TtTM,142.890,143.190,lost
6Egk_28TtTM,143.190,143.450,my
6Egk_28TtTM,143.450,143.710,own
6Egk_28TtTM,143.710,144.050,mother.
6Egk_28TtTM,144.890,145.310,But
6Egk_28TtTM,145.310,145.550,it
6Egk_28TtTM,145.550,145.770,all
6Egk_28TtTM,145.770,146.050,turns
6Egk_28TtTM,146.050,146.350,out
6Egk_28TtTM,146.350,146.690,great
6Egk_28TtTM,146.690,146.950,in
6Egk_28TtTM,146.950,147.110,the
6Egk_28TtTM,147.110,147.390,end.
6Egk_28TtTM,148.000,148.720,Go
6Egk_28TtTM,148.720,148.940,out
6Egk_28TtTM,148.940,149.160,and
6Egk_28TtTM,149.160,149.380,see
6Egk_28TtTM,149.380,149.600,this
6Egk_28TtTM,149.600,150.100,movie
6Egk_28TtTM,150.100,150.940,when
6Egk_28TtTM,150.940,151.140,it
6Egk_28TtTM,151.140,151.660,premieres
6Egk_28TtTM,151.660,151.960,on
6Egk_28TtTM,151.960,152.460,Disney
6Egk_28TtTM,152.460,153.000,DVD.
6Egk_28TtTM,154.600,155.120,Looks
6Egk_28TtTM,155.120,155.420,like
6Egk_28TtTM,155.420,155.560,we
6Egk_28TtTM,155.560,155.600,are
6Egk_28TtTM,155.600,155.860,done.
6Egk_28TtTM,156.200,156.420,Bye.
