id,start,end,word
Bfr499ggo-0,0.270,1.030,Let's
Bfr499ggo-0,1.030,1.350,talk
Bfr499ggo-0,1.350,1.830,Sex
Bfr499ggo-0,1.830,2.230,and
Bfr499ggo-0,2.230,2.390,the
Bfr499ggo-0,2.390,2.650,City
Bfr499ggo-0,2.650,3.230,2.
Bfr499ggo-0,5.420,5.640,Most
Bfr499ggo-0,5.640,5.820,of
Bfr499ggo-0,5.820,5.960,the
Bfr499ggo-0,5.960,6.160,critics
Bfr499ggo-0,6.160,6.360,are
Bfr499ggo-0,6.360,6.640,right.
Bfr499ggo-0,6.840,7.000,It's
Bfr499ggo-0,7.000,7.120,just
Bfr499ggo-0,7.120,7.580,really
Bfr499ggo-0,7.580,8.420,eh.
Bfr499ggo-0,8.940,9.160,But
Bfr499ggo-0,9.200,10.100,if
Bfr499ggo-0,10.100,10.300,you
Bfr499ggo-0,10.300,10.540,loved
Bfr499ggo-0,10.540,10.820,the
Bfr499ggo-0,10.820,11.240,series
Bfr499ggo-0,11.240,11.620,and
Bfr499ggo-0,11.620,11.780,you
Bfr499ggo-0,11.780,12.180,also
Bfr499ggo-0,12.180,12.580,liked
Bfr499ggo-0,12.580,12.840,and
Bfr499ggo-0,12.840,13.280,saw
Bfr499ggo-0,13.280,13.860,the
Bfr499ggo-0,13.860,14.120,first
Bfr499ggo-0,14.120,14.660,"movie,"
Bfr499ggo-0,14.960,15.180,then
Bfr499ggo-0,15.180,15.340,you're
Bfr499ggo-0,15.340,15.540,still
Bfr499ggo-0,15.540,15.700,going
Bfr499ggo-0,15.700,15.820,to
Bfr499ggo-0,15.820,15.980,have
Bfr499ggo-0,15.980,16.280,fun.
Bfr499ggo-0,16.480,16.660,Just
Bfr499ggo-0,16.660,17.040,go
Bfr499ggo-0,17.040,17.320,in
Bfr499ggo-0,17.320,17.580,with
Bfr499ggo-0,17.580,18.080,low
Bfr499ggo-0,18.080,19.120,expectations.
Bfr499ggo-0,20.140,20.160,A
Bfr499ggo-0,20.160,20.300,few
Bfr499ggo-0,20.300,20.540,pet
Bfr499ggo-0,20.540,20.960,"peeves,"
Bfr499ggo-0,21.420,21.520,Terry
Bfr499ggo-0,21.520,22.140,Ward
Bfr499ggo-0,22.140,22.460,must
Bfr499ggo-0,22.460,23.480,horrendous
Bfr499ggo-0,23.480,24.400,kitty's
Bfr499ggo-0,24.400,24.620,hats.
Bfr499ggo-0,25.460,25.640,They
Bfr499ggo-0,25.640,25.720,were
Bfr499ggo-0,25.720,25.900,not
Bfr499ggo-0,25.900,26.380,fashionable.
Bfr499ggo-0,28.010,28.130,And
Bfr499ggo-0,28.130,28.290,a
Bfr499ggo-0,28.290,28.470,few
Bfr499ggo-0,28.470,28.770,"times,"
Bfr499ggo-0,28.870,29.150,I
Bfr499ggo-0,29.150,29.390,didn't
Bfr499ggo-0,29.390,29.610,like
Bfr499ggo-0,29.610,29.770,the
Bfr499ggo-0,29.770,30.030,fashion.
Bfr499ggo-0,30.030,30.210,A
Bfr499ggo-0,30.210,30.330,few
Bfr499ggo-0,30.330,30.550,"times,"
Bfr499ggo-0,30.550,30.670,I
Bfr499ggo-0,30.670,30.850,thought
Bfr499ggo-0,30.850,30.970,it
Bfr499ggo-0,30.970,31.130,was
Bfr499ggo-0,31.130,31.390,bumped
Bfr499ggo-0,31.390,31.890,way
Bfr499ggo-0,31.890,32.150,over
Bfr499ggo-0,32.150,32.290,the
Bfr499ggo-0,32.290,32.570,"top,"
Bfr499ggo-0,32.810,32.870,and
Bfr499ggo-0,32.870,33.090,they
Bfr499ggo-0,33.090,33.290,kind
Bfr499ggo-0,33.290,33.430,of
Bfr499ggo-0,33.430,33.610,looked
Bfr499ggo-0,33.610,33.910,like
