id,start,end,word
BioHAh1qJAQ,0.180,0.800,Merry
BioHAh1qJAQ,0.800,1.260,Christmas
BioHAh1qJAQ,1.260,1.740,everybody!
BioHAh1qJAQ,2.200,2.520,I'm
BioHAh1qJAQ,2.520,2.620,going
BioHAh1qJAQ,2.620,2.820,to
BioHAh1qJAQ,2.820,3.140,spoil
BioHAh1qJAQ,3.140,3.420,the
BioHAh1qJAQ,3.420,3.840,shit
BioHAh1qJAQ,3.840,4.140,out
BioHAh1qJAQ,4.140,4.280,of
BioHAh1qJAQ,4.280,4.440,this
BioHAh1qJAQ,4.440,4.720,movie.
BioHAh1qJAQ,5.400,5.480,You
BioHAh1qJAQ,5.480,5.720,have
BioHAh1qJAQ,5.720,5.900,been
BioHAh1qJAQ,5.900,6.300,warned.
BioHAh1qJAQ,7.140,7.140,I
BioHAh1qJAQ,7.140,7.280,love
BioHAh1qJAQ,7.280,7.600,my
BioHAh1qJAQ,7.600,8.060,"computer,"
BioHAh1qJAQ,8.440,8.720,you
BioHAh1qJAQ,8.720,9.000,make
BioHAh1qJAQ,9.000,9.280,me
BioHAh1qJAQ,9.280,9.540,feel
BioHAh1qJAQ,9.540,10.080,alright.
BioHAh1qJAQ,10.700,11.160,Every
BioHAh1qJAQ,11.160,11.520,waking
BioHAh1qJAQ,11.520,12.140,hour
BioHAh1qJAQ,12.140,12.720,and
BioHAh1qJAQ,12.720,13.100,every
BioHAh1qJAQ,13.100,13.480,lonely
BioHAh1qJAQ,13.480,14.000,night.
BioHAh1qJAQ,14.080,14.240,"Ah,"
BioHAh1qJAQ,14.700,14.940,"Disney,"
BioHAh1qJAQ,15.300,15.320,why
BioHAh1qJAQ,15.320,16.060,do
BioHAh1qJAQ,16.060,16.200,I
BioHAh1qJAQ,16.200,16.380,have
BioHAh1qJAQ,16.380,16.480,to
BioHAh1qJAQ,16.480,16.720,go
BioHAh1qJAQ,16.720,16.940,and
BioHAh1qJAQ,16.940,17.160,be
BioHAh1qJAQ,17.160,17.440,so
BioHAh1qJAQ,17.440,18.140,Disney
BioHAh1qJAQ,18.140,18.620,about
BioHAh1qJAQ,18.620,19.240,everything?
BioHAh1qJAQ,20.260,20.860,I
BioHAh1qJAQ,20.860,21.040,was
BioHAh1qJAQ,21.040,21.580,really
BioHAh1qJAQ,21.580,22.020,looking
BioHAh1qJAQ,22.020,22.320,forward
BioHAh1qJAQ,22.320,22.780,to
BioHAh1qJAQ,22.780,22.840,Tron
BioHAh1qJAQ,22.840,23.100,Legacy
BioHAh1qJAQ,23.100,23.520,because
BioHAh1qJAQ,23.520,23.740,I'm
BioHAh1qJAQ,23.740,23.860,a
BioHAh1qJAQ,23.860,24.060,big
BioHAh1qJAQ,24.060,24.340,fan
BioHAh1qJAQ,24.340,24.520,of
BioHAh1qJAQ,24.520,24.660,the
BioHAh1qJAQ,24.660,24.900,first
BioHAh1qJAQ,24.900,25.360,Tron.
BioHAh1qJAQ,25.360,26.220,I
BioHAh1qJAQ,26.220,26.680,thought
BioHAh1qJAQ,26.680,26.840,this
BioHAh1qJAQ,26.840,26.960,is
BioHAh1qJAQ,26.960,27.120,the
BioHAh1qJAQ,27.120,27.400,perfect
BioHAh1qJAQ,27.400,27.900,time
BioHAh1qJAQ,27.900,28.160,to
BioHAh1qJAQ,28.160,28.620,have
BioHAh1qJAQ,28.620,29.340,a
BioHAh1qJAQ,29.340,29.600,Tron
BioHAh1qJAQ,29.600,29.960,sequel
BioHAh1qJAQ,29.960,30.460,because
BioHAh1qJAQ,30.460,31.520,at
BioHAh1qJAQ,31.520,31.640,the
BioHAh1qJAQ,31.640,31.840,beginning
BioHAh1qJAQ,31.840,32.060,of
BioHAh1qJAQ,32.060,32.340,the
BioHAh1qJAQ,32.340,33.200,"1980s,"
BioHAh1qJAQ,33.280,33.400,people
BioHAh1qJAQ,33.400,33.660,thought
BioHAh1qJAQ,33.660,33.800,that
BioHAh1qJAQ,33.800,34.120,computers
BioHAh1qJAQ,34.120,34.440,can
BioHAh1qJAQ,34.440,35.120,do
BioHAh1qJAQ,35.120,36.220,anything
BioHAh1qJAQ,36.220,36.720,and
BioHAh1qJAQ,36.720,37.200,everything.
BioHAh1qJAQ,37.940,37.960,And
BioHAh1qJAQ,37.960,38.260,"now,"
BioHAh1qJAQ,38.780,39.140,technology
BioHAh1qJAQ,39.140,39.620,actually
BioHAh1qJAQ,39.620,40.140,does
BioHAh1qJAQ,40.140,41.020,anything
BioHAh1qJAQ,41.020,41.220,and
