id,start,end,word
GWuJjcEuzt8,0.400,0.900,okay
GWuJjcEuzt8,0.900,1.440,so
GWuJjcEuzt8,1.440,1.680,hi
GWuJjcEuzt8,1.680,2.120,everyone
GWuJjcEuzt8,2.120,2.380,this
GWuJjcEuzt8,2.380,2.520,is
GWuJjcEuzt8,2.520,2.740,my
GWuJjcEuzt8,2.740,3.100,first
GWuJjcEuzt8,3.100,3.480,movie
GWuJjcEuzt8,3.480,3.940,review
GWuJjcEuzt8,3.940,4.460,so
GWuJjcEuzt8,4.460,4.800,I
GWuJjcEuzt8,4.800,5.460,watched
GWuJjcEuzt8,5.460,6.900,burlesque
GWuJjcEuzt8,6.900,7.600,the
GWuJjcEuzt8,7.600,7.920,past
GWuJjcEuzt8,7.920,8.360,week
GWuJjcEuzt8,8.360,8.860,and
GWuJjcEuzt8,8.860,9.780,well
GWuJjcEuzt8,9.780,10.500,it
GWuJjcEuzt8,10.500,10.780,wasn't
GWuJjcEuzt8,10.780,10.960,a
GWuJjcEuzt8,10.960,11.120,bad
GWuJjcEuzt8,11.120,11.600,movie
GWuJjcEuzt8,11.600,12.360,considering
GWuJjcEuzt8,12.360,12.840,you
GWuJjcEuzt8,12.840,12.980,know
GWuJjcEuzt8,12.980,13.540,that's
GWuJjcEuzt8,13.540,14.060,there's
GWuJjcEuzt8,14.060,14.200,not
GWuJjcEuzt8,14.200,14.380,much
GWuJjcEuzt8,14.380,14.620,hype
GWuJjcEuzt8,14.620,14.800,of
GWuJjcEuzt8,14.800,14.980,it
GWuJjcEuzt8,14.980,15.160,in
GWuJjcEuzt8,15.160,15.520,Singapore
GWuJjcEuzt8,15.520,16.040,actually
GWuJjcEuzt8,16.040,16.560,so
GWuJjcEuzt8,16.560,17.720,first
GWuJjcEuzt8,17.720,17.940,things
GWuJjcEuzt8,17.940,18.300,first
GWuJjcEuzt8,18.300,18.840,Christina
GWuJjcEuzt8,18.840,19.640,Aguilera's
GWuJjcEuzt8,19.640,19.920,pipes
GWuJjcEuzt8,19.920,20.240,I
GWuJjcEuzt8,20.240,20.600,swear
GWuJjcEuzt8,20.600,20.860,they
GWuJjcEuzt8,20.860,21.020,are
GWuJjcEuzt8,21.020,21.160,who
GWuJjcEuzt8,21.160,21.340,did
GWuJjcEuzt8,21.340,21.820,that
GWuJjcEuzt8,21.820,23.000,why
GWuJjcEuzt8,23.000,23.160,I
GWuJjcEuzt8,23.160,23.400,say
GWuJjcEuzt8,23.400,23.600,that
GWuJjcEuzt8,23.600,23.780,is
GWuJjcEuzt8,23.780,24.180,because
GWuJjcEuzt8,24.180,24.900,she's
GWuJjcEuzt8,24.900,25.300,got
GWuJjcEuzt8,25.300,25.580,a
GWuJjcEuzt8,25.580,26.320,crazy
