id,start,end,word
Jkswaaud0hk,0.050,0.570,Hey
Jkswaaud0hk,0.570,0.870,"everybody,"
Jkswaaud0hk,1.030,1.110,hope
Jkswaaud0hk,1.110,1.230,you're
Jkswaaud0hk,1.230,1.370,having
Jkswaaud0hk,1.370,1.510,a
Jkswaaud0hk,1.510,1.690,great
Jkswaaud0hk,1.690,1.930,day
Jkswaaud0hk,1.930,2.050,and
Jkswaaud0hk,2.050,2.190,I
Jkswaaud0hk,2.190,2.390,wanted
Jkswaaud0hk,2.390,2.550,to
Jkswaaud0hk,2.550,2.710,give
Jkswaaud0hk,2.710,2.870,my
Jkswaaud0hk,2.870,3.270,review
Jkswaaud0hk,3.270,3.790,of
Jkswaaud0hk,3.790,3.910,Friends
Jkswaaud0hk,3.910,4.130,With
Jkswaaud0hk,4.130,4.590,Benefits.
Jkswaaud0hk,5.390,5.530,Mila
Jkswaaud0hk,5.530,5.890,Kunis
Jkswaaud0hk,5.890,6.090,and
Jkswaaud0hk,6.090,6.350,Justin
Jkswaaud0hk,6.350,6.830,"Timberlake,"
Jkswaaud0hk,7.050,7.230,I
Jkswaaud0hk,7.230,7.390,thought
Jkswaaud0hk,7.390,7.530,they
Jkswaaud0hk,7.530,7.710,made
Jkswaaud0hk,7.710,7.830,a
Jkswaaud0hk,7.830,8.050,great
Jkswaaud0hk,8.050,8.350,duo.
Jkswaaud0hk,8.890,9.150,Mila
Jkswaaud0hk,9.150,9.550,"Kunis,"
Jkswaaud0hk,9.650,9.750,she
Jkswaaud0hk,9.750,10.070,is
Jkswaaud0hk,10.070,10.510,gorgeous.
Jkswaaud0hk,11.150,11.410,There's
Jkswaaud0hk,11.410,11.590,some
Jkswaaud0hk,11.590,12.170,great
Jkswaaud0hk,12.170,12.550,bedroom
Jkswaaud0hk,12.550,12.910,"scenes,"
Jkswaaud0hk,13.430,13.510,you
Jkswaaud0hk,13.510,13.750,"guys,"
Jkswaaud0hk,13.890,14.010,that
Jkswaaud0hk,14.010,14.210,you're
Jkswaaud0hk,14.210,14.290,going
Jkswaaud0hk,14.290,14.370,to
Jkswaaud0hk,14.370,14.490,get
Jkswaaud0hk,14.490,14.650,to
Jkswaaud0hk,14.650,15.010,enjoy.
Jkswaaud0hk,15.410,15.590,A
Jkswaaud0hk,15.590,15.950,"fun,"
Jkswaaud0hk,16.170,16.630,lightweight
Jkswaaud0hk,16.630,16.910,date
Jkswaaud0hk,16.910,17.170,"movie,"
Jkswaaud0hk,17.330,17.430,I
Jkswaaud0hk,17.430,17.550,think
Jkswaaud0hk,17.550,17.770,some
Jkswaaud0hk,17.770,17.870,of
Jkswaaud0hk,17.870,17.970,the
Jkswaaud0hk,17.970,18.110,women
Jkswaaud0hk,18.110,18.430,are
Jkswaaud0hk,18.430,18.690,going
Jkswaaud0hk,18.690,19.030,to
Jkswaaud0hk,19.030,19.490,enjoy
Jkswaaud0hk,19.490,19.690,this
Jkswaaud0hk,19.690,19.870,more
Jkswaaud0hk,19.870,20.070,than
Jkswaaud0hk,20.070,20.190,the
Jkswaaud0hk,20.190,20.510,guys.
Jkswaaud0hk,21.270,21.470,Certainly
Jkswaaud0hk,21.470,21.830,there's
Jkswaaud0hk,21.830,21.970,some
Jkswaaud0hk,21.970,22.250,scenes
Jkswaaud0hk,22.250,22.490,where
Jkswaaud0hk,22.490,22.590,I
Jkswaaud0hk,22.590,22.770,think
Jkswaaud0hk,22.770,22.950,some
Jkswaaud0hk,22.950,23.030,of
Jkswaaud0hk,23.030,23.110,the
Jkswaaud0hk,23.110,23.250,women
Jkswaaud0hk,23.250,23.410,are
Jkswaaud0hk,23.410,23.470,going
Jkswaaud0hk,23.470,23.510,to
Jkswaaud0hk,23.510,23.710,feel
Jkswaaud0hk,23.710,23.930,more
Jkswaaud0hk,23.930,24.070,of
Jkswaaud0hk,24.070,24.130,the
Jkswaaud0hk,24.130,24.370,emotion
Jkswaaud0hk,24.370,24.650,of
Jkswaaud0hk,24.650,24.790,it.
Jkswaaud0hk,24.790,25.430,There's
Jkswaaud0hk,25.430,25.630,some
Jkswaaud0hk,25.630,26.070,funny
Jkswaaud0hk,26.070,26.570,"lines,"
Jkswaaud0hk,27.050,27.090,great
Jkswaaud0hk,27.090,27.550,steamy
Jkswaaud0hk,27.550,27.750,bedroom
Jkswaaud0hk,27.750,28.250,"scenes,"
Jkswaaud0hk,28.370,28.390,I
Jkswaaud0hk,28.390,28.470,was
Jkswaaud0hk,28.470,28.870,surprised.
Jkswaaud0hk,29.850,29.930,The
Jkswaaud0hk,29.930,30.110,amount
Jkswaaud0hk,30.110,30.270,of
Jkswaaud0hk,30.270,30.510,skin
Jkswaaud0hk,30.510,30.790,they
Jkswaaud0hk,30.790,31.150,"showed,"
Jkswaaud0hk,31.790,31.930,but
Jkswaaud0hk,31.930,32.810,it
Jkswaaud0hk,32.810,33.250,was
Jkswaaud0hk,33.250,33.930,in
Jkswaaud0hk,33.930,34.310,good
Jkswaaud0hk,34.310,34.730,taste.
Jkswaaud0hk,35.930,35.970,I
Jkswaaud0hk,35.970,36.230,thought
Jkswaaud0hk,36.230,36.450,Woody
Jkswaaud0hk,36.450,36.970,Harrelson
Jkswaaud0hk,36.970,37.410,was
Jkswaaud0hk,37.410,38.030,funny.
Jkswaaud0hk,38.610,38.850,He
Jkswaaud0hk,38.850,39.370,added
Jkswaaud0hk,39.370,39.710,a
Jkswaaud0hk,39.710,39.970,great
Jkswaaud0hk,39.970,40.230,dimension
Jkswaaud0hk,40.230,40.550,to
Jkswaaud0hk,40.550,40.650,the
Jkswaaud0hk,40.650,40.790,movie
Jkswaaud0hk,40.790,40.970,as
Jkswaaud0hk,40.970,41.250,well.
Jkswaaud0hk,41.590,42.010,Storyline
Jkswaaud0hk,42.010,42.230,was
Jkswaaud0hk,42.230,42.670,"okay,"
Jkswaaud0hk,43.010,43.170,but
Jkswaaud0hk,43.170,43.390,overall
Jkswaaud0hk,43.390,43.590,I
Jkswaaud0hk,43.590,43.690,thought
Jkswaaud0hk,43.690,43.790,it
Jkswaaud0hk,43.790,44.270,was
Jkswaaud0hk,44.270,44.270,a
Jkswaaud0hk,44.270,44.570,fun
Jkswaaud0hk,44.570,44.950,picture.
Jkswaaud0hk,45.170,45.370,I
Jkswaaud0hk,45.370,45.810,do
Jkswaaud0hk,45.810,46.030,think
Jkswaaud0hk,46.030,46.250,it's
Jkswaaud0hk,46.250,46.390,worth
Jkswaaud0hk,46.390,46.810,seeing.
Jkswaaud0hk,47.390,47.710,Certainly
Jkswaaud0hk,47.710,48.170,"again,"
Jkswaaud0hk,48.490,48.770,more
Jkswaaud0hk,48.770,48.890,of
Jkswaaud0hk,48.890,49.010,a
Jkswaaud0hk,49.010,49.170,date
Jkswaaud0hk,49.170,49.490,movie
Jkswaaud0hk,49.490,49.890,than
Jkswaaud0hk,49.890,50.590,seeing
Jkswaaud0hk,50.590,50.750,it
Jkswaaud0hk,50.750,50.950,alone
Jkswaaud0hk,50.950,51.250,unless
Jkswaaud0hk,51.250,51.810,you
Jkswaaud0hk,51.810,52.050,ladies
Jkswaaud0hk,52.050,52.330,go
Jkswaaud0hk,52.330,52.730,together
Jkswaaud0hk,52.730,53.170,to
Jkswaaud0hk,53.170,53.370,see
Jkswaaud0hk,53.370,53.470,it
Jkswaaud0hk,53.470,53.730,together.
Jkswaaud0hk,53.730,54.470,I'd
Jkswaaud0hk,54.470,54.570,go
Jkswaaud0hk,54.570,54.830,see
Jkswaaud0hk,54.830,55.110,"it,"
Jkswaaud0hk,55.470,55.570,thumbs
Jkswaaud0hk,55.570,56.010,"up,"
Jkswaaud0hk,56.310,56.570,and
Jkswaaud0hk,56.570,56.790,until
Jkswaaud0hk,56.790,56.950,the
Jkswaaud0hk,56.950,57.090,next
Jkswaaud0hk,57.090,57.450,"video,"
Jkswaaud0hk,57.730,57.810,have
