id,start,end,word
Njd1F0vZSm4,0.080,0.780,Let's
Njd1F0vZSm4,0.780,1.100,talk
Njd1F0vZSm4,1.100,1.580,Legend
Njd1F0vZSm4,1.580,1.780,of
Njd1F0vZSm4,1.780,1.920,the
Njd1F0vZSm4,1.920,2.280,Guardians.
Njd1F0vZSm4,3.020,3.340,I'm
Njd1F0vZSm4,3.340,3.460,going
Njd1F0vZSm4,3.460,3.580,to
Njd1F0vZSm4,3.580,3.740,give
Njd1F0vZSm4,3.740,4.000,this
Njd1F0vZSm4,4.000,4.260,a
Njd1F0vZSm4,4.260,4.620,grade
Njd1F0vZSm4,4.620,5.840,B
Njd1F0vZSm4,5.840,6.300,minus.
Njd1F0vZSm4,7.060,7.480,The
Njd1F0vZSm4,7.480,8.140,CGI
Njd1F0vZSm4,8.140,8.620,"work,"
Njd1F0vZSm4,9.400,9.420,the
Njd1F0vZSm4,9.420,9.800,3D
Njd1F0vZSm4,9.800,10.080,is
Njd1F0vZSm4,10.080,10.980,spectacular.
Njd1F0vZSm4,11.880,12.020,The
Njd1F0vZSm4,12.020,12.340,flying
Njd1F0vZSm4,12.340,12.920,sequences
Njd1F0vZSm4,12.920,13.300,are
Njd1F0vZSm4,13.300,13.840,beautiful
Njd1F0vZSm4,13.840,14.380,and
Njd1F0vZSm4,14.380,14.560,the
Njd1F0vZSm4,14.560,15.020,owls
Njd1F0vZSm4,15.020,15.300,are
Njd1F0vZSm4,15.300,16.020,really
Njd1F0vZSm4,16.020,17.100,wonderful
Njd1F0vZSm4,17.100,17.520,and
Njd1F0vZSm4,17.520,17.800,come
Njd1F0vZSm4,17.800,18.000,off
Njd1F0vZSm4,18.000,18.340,real
Njd1F0vZSm4,18.340,18.560,and
Njd1F0vZSm4,18.560,18.720,they
Njd1F0vZSm4,18.720,18.900,do
Njd1F0vZSm4,18.900,19.160,have
Njd1F0vZSm4,19.160,19.620,very
Njd1F0vZSm4,19.620,20.040,nice
Njd1F0vZSm4,20.040,20.600,personalities
Njd1F0vZSm4,20.600,21.280,and
Njd1F0vZSm4,21.280,21.860,you
Njd1F0vZSm4,21.860,22.020,have
Njd1F0vZSm4,22.020,22.120,a
Njd1F0vZSm4,22.120,22.260,read
Njd1F0vZSm4,22.260,22.460,for
Njd1F0vZSm4,22.460,22.740,them.
Njd1F0vZSm4,23.260,23.460,But
Njd1F0vZSm4,23.460,23.540,the
Njd1F0vZSm4,23.540,23.820,story
Njd1F0vZSm4,23.820,24.140,is
Njd1F0vZSm4,24.140,24.560,very
Njd1F0vZSm4,24.560,25.080,dark.
Njd1F0vZSm4,25.420,25.540,In
Njd1F0vZSm4,25.540,25.680,"fact,"
Njd1F0vZSm4,25.800,25.900,my
Njd1F0vZSm4,25.900,26.200,six
Njd1F0vZSm4,26.200,26.320,-year
