id,start,end,word
Nzq88NnDkEk,0.660,1.100,"Hey,"
Nzq88NnDkEk,1.160,1.280,what's
Nzq88NnDkEk,1.280,1.400,up?
Nzq88NnDkEk,1.460,1.640,It's
Nzq88NnDkEk,1.640,1.860,Jefferson
Nzq88NnDkEk,1.860,2.140,Geek
Nzq88NnDkEk,2.140,2.400,and
Nzq88NnDkEk,2.400,2.560,it
Nzq88NnDkEk,2.560,2.780,is
Nzq88NnDkEk,2.780,3.020,time
Nzq88NnDkEk,3.020,3.260,for
Nzq88NnDkEk,3.260,3.580,another
Nzq88NnDkEk,3.580,4.120,episode
Nzq88NnDkEk,4.120,4.320,of
Nzq88NnDkEk,4.320,4.460,At
Nzq88NnDkEk,4.460,4.600,the
Nzq88NnDkEk,4.600,4.740,Movies
Nzq88NnDkEk,4.740,5.000,with
Nzq88NnDkEk,5.000,5.160,the
Nzq88NnDkEk,5.160,5.320,Geek.
Nzq88NnDkEk,5.800,5.960,This
Nzq88NnDkEk,5.960,6.140,week
Nzq88NnDkEk,6.140,6.300,we're
Nzq88NnDkEk,6.300,6.440,going
Nzq88NnDkEk,6.440,6.660,to
Nzq88NnDkEk,6.660,6.840,look
Nzq88NnDkEk,6.840,7.160,at
Nzq88NnDkEk,7.160,7.700,the
Nzq88NnDkEk,7.700,8.700,movie
Nzq88NnDkEk,8.700,9.040,Clash
Nzq88NnDkEk,9.040,9.220,of
Nzq88NnDkEk,9.220,9.360,the
Nzq88NnDkEk,9.360,9.580,"Titans,"
Nzq88NnDkEk,9.920,10.180,which
Nzq88NnDkEk,10.180,10.700,is
Nzq88NnDkEk,10.700,11.200,a
Nzq88NnDkEk,11.200,11.680,reboot
Nzq88NnDkEk,11.680,11.900,I
Nzq88NnDkEk,11.900,12.060,guess
Nzq88NnDkEk,12.060,12.240,would
Nzq88NnDkEk,12.240,12.340,be
Nzq88NnDkEk,12.340,12.460,the
Nzq88NnDkEk,12.460,12.640,best
Nzq88NnDkEk,12.640,13.040,term
Nzq88NnDkEk,13.040,14.000,for
Nzq88NnDkEk,14.000,14.540,"the,"
Nzq88NnDkEk,14.540,15.060,I
Nzq88NnDkEk,15.060,15.220,believe
Nzq88NnDkEk,15.220,15.320,it
Nzq88NnDkEk,15.320,15.440,was
Nzq88NnDkEk,15.440,16.000,1981
Nzq88NnDkEk,16.000,16.640,"movie,"
Nzq88NnDkEk,17.200,17.260,Clash
Nzq88NnDkEk,17.260,17.440,of
Nzq88NnDkEk,17.440,17.500,the
Nzq88NnDkEk,17.500,17.740,Titans.
Nzq88NnDkEk,19.880,20.240,"Unfortunately,"
Nzq88NnDkEk,20.480,20.700,I'm
Nzq88NnDkEk,20.700,20.820,going
Nzq88NnDkEk,20.820,20.980,to
Nzq88NnDkEk,20.980,21.040,have
Nzq88NnDkEk,21.040,21.160,to
Nzq88NnDkEk,21.160,21.460,say
Nzq88NnDkEk,21.460,21.800,this
Nzq88NnDkEk,21.800,22.060,movie
Nzq88NnDkEk,22.060,22.320,was
Nzq88NnDkEk,22.320,22.620,terrible.
Nzq88NnDkEk,23.660,24.020,I
Nzq88NnDkEk,24.020,24.180,was
Nzq88NnDkEk,24.180,24.540,really
Nzq88NnDkEk,24.540,24.820,looking
Nzq88NnDkEk,24.820,25.080,forward
Nzq88NnDkEk,25.080,25.380,to
Nzq88NnDkEk,25.380,25.540,it.
Nzq88NnDkEk,25.680,25.820,I
Nzq88NnDkEk,25.820,25.960,was
Nzq88NnDkEk,25.960,26.080,a
Nzq88NnDkEk,26.080,26.180,little
Nzq88NnDkEk,26.180,26.500,hesitant
Nzq88NnDkEk,26.500,26.800,at
Nzq88NnDkEk,26.800,27.020,"first,"
Nzq88NnDkEk,27.180,27.300,you
