id,start,end,word
Oz06ZWiO20M,0.020,0.560,Hey
Oz06ZWiO20M,0.560,0.860,"everybody,"
Oz06ZWiO20M,0.960,1.160,what's
Oz06ZWiO20M,1.160,1.300,going
Oz06ZWiO20M,1.300,1.540,on?
Oz06ZWiO20M,1.600,1.660,It's
Oz06ZWiO20M,1.660,1.840,time
Oz06ZWiO20M,1.840,2.020,for
Oz06ZWiO20M,2.020,2.060,a
Oz06ZWiO20M,2.060,2.160,new
Oz06ZWiO20M,2.160,2.500,episode
Oz06ZWiO20M,2.500,2.780,of
Oz06ZWiO20M,2.780,3.180,lawns
Oz06ZWiO20M,3.180,3.340,TV
Oz06ZWiO20M,3.340,3.680,I'm
Oz06ZWiO20M,3.680,3.780,a
Oz06ZWiO20M,3.780,3.900,little
Oz06ZWiO20M,3.900,4.140,late
Oz06ZWiO20M,4.140,4.260,to
Oz06ZWiO20M,4.260,4.380,the
Oz06ZWiO20M,4.380,4.640,game
Oz06ZWiO20M,4.640,5.020,because
Oz06ZWiO20M,5.020,5.240,I'm
Oz06ZWiO20M,5.240,5.260,gonna
Oz06ZWiO20M,5.260,5.440,do
Oz06ZWiO20M,5.440,5.600,a
Oz06ZWiO20M,5.600,5.880,sucker
Oz06ZWiO20M,5.880,6.080,punch
Oz06ZWiO20M,6.080,6.400,review
Oz06ZWiO20M,6.400,6.740,And
Oz06ZWiO20M,6.740,6.860,I
Oz06ZWiO20M,6.860,7.000,feel
Oz06ZWiO20M,7.000,7.200,like
Oz06ZWiO20M,7.200,7.600,everyone
Oz06ZWiO20M,7.600,7.880,in
Oz06ZWiO20M,7.880,7.980,the
Oz06ZWiO20M,7.980,8.180,world
Oz06ZWiO20M,8.180,8.400,has
Oz06ZWiO20M,8.400,8.680,already
Oz06ZWiO20M,8.680,9.100,seen
Oz06ZWiO20M,9.100,9.340,and
Oz06ZWiO20M,9.340,9.780,reviewed
Oz06ZWiO20M,9.780,10.040,sucker
Oz06ZWiO20M,10.040,10.200,punch
Oz06ZWiO20M,10.200,10.340,It's
Oz06ZWiO20M,10.340,10.460,like
Oz06ZWiO20M,10.460,10.600,the
Oz06ZWiO20M,10.600,10.980,most
Oz06ZWiO20M,11.600,12.000,Reviewed
Oz06ZWiO20M,12.000,12.180,movie
Oz06ZWiO20M,12.180,12.360,of
Oz06ZWiO20M,12.360,12.460,the
Oz06ZWiO20M,12.460,12.600,year
Oz06ZWiO20M,12.600,12.800,so
Oz06ZWiO20M,12.800,13.040,far
Oz06ZWiO20M,13.040,13.360,and
Oz06ZWiO20M,13.360,13.440,a
Oz06ZWiO20M,13.440,13.580,lot
