id,start,end,word
POKffnXeBds,0.620,1.140,Hey
POKffnXeBds,1.140,1.500,"everybody,"
POKffnXeBds,1.540,1.860,it's
POKffnXeBds,1.860,1.920,the
POKffnXeBds,1.920,2.140,movie
POKffnXeBds,2.140,2.560,maniac
POKffnXeBds,2.560,2.940,again.
POKffnXeBds,3.160,3.240,I
POKffnXeBds,3.240,3.380,just
POKffnXeBds,3.380,3.540,wanted
POKffnXeBds,3.540,3.740,to
POKffnXeBds,3.740,4.260,critique
POKffnXeBds,4.260,4.560,another
POKffnXeBds,4.560,4.820,movie.
POKffnXeBds,4.940,5.000,I
POKffnXeBds,5.000,5.360,actually
POKffnXeBds,5.360,5.660,ran
POKffnXeBds,5.660,5.880,it
POKffnXeBds,6.440,6.840,Someone
POKffnXeBds,6.840,7.140,was
POKffnXeBds,7.140,7.460,asking
POKffnXeBds,7.460,7.760,me
POKffnXeBds,7.760,8.020,about
POKffnXeBds,8.020,8.200,that
POKffnXeBds,8.200,8.400,movie
POKffnXeBds,8.400,8.680,Brad
POKffnXeBds,8.680,8.920,wars.
POKffnXeBds,8.940,9.140,They
POKffnXeBds,9.140,9.280,kept
POKffnXeBds,9.280,9.520,asking
POKffnXeBds,9.520,9.720,me.
POKffnXeBds,9.720,9.800,Is
POKffnXeBds,9.800,9.900,it
POKffnXeBds,9.900,10.000,a
POKffnXeBds,10.000,10.140,good
POKffnXeBds,10.140,10.480,movie?
POKffnXeBds,10.520,10.840,Should
POKffnXeBds,10.840,10.980,I
POKffnXeBds,10.980,11.220,see
POKffnXeBds,11.220,11.380,it?
POKffnXeBds,11.380,11.520,Is
POKffnXeBds,11.520,11.660,it
POKffnXeBds,11.660,11.880,funny
POKffnXeBds,11.880,12.140,because
POKffnXeBds,12.140,12.260,it
POKffnXeBds,12.260,12.380,looks
POKffnXeBds,12.380,12.620,pretty
POKffnXeBds,12.620,12.900,funny.
POKffnXeBds,13.260,13.660,So
POKffnXeBds,13.660,13.900,"hey,"
POKffnXeBds,13.900,14.080,I
POKffnXeBds,14.080,14.360,decided
POKffnXeBds,14.360,14.540,to
POKffnXeBds,14.540,14.680,check
POKffnXeBds,14.680,14.780,it
POKffnXeBds,14.780,14.940,out.
POKffnXeBds,14.940,15.080,What
POKffnXeBds,15.080,15.200,can
POKffnXeBds,15.200,15.320,I
POKffnXeBds,15.320,15.500,say?
POKffnXeBds,15.580,15.980,I'm
POKffnXeBds,15.980,16.160,just
POKffnXeBds,16.160,16.600,curious
