id,start,end,word
VbQk4H8hgr0,0.460,0.940,Welcome
VbQk4H8hgr0,0.940,1.160,to
VbQk4H8hgr0,1.160,1.320,this
VbQk4H8hgr0,1.320,1.540,week's
VbQk4H8hgr0,1.540,1.720,movie
VbQk4H8hgr0,1.720,2.100,review
VbQk4H8hgr0,2.100,2.620,on
VbQk4H8hgr0,2.620,2.860,Shrek
VbQk4H8hgr0,2.860,3.040,the
VbQk4H8hgr0,3.040,3.300,third
VbQk4H8hgr0,3.300,3.800,starring
VbQk4H8hgr0,3.800,4.080,Mike
VbQk4H8hgr0,4.080,4.460,"Myers,"
VbQk4H8hgr0,4.780,4.880,Cameron
VbQk4H8hgr0,4.880,5.180,Diaz
VbQk4H8hgr0,5.180,5.460,and
VbQk4H8hgr0,5.460,5.740,Abraham
VbQk4H8hgr0,7.390,7.830,Shrek
VbQk4H8hgr0,7.830,8.110,is
VbQk4H8hgr0,8.110,8.350,already
VbQk4H8hgr0,8.350,8.550,the
VbQk4H8hgr0,8.550,8.930,second
VbQk4H8hgr0,8.930,9.370,film
VbQk4H8hgr0,9.370,9.650,that
VbQk4H8hgr0,9.650,9.830,comes
VbQk4H8hgr0,9.830,10.070,out
VbQk4H8hgr0,10.070,10.230,as
VbQk4H8hgr0,10.230,10.370,a
VbQk4H8hgr0,10.370,10.690,sequel
VbQk4H8hgr0,10.690,10.990,It's
VbQk4H8hgr0,10.990,11.130,the
VbQk4H8hgr0,11.130,11.330,third
VbQk4H8hgr0,11.330,11.670,installment
VbQk4H8hgr0,11.670,11.890,of
VbQk4H8hgr0,11.890,12.010,the
VbQk4H8hgr0,12.010,12.310,series
VbQk4H8hgr0,12.310,12.610,and
VbQk4H8hgr0,12.610,12.850,we've
VbQk4H8hgr0,12.850,12.990,had
VbQk4H8hgr0,12.990,13.310,spider
VbQk4H8hgr0,13.310,13.490,-man
VbQk4H8hgr0,13.490,13.770,already
VbQk4H8hgr0,13.770,13.970,and
VbQk4H8hgr0,13.970,14.070,we
VbQk4H8hgr0,14.070,14.270,have
VbQk4H8hgr0,14.270,14.530,a
VbQk4H8hgr0,14.530,14.690,ton
VbQk4H8hgr0,14.690,14.790,of
VbQk4H8hgr0,14.790,14.910,them
VbQk4H8hgr0,14.910,15.070,coming
VbQk4H8hgr0,15.070,15.310,up
VbQk4H8hgr0,15.310,15.550,this
VbQk4H8hgr0,15.550,15.830,summer
VbQk4H8hgr0,16.270,16.710,And
VbQk4H8hgr0,16.710,16.970,this
VbQk4H8hgr0,16.970,17.090,is
VbQk4H8hgr0,17.090,17.210,the
VbQk4H8hgr0,17.210,17.350,one
VbQk4H8hgr0,17.350,17.490,that
VbQk4H8hgr0,17.490,17.610,I
VbQk4H8hgr0,17.610,17.710,can
VbQk4H8hgr0,17.710,17.890,say
VbQk4H8hgr0,17.890,17.990,I
VbQk4H8hgr0,17.990,18.130,was
VbQk4H8hgr0,18.130,18.490,definitely
VbQk4H8hgr0,18.490,18.870,disappointed
VbQk4H8hgr0,18.870,19.410,I
VbQk4H8hgr0,19.410,19.870,love
VbQk4H8hgr0,19.870,20.310,the
VbQk4H8hgr0,20.310,20.490,first
VbQk4H8hgr0,20.490,20.770,Shrek
VbQk4H8hgr0,20.770,20.970,and
VbQk4H8hgr0,20.970,21.070,the
VbQk4H8hgr0,21.070,21.250,second
VbQk4H8hgr0,21.250,21.670,Shrek
VbQk4H8hgr0,21.670,22.510,and
VbQk4H8hgr0,22.510,22.670,I
VbQk4H8hgr0,22.670,22.810,was
VbQk4H8hgr0,22.810,23.270,really
VbQk4H8hgr0,23.270,23.730,hoping
VbQk4H8hgr0,23.730,23.910,that
VbQk4H8hgr0,23.910,24.010,this
VbQk4H8hgr0,24.010,24.170,won't
VbQk4H8hgr0,24.170,24.250,be
VbQk4H8hgr0,24.250,24.430,just
VbQk4H8hgr0,24.430,24.590,as
VbQk4H8hgr0,24.590,24.790,good
VbQk4H8hgr0,24.790,25.030,and
VbQk4H8hgr0,25.710,26.150,It
VbQk4H8hgr0,26.150,26.350,just
VbQk4H8hgr0,26.350,26.550,plain
VbQk4H8hgr0,26.550,26.730,didn't
VbQk4H8hgr0,26.730,26.890,have
VbQk4H8hgr0,26.890,27.070,anything
VbQk4H8hgr0,27.070,27.310,new
VbQk4H8hgr0,27.310,27.430,to
VbQk4H8hgr0,27.430,27.690,offer.
VbQk4H8hgr0,27.770,27.930,I
VbQk4H8hgr0,27.930,28.050,was
VbQk4H8hgr0,28.050,28.290,really
VbQk4H8hgr0,28.290,28.650,disappointed
VbQk4H8hgr0,28.650,28.910,in
VbQk4H8hgr0,28.910,29.070,that
VbQk4H8hgr0,29.070,29.170,I
VbQk4H8hgr0,29.170,29.330,"mean,"
VbQk4H8hgr0,29.650,30.070,I
VbQk4H8hgr0,30.070,30.330,went
VbQk4H8hgr0,30.330,30.510,in
VbQk4H8hgr0,30.510,30.710,there
VbQk4H8hgr0,30.710,30.930,hoping
VbQk4H8hgr0,30.930,31.150,to
VbQk4H8hgr0,31.150,31.330,see
VbQk4H8hgr0,31.330,31.550,something
VbQk4H8hgr0,31.550,31.890,original
VbQk4H8hgr0,31.890,32.270,and
VbQk4H8hgr0,32.270,32.530,funny
VbQk4H8hgr0,32.530,32.710,like
VbQk4H8hgr0,32.710,32.850,the
VbQk4H8hgr0,32.850,32.990,first
VbQk4H8hgr0,32.990,33.230,two
VbQk4H8hgr0,33.230,33.450,and
VbQk4H8hgr0,33.450,33.590,it
VbQk4H8hgr0,33.590,34.190,offered
VbQk4H8hgr0,34.190,34.490,nothing
VbQk4H8hgr0,34.490,35.230,of
