id,start,end,word
Vj1wYRQjB-o,1.130,1.590,Hello
Vj1wYRQjB-o,1.590,1.870,"again,"
Vj1wYRQjB-o,2.070,3.130,Frank12Castle.
Vj1wYRQjB-o,3.670,3.750,I
Vj1wYRQjB-o,3.750,3.830,know
Vj1wYRQjB-o,3.830,3.970,it's
Vj1wYRQjB-o,3.970,4.070,been
Vj1wYRQjB-o,4.070,4.270,quite
Vj1wYRQjB-o,4.270,4.370,a
Vj1wYRQjB-o,4.370,4.510,long
Vj1wYRQjB-o,4.510,4.750,time
Vj1wYRQjB-o,4.750,4.910,since
Vj1wYRQjB-o,4.910,5.090,I've
Vj1wYRQjB-o,5.090,5.210,done
Vj1wYRQjB-o,5.210,5.390,one
Vj1wYRQjB-o,5.390,5.470,of
Vj1wYRQjB-o,5.470,5.790,"these,"
Vj1wYRQjB-o,5.870,6.230,but
Vj1wYRQjB-o,6.230,7.090,I
Vj1wYRQjB-o,7.090,7.250,was
Vj1wYRQjB-o,7.250,7.510,very
Vj1wYRQjB-o,7.510,7.890,"busy,"
Vj1wYRQjB-o,8.450,8.830,and
Vj1wYRQjB-o,8.830,9.130,you
Vj1wYRQjB-o,9.130,9.330,all
Vj1wYRQjB-o,9.330,9.550,probably
Vj1wYRQjB-o,9.550,9.830,saw
Vj1wYRQjB-o,9.830,10.270,movies
Vj1wYRQjB-o,10.270,10.870,over
Vj1wYRQjB-o,10.870,11.350,Christmas
Vj1wYRQjB-o,11.350,11.730,that
Vj1wYRQjB-o,11.730,12.210,you
Vj1wYRQjB-o,12.210,12.390,wanted
Vj1wYRQjB-o,12.390,12.530,to
Vj1wYRQjB-o,12.530,12.650,see
Vj1wYRQjB-o,12.650,12.910,"anyway,"
Vj1wYRQjB-o,13.050,13.310,so
Vj1wYRQjB-o,13.310,14.150,I'm
Vj1wYRQjB-o,14.150,14.350,back.
Vj1wYRQjB-o,14.630,14.790,"Anyway,"
Vj1wYRQjB-o,15.150,15.250,I
Vj1wYRQjB-o,15.250,15.370,want
Vj1wYRQjB-o,15.370,15.490,to
Vj1wYRQjB-o,15.490,15.610,go
Vj1wYRQjB-o,15.610,15.730,see
