id,start,end,word
X3j2zQgwYgE,0.560,1.300,Let's
X3j2zQgwYgE,1.300,1.620,talk
X3j2zQgwYgE,1.620,2.140,Shrek
X3j2zQgwYgE,2.140,3.000,ever
X3j2zQgwYgE,3.000,3.440,after.
X3j2zQgwYgE,5.810,6.030,Not
X3j2zQgwYgE,6.030,6.350,great.
X3j2zQgwYgE,7.730,7.770,The
X3j2zQgwYgE,7.770,7.970,gist
X3j2zQgwYgE,7.970,8.150,of
X3j2zQgwYgE,8.150,8.250,the
X3j2zQgwYgE,8.250,8.550,story
X3j2zQgwYgE,8.550,8.910,is
X3j2zQgwYgE,8.910,9.130,that
X3j2zQgwYgE,9.130,9.410,Shrek
X3j2zQgwYgE,9.410,9.570,is
X3j2zQgwYgE,9.570,9.970,tired
X3j2zQgwYgE,9.970,10.170,of
X3j2zQgwYgE,10.170,10.310,his
X3j2zQgwYgE,10.310,10.630,life
X3j2zQgwYgE,10.630,10.970,now
X3j2zQgwYgE,10.970,11.250,married
X3j2zQgwYgE,11.250,11.490,with
X3j2zQgwYgE,11.490,11.710,the
X3j2zQgwYgE,11.710,11.990,"kids,"
X3j2zQgwYgE,12.210,12.370,so
X3j2zQgwYgE,12.370,12.570,he
X3j2zQgwYgE,12.570,12.930,really
X3j2zQgwYgE,12.930,13.090,would
X3j2zQgwYgE,13.090,13.210,like
X3j2zQgwYgE,13.210,13.350,to
X3j2zQgwYgE,13.350,13.710,relive
X3j2zQgwYgE,13.710,13.930,his
X3j2zQgwYgE,13.930,14.230,glory
X3j2zQgwYgE,14.230,14.590,days.
X3j2zQgwYgE,15.150,15.210,He
X3j2zQgwYgE,15.210,15.370,goes
X3j2zQgwYgE,15.370,15.570,to
X3j2zQgwYgE,15.570,16.430,Rumpelstiltskin
X3j2zQgwYgE,16.430,17.150,and
X3j2zQgwYgE,17.150,17.470,signs
X3j2zQgwYgE,17.470,17.710,a
X3j2zQgwYgE,17.710,18.270,contract
X3j2zQgwYgE,18.790,19.270,that
X3j2zQgwYgE,19.270,19.690,in
X3j2zQgwYgE,19.690,19.830,order
X3j2zQgwYgE,19.830,20.070,to
X3j2zQgwYgE,20.070,20.310,have
X3j2zQgwYgE,20.310,20.490,a
X3j2zQgwYgE,20.490,20.850,free
X3j2zQgwYgE,20.850,21.090,day
X3j2zQgwYgE,21.090,21.310,where
X3j2zQgwYgE,21.310,21.450,he
X3j2zQgwYgE,21.450,21.610,can
X3j2zQgwYgE,21.610,21.930,relive
X3j2zQgwYgE,21.930,22.130,his
X3j2zQgwYgE,22.130,22.490,glory
X3j2zQgwYgE,22.490,22.950,"stuff,"
X3j2zQgwYgE,23.390,23.590,he
X3j2zQgwYgE,23.590,23.710,will
X3j2zQgwYgE,23.710,23.850,give
X3j2zQgwYgE,23.850,24.010,a
X3j2zQgwYgE,24.010,24.250,day
X3j2zQgwYgE,24.410,25.890,unbeknownst
X3j2zQgwYgE,25.890,26.010,to
X3j2zQgwYgE,26.010,26.270,Shrek.
X3j2zQgwYgE,26.750,27.230,Rumpelstiltskin
X3j2zQgwYgE,27.230,27.570,takes
X3j2zQgwYgE,27.570,27.830,the
X3j2zQgwYgE,27.830,27.970,day
X3j2zQgwYgE,27.970,28.090,that
X3j2zQgwYgE,28.090,28.230,he
X3j2zQgwYgE,28.230,28.370,was
X3j2zQgwYgE,28.370,28.590,born.
X3j2zQgwYgE,28.810,28.910,So
X3j2zQgwYgE,28.910,29.130,then
X3j2zQgwYgE,29.130,29.650,Shrek
X3j2zQgwYgE,29.650,30.070,doesn't
X3j2zQgwYgE,30.070,30.470,exist.
X3j2zQgwYgE,31.050,31.290,And
X3j2zQgwYgE,31.290,31.450,in
X3j2zQgwYgE,31.450,31.630,order
X3j2zQgwYgE,31.630,32.010,to
X3j2zQgwYgE,32.010,32.250,get
X3j2zQgwYgE,32.250,32.470,things
X3j2zQgwYgE,32.470,32.890,back
X3j2zQgwYgE,32.890,33.110,to
X3j2zQgwYgE,33.110,33.270,how
X3j2zQgwYgE,33.270,33.450,they
X3j2zQgwYgE,33.450,33.910,"were,"
X3j2zQgwYgE,34.550,34.550,he
X3j2zQgwYgE,34.550,34.830,has
X3j2zQgwYgE,34.830,35.310,to
X3j2zQgwYgE,35.310,36.850,get
X3j2zQgwYgE,36.880,37.320,Fiona
X3j2zQgwYgE,37.320,37.660,to
X3j2zQgwYgE,37.660,37.980,fall
X3j2zQgwYgE,37.980,38.140,in
X3j2zQgwYgE,38.140,38.260,love
X3j2zQgwYgE,38.260,38.460,with
X3j2zQgwYgE,38.460,38.680,him
X3j2zQgwYgE,38.680,39.040,and
X3j2zQgwYgE,39.040,39.180,they
X3j2zQgwYgE,39.180,39.320,have
X3j2zQgwYgE,39.320,39.440,"to,"
X3j2zQgwYgE,39.520,39.560,once
X3j2zQgwYgE,39.560,39.820,"again,"
X3j2zQgwYgE,40.100,40.180,have
X3j2zQgwYgE,40.180,40.500,two
X3j2zQgwYgE,40.500,40.660,less
X3j2zQgwYgE,40.660,40.900,Shrek
X3j2zQgwYgE,40.900,41.140,kids.
X3j2zQgwYgE,41.720,41.880,I
X3j2zQgwYgE,41.880,42.020,really
X3j2zQgwYgE,42.020,42.260,think
X3j2zQgwYgE,42.260,42.420,what
X3j2zQgwYgE,42.420,42.580,this
X3j2zQgwYgE,42.580,42.760,was
X3j2zQgwYgE,42.760,43.100,missing
X3j2zQgwYgE,43.100,43.320,was
X3j2zQgwYgE,43.320,43.520,that
X3j2zQgwYgE,43.520,44.140,humor
X3j2zQgwYgE,44.140,44.500,and
X3j2zQgwYgE,44.500,44.740,that
X3j2zQgwYgE,44.740,45.240,wit
X3j2zQgwYgE,45.900,46.160,that
X3j2zQgwYgE,46.160,46.860,is
X3j2zQgwYgE,46.860,47.020,in
X3j2zQgwYgE,47.020,47.180,the
X3j2zQgwYgE,47.180,47.460,other
X3j2zQgwYgE,47.460,47.780,Shrek
X3j2zQgwYgE,47.780,48.260,movies.
X3j2zQgwYgE,49.200,49.680,It's
X3j2zQgwYgE,49.680,49.760,just
X3j2zQgwYgE,49.760,49.980,not
X3j2zQgwYgE,49.980,50.440,fair.
X3j2zQgwYgE,50.860,51.120,It's
X3j2zQgwYgE,51.120,51.580,"okay,"
X3j2zQgwYgE,52.260,52.420,but
X3j2zQgwYgE,52.420,52.560,it's
X3j2zQgwYgE,52.560,52.780,really
X3j2zQgwYgE,52.780,53.020,not
X3j2zQgwYgE,53.020,53.520,wonderful.
X3j2zQgwYgE,53.760,53.880,Nothing
X3j2zQgwYgE,53.880,54.180,to
X3j2zQgwYgE,54.180,54.540,rush
X3j2zQgwYgE,54.540,54.820,out
X3j2zQgwYgE,54.820,55.020,and
X3j2zQgwYgE,55.020,55.380,see.
X3j2zQgwYgE,55.960,56.040,There
X3j2zQgwYgE,56.040,56.120,aren't
X3j2zQgwYgE,56.120,56.220,a
X3j2zQgwYgE,56.220,56.340,lot
X3j2zQgwYgE,56.340,56.460,of
X3j2zQgwYgE,56.460,56.600,kids'
X3j2zQgwYgE,56.700,56.820,movies
X3j2zQgwYgE,56.820,57.080,out
X3j2zQgwYgE,57.080,57.220,right
X3j2zQgwYgE,57.220,57.480,now.
X3j2zQgwYgE,57.480,58.000,And
X3j2zQgwYgE,58.000,58.760,I
X3j2zQgwYgE,58.760,58.960,guess
X3j2zQgwYgE,58.960,59.640,normally
X3j2zQgwYgE,59.640,59.840,Shrek
X3j2zQgwYgE,59.840,60.020,is
X3j2zQgwYgE,60.020,60.220,for
X3j2zQgwYgE,60.220,60.580,"adults,"
X3j2zQgwYgE,61.200,61.380,but
X3j2zQgwYgE,61.640,62.580,"lack,"
X3j2zQgwYgE,63.040,63.260,you
X3j2zQgwYgE,63.260,63.420,"know,"
X3j2zQgwYgE,63.660,63.820,very
X3j2zQgwYgE,63.820,64.380,lackluster.
X3j2zQgwYgE,66.450,67.010,"Anyway,"
X3j2zQgwYgE,68.280,68.820,that's
X3j2zQgwYgE,68.820,69.140,it.
X3j2zQgwYgE,70.160,70.720,Be
X3j2zQgwYgE,70.720,71.280,"forewarned,"
X3j2zQgwYgE,71.420,71.600,no
X3j2zQgwYgE,71.600,72.300,"expectations,"
X3j2zQgwYgE,72.780,73.220,okay?
X3j2zQgwYgE,73.880,74.160,And
X3j2zQgwYgE,74.160,74.440,now
X3j2zQgwYgE,74.440,74.600,I
X3j2zQgwYgE,74.600,74.860,"sleep,"
X3j2zQgwYgE,75.120,75.240,so
X3j2zQgwYgE,75.240,75.500,off
X3j2zQgwYgE,75.500,75.660,to
X3j2zQgwYgE,75.660,75.880,bed.
X3j2zQgwYgE,76.500,76.580,Ciao.
