id,start,end,word
ZAIRrfG22O0,0.430,0.930,Hey
ZAIRrfG22O0,0.930,1.190,"everybody,"
ZAIRrfG22O0,1.390,1.410,hope
ZAIRrfG22O0,1.410,1.550,you're
ZAIRrfG22O0,1.550,1.690,having
ZAIRrfG22O0,1.690,1.850,a
ZAIRrfG22O0,1.850,2.030,great
ZAIRrfG22O0,2.030,2.430,"day,"
ZAIRrfG22O0,2.610,2.670,and
ZAIRrfG22O0,2.670,3.070,here's
ZAIRrfG22O0,3.070,3.330,a
ZAIRrfG22O0,3.330,3.590,quick
ZAIRrfG22O0,3.590,4.130,review
ZAIRrfG22O0,4.130,5.310,on
ZAIRrfG22O0,5.310,6.310,Zookeeper.
ZAIRrfG22O0,7.130,7.290,Save
ZAIRrfG22O0,7.290,7.550,your
ZAIRrfG22O0,7.550,7.910,"money,"
ZAIRrfG22O0,8.110,8.290,wait
ZAIRrfG22O0,8.290,8.470,till
ZAIRrfG22O0,8.470,8.530,it
ZAIRrfG22O0,8.530,8.710,comes
ZAIRrfG22O0,8.710,8.910,out
ZAIRrfG22O0,8.910,9.030,on
ZAIRrfG22O0,9.030,9.310,rental.
ZAIRrfG22O0,9.550,9.670,For
ZAIRrfG22O0,9.670,9.930,"me,"
ZAIRrfG22O0,10.610,10.930,it
ZAIRrfG22O0,10.930,11.210,was
ZAIRrfG22O0,11.210,11.490,a
ZAIRrfG22O0,11.490,11.670,waste
ZAIRrfG22O0,11.670,11.870,of
ZAIRrfG22O0,11.870,12.070,time.
ZAIRrfG22O0,12.170,12.230,There
ZAIRrfG22O0,12.230,12.490,were
ZAIRrfG22O0,12.490,12.690,a
ZAIRrfG22O0,12.690,12.910,few
ZAIRrfG22O0,12.910,13.230,funny
ZAIRrfG22O0,13.230,13.710,"lines,"
ZAIRrfG22O0,14.050,14.190,but
ZAIRrfG22O0,14.190,14.450,after
ZAIRrfG22O0,14.450,14.650,an
ZAIRrfG22O0,14.650,14.770,hour
ZAIRrfG22O0,14.770,14.990,I
ZAIRrfG22O0,14.990,15.170,just
ZAIRrfG22O0,15.170,15.410,said
ZAIRrfG22O0,15.410,15.790,enough.
ZAIRrfG22O0,16.230,16.370,I
ZAIRrfG22O0,16.370,16.510,had
ZAIRrfG22O0,16.510,16.610,to
ZAIRrfG22O0,16.610,16.810,walk
ZAIRrfG22O0,16.810,17.150,"out,"
ZAIRrfG22O0,17.550,17.670,the
ZAIRrfG22O0,17.670,17.910,movie
ZAIRrfG22O0,17.910,18.150,theater
ZAIRrfG22O0,18.150,18.450,gave
ZAIRrfG22O0,18.450,18.610,me
ZAIRrfG22O0,18.610,18.930,credit
ZAIRrfG22O0,18.930,19.410,to
ZAIRrfG22O0,19.410,19.490,a
ZAIRrfG22O0,19.490,19.730,future
ZAIRrfG22O0,19.730,19.970,movie
ZAIRrfG22O0,19.970,20.170,so
ZAIRrfG22O0,20.170,20.410,that
ZAIRrfG22O0,20.410,20.730,I
ZAIRrfG22O0,20.730,21.230,appreciated.
ZAIRrfG22O0,21.850,22.250,If
ZAIRrfG22O0,22.250,22.510,you
ZAIRrfG22O0,22.510,22.950,like
ZAIRrfG22O0,22.950,23.350,the
ZAIRrfG22O0,23.350,23.610,kind
ZAIRrfG22O0,23.610,23.850,of
ZAIRrfG22O0,23.850,23.850,movie
ZAIRrfG22O0,23.850,24.050,that
ZAIRrfG22O0,24.050,24.230,Ben
ZAIRrfG22O0,24.230,24.510,Stiller
ZAIRrfG22O0,24.510,24.950,"did,"
ZAIRrfG22O0,25.390,25.390,A
ZAIRrfG22O0,25.390,25.470,Night
ZAIRrfG22O0,25.470,25.650,at
ZAIRrfG22O0,25.650,25.750,the
ZAIRrfG22O0,25.750,26.030,"Museum,"
ZAIRrfG22O0,26.450,26.670,then
ZAIRrfG22O0,26.670,26.790,you
ZAIRrfG22O0,26.790,26.990,probably
ZAIRrfG22O0,26.990,27.250,would
ZAIRrfG22O0,27.250,27.410,like
ZAIRrfG22O0,27.410,27.750,something
ZAIRrfG22O0,27.750,28.610,like
ZAIRrfG22O0,28.610,28.950,this.
ZAIRrfG22O0,28.950,29.090,"Yes,"
ZAIRrfG22O0,29.450,29.650,if
ZAIRrfG22O0,29.650,29.750,you
ZAIRrfG22O0,29.750,29.870,didn't
ZAIRrfG22O0,29.870,30.150,like
ZAIRrfG22O0,30.150,30.550,that
ZAIRrfG22O0,30.550,30.730,type
ZAIRrfG22O0,30.730,30.890,of
ZAIRrfG22O0,30.890,31.130,"movie,"
ZAIRrfG22O0,31.530,31.630,then
ZAIRrfG22O0,31.630,31.770,I
ZAIRrfG22O0,31.770,31.910,really
ZAIRrfG22O0,31.910,32.090,don't
ZAIRrfG22O0,32.090,32.230,think
ZAIRrfG22O0,32.230,32.390,you're
ZAIRrfG22O0,32.390,32.470,going
ZAIRrfG22O0,32.470,32.570,to
ZAIRrfG22O0,32.570,32.710,like
ZAIRrfG22O0,32.710,32.890,this
ZAIRrfG22O0,32.890,33.010,at
ZAIRrfG22O0,33.010,33.250,"all,"
ZAIRrfG22O0,33.590,33.770,and
ZAIRrfG22O0,33.770,33.930,you're
ZAIRrfG22O0,33.930,34.030,better
ZAIRrfG22O0,34.030,34.210,off
ZAIRrfG22O0,34.210,34.390,saving
ZAIRrfG22O0,34.390,34.630,your
ZAIRrfG22O0,34.630,34.890,money
ZAIRrfG22O0,34.890,35.850,and
ZAIRrfG22O0,35.850,36.010,maybe
ZAIRrfG22O0,36.010,36.370,renting
ZAIRrfG22O0,36.370,36.690,it
ZAIRrfG22O0,36.690,36.910,when
ZAIRrfG22O0,36.910,37.070,it
ZAIRrfG22O0,37.070,37.310,comes
ZAIRrfG22O0,37.310,37.630,out
ZAIRrfG22O0,37.630,38.030,on
ZAIRrfG22O0,38.030,38.370,video.
ZAIRrfG22O0,39.070,39.330,"Anyway,"
ZAIRrfG22O0,39.490,39.590,I
ZAIRrfG22O0,39.590,39.610,know
ZAIRrfG22O0,39.610,39.770,this
ZAIRrfG22O0,39.770,39.870,is
ZAIRrfG22O0,39.870,40.010,a
ZAIRrfG22O0,40.010,40.150,short
ZAIRrfG22O0,40.150,40.430,"review,"
ZAIRrfG22O0,40.570,40.650,but
ZAIRrfG22O0,40.650,40.710,I
ZAIRrfG22O0,40.710,40.810,just
ZAIRrfG22O0,40.810,40.970,wanted
ZAIRrfG22O0,40.970,41.090,to
ZAIRrfG22O0,41.090,41.270,give
ZAIRrfG22O0,41.270,41.870,my
ZAIRrfG22O0,41.870,42.110,honest
ZAIRrfG22O0,42.110,42.470,opinion.
ZAIRrfG22O0,42.930,43.130,If
ZAIRrfG22O0,43.130,43.590,you
ZAIRrfG22O0,43.590,43.790,liked
ZAIRrfG22O0,43.790,44.030,"it,"
ZAIRrfG22O0,44.310,44.410,feel
ZAIRrfG22O0,44.410,44.630,free
ZAIRrfG22O0,44.630,44.910,to
ZAIRrfG22O0,44.910,45.450,share
ZAIRrfG22O0,45.450,45.610,any
ZAIRrfG22O0,45.610,45.910,comments
ZAIRrfG22O0,45.910,46.130,you
ZAIRrfG22O0,46.130,46.530,"have,"
ZAIRrfG22O0,46.830,47.270,but
ZAIRrfG22O0,47.270,48.090,there's
ZAIRrfG22O0,48.090,48.310,definitely
ZAIRrfG22O0,48.310,48.550,far
ZAIRrfG22O0,48.550,48.750,better
ZAIRrfG22O0,48.750,48.990,movies
ZAIRrfG22O0,48.990,49.270,that
ZAIRrfG22O0,49.270,49.410,you
ZAIRrfG22O0,49.410,49.670,can
ZAIRrfG22O0,49.670,50.090,go
ZAIRrfG22O0,50.090,50.470,see
ZAIRrfG22O0,50.470,52.050,than
ZAIRrfG22O0,52.050,52.630,Zookeeper.
ZAIRrfG22O0,53.050,53.110,So
ZAIRrfG22O0,53.110,53.310,thanks
ZAIRrfG22O0,53.310,53.470,for
ZAIRrfG22O0,53.470,53.570,your
ZAIRrfG22O0,53.570,53.770,"time,"
ZAIRrfG22O0,53.970,54.070,have
ZAIRrfG22O0,54.070,54.190,a
ZAIRrfG22O0,54.190,54.310,great
ZAIRrfG22O0,54.310,54.510,day.
