id,start,end,word
bvLlb-M3UXU,3.440,3.940,Hey
bvLlb-M3UXU,3.940,4.160,little
bvLlb-M3UXU,4.160,4.540,ones
bvLlb-M3UXU,4.540,4.940,Lee
bvLlb-M3UXU,4.940,5.260,"here,"
bvLlb-M3UXU,5.260,5.620,and
bvLlb-M3UXU,5.620,5.880,we're
bvLlb-M3UXU,5.880,6.120,talking
bvLlb-M3UXU,6.120,6.440,about
bvLlb-M3UXU,6.440,6.720,the
bvLlb-M3UXU,6.720,7.440,expendables
bvLlb-M3UXU,7.440,8.200,the
bvLlb-M3UXU,8.200,8.640,action
bvLlb-M3UXU,8.640,9.080,movie
bvLlb-M3UXU,9.080,9.400,written
bvLlb-M3UXU,9.400,9.720,by
bvLlb-M3UXU,9.720,10.260,Sylvester
bvLlb-M3UXU,10.260,10.720,Stallone
bvLlb-M3UXU,10.720,11.120,Produced
bvLlb-M3UXU,11.120,11.240,by
bvLlb-M3UXU,11.240,11.600,Sylvester
bvLlb-M3UXU,11.600,12.060,Stallone
bvLlb-M3UXU,12.060,12.420,starring
bvLlb-M3UXU,12.420,13.000,Sylvester
bvLlb-M3UXU,13.000,13.480,Stallone
bvLlb-M3UXU,13.480,13.740,directed
bvLlb-M3UXU,13.740,14.020,by
bvLlb-M3UXU,14.020,14.520,Sylvester
bvLlb-M3UXU,14.520,15.100,"Stallone,"
bvLlb-M3UXU,15.100,15.660,so
bvLlb-M3UXU,15.660,16.560,"Yeah,"
bvLlb-M3UXU,16.840,17.220,Sylvester
bvLlb-M3UXU,17.220,17.820,Stallone
bvLlb-M3UXU,17.820,18.620,So
bvLlb-M3UXU,18.620,18.740,it's
bvLlb-M3UXU,18.740,18.840,gonna
bvLlb-M3UXU,18.840,18.940,be
bvLlb-M3UXU,18.940,19.040,an
bvLlb-M3UXU,19.040,19.280,action
bvLlb-M3UXU,19.280,19.620,movie
bvLlb-M3UXU,19.620,20.020,obviously
bvLlb-M3UXU,20.020,20.400,and
bvLlb-M3UXU,20.400,20.920,you
bvLlb-M3UXU,20.920,21.080,guys
bvLlb-M3UXU,21.080,21.280,all
bvLlb-M3UXU,21.280,21.500,know
bvLlb-M3UXU,21.500,21.700,what
bvLlb-M3UXU,21.700,21.820,the
bvLlb-M3UXU,21.820,22.360,expendables
bvLlb-M3UXU,22.360,22.680,are
bvLlb-M3UXU,22.680,22.800,and
bvLlb-M3UXU,22.800,22.880,if
bvLlb-M3UXU,22.880,23.000,you
bvLlb-M3UXU,23.000,23.320,don't
bvLlb-M3UXU,23.720,24.120,basically
