id,start,end,word
c5xsKMxpXnc,0.460,0.580,here
c5xsKMxpXnc,0.580,0.780,to
c5xsKMxpXnc,0.780,0.940,review
c5xsKMxpXnc,0.940,1.420,Adjustment
c5xsKMxpXnc,1.420,1.640,"Bureau,"
c5xsKMxpXnc,1.820,1.980,and
c5xsKMxpXnc,1.980,2.120,I
c5xsKMxpXnc,2.120,2.260,thought
c5xsKMxpXnc,2.260,2.440,this
c5xsKMxpXnc,2.440,2.620,movie
c5xsKMxpXnc,2.620,2.840,was
c5xsKMxpXnc,2.840,2.980,going
c5xsKMxpXnc,2.980,3.040,to
c5xsKMxpXnc,3.040,3.140,be
c5xsKMxpXnc,3.140,3.480,really
c5xsKMxpXnc,3.480,3.740,good
c5xsKMxpXnc,3.740,4.080,because
c5xsKMxpXnc,4.080,4.280,Matt
c5xsKMxpXnc,4.280,4.520,Damon
c5xsKMxpXnc,4.520,4.780,was
c5xsKMxpXnc,4.780,4.940,in
c5xsKMxpXnc,4.940,5.080,"it,"
c5xsKMxpXnc,5.180,5.300,and
c5xsKMxpXnc,5.300,6.180,I
c5xsKMxpXnc,6.180,6.320,was
c5xsKMxpXnc,6.320,6.580,really
c5xsKMxpXnc,6.580,7.060,disappointed.
c5xsKMxpXnc,7.940,8.000,"So,"
c5xsKMxpXnc,8.300,8.480,this
c5xsKMxpXnc,8.480,8.660,movie
c5xsKMxpXnc,8.660,8.880,is
c5xsKMxpXnc,8.880,9.160,about
c5xsKMxpXnc,9.160,9.980,David
c5xsKMxpXnc,9.980,10.360,"Norris,"
c5xsKMxpXnc,10.620,10.780,played
c5xsKMxpXnc,10.780,11.020,by
c5xsKMxpXnc,11.020,11.440,Matt
c5xsKMxpXnc,11.440,11.820,"Damon,"
c5xsKMxpXnc,12.060,12.320,and
c5xsKMxpXnc,12.320,12.440,what
c5xsKMxpXnc,12.440,12.860,happens
c5xsKMxpXnc,12.860,13.220,is
c5xsKMxpXnc,13.220,13.760,that
c5xsKMxpXnc,13.760,14.100,he
c5xsKMxpXnc,14.100,14.280,is
c5xsKMxpXnc,14.280,14.480,going
c5xsKMxpXnc,14.480,14.760,to
c5xsKMxpXnc,14.760,14.960,run
c5xsKMxpXnc,14.960,15.400,for
c5xsKMxpXnc,15.400,15.540,New
c5xsKMxpXnc,15.540,15.780,York
c5xsKMxpXnc,15.780,16.340,"Senator,"
c5xsKMxpXnc,16.780,17.000,and
c5xsKMxpXnc,17.000,17.140,he
c5xsKMxpXnc,17.140,17.640,just
c5xsKMxpXnc,17.640,18.180,can't
c5xsKMxpXnc,18.180,18.320,win
c5xsKMxpXnc,18.320,18.600,because
c5xsKMxpXnc,18.600,18.740,he
c5xsKMxpXnc,18.740,19.020,keeps
c5xsKMxpXnc,19.020,19.320,on
c5xsKMxpXnc,19.320,19.640,making
c5xsKMxpXnc,19.640,20.340,mistakes.
c5xsKMxpXnc,20.780,20.880,"Now,"
c5xsKMxpXnc,21.020,21.020,the
c5xsKMxpXnc,21.020,21.620,mistakes
c5xsKMxpXnc,21.620,22.240,involve
c5xsKMxpXnc,22.240,22.540,stuff
c5xsKMxpXnc,22.540,22.760,that
c5xsKMxpXnc,22.760,23.020,just
c5xsKMxpXnc,23.020,23.440,makes
c5xsKMxpXnc,23.440,23.640,him
c5xsKMxpXnc,23.640,23.840,look
c5xsKMxpXnc,23.840,24.140,bad
c5xsKMxpXnc,24.140,24.300,in
c5xsKMxpXnc,24.300,24.400,the
c5xsKMxpXnc,24.400,24.680,public
c5xsKMxpXnc,24.680,24.980,"eye,"
c5xsKMxpXnc,25.540,25.980,pictures
c5xsKMxpXnc,25.980,26.360,and
c5xsKMxpXnc,26.360,26.600,stuff
c5xsKMxpXnc,26.600,26.780,that
c5xsKMxpXnc,26.780,26.880,he
c5xsKMxpXnc,26.880,27.120,"did,"
c5xsKMxpXnc,27.120,27.580,where
c5xsKMxpXnc,27.580,27.760,the
c5xsKMxpXnc,27.760,27.940,people
c5xsKMxpXnc,27.940,28.100,were
c5xsKMxpXnc,28.100,28.260,"like,"
c5xsKMxpXnc,28.300,28.440,we
c5xsKMxpXnc,28.440,28.720,can't
c5xsKMxpXnc,28.720,28.900,have
c5xsKMxpXnc,28.900,29.100,this
c5xsKMxpXnc,29.100,29.300,guy
c5xsKMxpXnc,29.300,29.520,because
c5xsKMxpXnc,29.520,29.700,he's
c5xsKMxpXnc,29.700,29.880,not
c5xsKMxpXnc,29.880,30.360,mature
c5xsKMxpXnc,30.360,30.700,enough.
c5xsKMxpXnc,31.220,31.320,So
c5xsKMxpXnc,31.320,31.660,"now,"
c5xsKMxpXnc,31.880,32.500,he's
c5xsKMxpXnc,32.500,32.840,preparing
