id,start,end,word
d3_k5Xpfmik,0.480,0.840,YouTube
d3_k5Xpfmik,0.840,1.200,civilian
d3_k5Xpfmik,1.200,1.640,snowman
d3_k5Xpfmik,1.640,1.900,here
d3_k5Xpfmik,1.900,2.060,and
d3_k5Xpfmik,2.060,2.300,today
d3_k5Xpfmik,2.300,2.420,I'm
d3_k5Xpfmik,2.420,2.560,going
d3_k5Xpfmik,2.560,2.740,to
d3_k5Xpfmik,2.740,3.040,review
d3_k5Xpfmik,3.040,3.880,Zombieland
d3_k5Xpfmik,3.880,4.320,the
d3_k5Xpfmik,4.320,4.500,new
d3_k5Xpfmik,4.500,4.760,movie
d3_k5Xpfmik,4.760,5.160,starring
d3_k5Xpfmik,5.160,5.520,Jesse
d3_k5Xpfmik,5.520,6.200,Eisenberg
d3_k5Xpfmik,6.200,6.640,and
d3_k5Xpfmik,6.640,6.880,Woody
d3_k5Xpfmik,6.880,7.420,Harrelson
d3_k5Xpfmik,7.420,7.680,The
d3_k5Xpfmik,7.680,7.920,plot
d3_k5Xpfmik,7.920,8.280,follows
d3_k5Xpfmik,8.280,8.640,two
d3_k5Xpfmik,8.640,9.080,survivors
d3_k5Xpfmik,9.080,9.300,of
d3_k5Xpfmik,9.300,9.400,a
d3_k5Xpfmik,9.400,9.680,zombie
d3_k5Xpfmik,9.680,10.240,apocalypse
d3_k5Xpfmik,10.240,10.660,called
d3_k5Xpfmik,10.660,11.160,Columbus
d3_k5Xpfmik,11.160,11.420,played
d3_k5Xpfmik,11.420,11.600,by
d3_k5Xpfmik,11.600,11.840,Jesse
d3_k5Xpfmik,11.840,12.380,Eisenberg
d3_k5Xpfmik,12.380,12.600,and
d3_k5Xpfmik,12.600,13.220,Tallahassee
d3_k5Xpfmik,13.220,13.420,played
d3_k5Xpfmik,13.420,13.660,by
d3_k5Xpfmik,13.660,13.960,Woody
d3_k5Xpfmik,13.960,14.520,Harrelson
d3_k5Xpfmik,14.520,15.200,Who
d3_k5Xpfmik,15.200,15.360,have
d3_k5Xpfmik,15.360,15.640,named
d3_k5Xpfmik,15.640,16.060,themselves
d3_k5Xpfmik,16.060,16.400,after
d3_k5Xpfmik,16.400,16.560,the
d3_k5Xpfmik,16.560,16.980,places
d3_k5Xpfmik,16.980,17.620,to
d3_k5Xpfmik,17.620,17.780,which
d3_k5Xpfmik,17.780,18.080,they're
d3_k5Xpfmik,18.080,18.320,travelling
d3_k5Xpfmik,18.320,19.080,Which
d3_k5Xpfmik,19.080,19.280,I
d3_k5Xpfmik,19.280,19.460,think
d3_k5Xpfmik,19.460,19.600,is
d3_k5Xpfmik,19.600,19.700,a
d3_k5Xpfmik,19.700,19.920,really
d3_k5Xpfmik,19.920,20.240,nice
d3_k5Xpfmik,20.240,20.580,touch
d3_k5Xpfmik,20.580,21.080,as
d3_k5Xpfmik,21.080,21.580,they
d3_k5Xpfmik,21.580,21.720,do
d3_k5Xpfmik,21.720,21.920,that
d3_k5Xpfmik,21.920,22.060,to
d3_k5Xpfmik,22.060,22.380,avoid
d3_k5Xpfmik,22.380,22.880,becoming
d3_k5Xpfmik,22.880,23.340,emotionally
d3_k5Xpfmik,23.340,23.800,attached
d3_k5Xpfmik,23.800,24.080,to
d3_k5Xpfmik,24.080,24.240,each
d3_k5Xpfmik,24.240,24.560,other.
d3_k5Xpfmik,24.860,25.220,Now
d3_k5Xpfmik,25.220,25.800,Columbus
d3_k5Xpfmik,25.800,26.460,is
d3_k5Xpfmik,27.080,27.700,basically
d3_k5Xpfmik,29.080,29.600,OCD
d3_k5Xpfmik,29.600,30.100,"like,"
d3_k5Xpfmik,30.360,30.520,he's
d3_k5Xpfmik,30.520,30.700,got
d3_k5Xpfmik,30.700,31.020,loads
d3_k5Xpfmik,31.020,31.240,of
d3_k5Xpfmik,31.240,31.560,rules
d3_k5Xpfmik,31.560,31.820,of
d3_k5Xpfmik,31.820,32.040,how
d3_k5Xpfmik,32.040,32.600,to
d3_k5Xpfmik,32.600,33.240,Survive
d3_k5Xpfmik,33.240,33.460,a
d3_k5Xpfmik,33.460,33.660,zombie
d3_k5Xpfmik,33.660,34.160,apocalypse
d3_k5Xpfmik,34.160,34.540,and
d3_k5Xpfmik,34.540,34.740,he's
d3_k5Xpfmik,34.740,35.000,kind
d3_k5Xpfmik,35.000,35.260,of
d3_k5Xpfmik,35.260,35.720,always
d3_k5Xpfmik,35.720,36.000,been
d3_k5Xpfmik,36.000,36.180,a
d3_k5Xpfmik,36.180,36.540,social
d3_k5Xpfmik,36.540,37.020,outcast
d3_k5Xpfmik,37.020,37.220,and
d3_k5Xpfmik,37.220,37.320,a
d3_k5Xpfmik,37.320,37.420,bit
d3_k5Xpfmik,37.420,37.580,of
d3_k5Xpfmik,37.580,37.640,a
d3_k5Xpfmik,37.640,37.940,loner
d3_k5Xpfmik,37.940,38.640,and
d3_k5Xpfmik,38.640,38.900,When
d3_k5Xpfmik,38.900,39.040,he
d3_k5Xpfmik,39.040,39.240,meets
d3_k5Xpfmik,39.240,39.920,Tallahassee
d3_k5Xpfmik,39.920,40.100,who
d3_k5Xpfmik,40.100,40.240,is
d3_k5Xpfmik,40.240,40.460,like
d3_k5Xpfmik,40.460,40.700,this
d3_k5Xpfmik,40.700,40.980,same
d3_k5Xpfmik,40.980,41.340,kind
d3_k5Xpfmik,41.340,41.720,of
d3_k5Xpfmik,41.720,42.260,almost
d3_k5Xpfmik,42.260,42.840,batshit
d3_k5Xpfmik,42.840,43.400,crazy
d3_k5Xpfmik,43.960,44.220,Zombi
d3_k5Xpfmik,44.220,44.520,-killer
d3_k5Xpfmik,44.520,45.320,the
d3_k5Xpfmik,45.320,46.160,clash
d3_k5Xpfmik,46.160,46.420,of
d3_k5Xpfmik,46.420,46.900,personalities
d3_k5Xpfmik,46.900,47.260,is
d3_k5Xpfmik,47.260,47.760,really
d3_k5Xpfmik,48.760,49.280,Charismatic
d3_k5Xpfmik,49.280,49.600,and
d3_k5Xpfmik,49.600,50.040,dynamic
d3_k5Xpfmik,50.040,50.440,and
d3_k5Xpfmik,50.440,50.720,it
d3_k5Xpfmik,50.720,51.060,adds
d3_k5Xpfmik,51.060,51.200,a
d3_k5Xpfmik,51.200,51.380,really
d3_k5Xpfmik,51.380,51.700,neat
d3_k5Xpfmik,51.700,51.920,layer
d3_k5Xpfmik,51.920,52.120,to
d3_k5Xpfmik,52.120,52.260,the
d3_k5Xpfmik,52.260,52.520,film.
d3_k5Xpfmik,52.640,53.080,It's
d3_k5Xpfmik,53.080,53.220,not
d3_k5Xpfmik,53.220,53.420,long
d3_k5Xpfmik,53.420,53.720,before
d3_k5Xpfmik,53.720,53.900,they
d3_k5Xpfmik,53.900,54.080,meet
d3_k5Xpfmik,54.080,54.400,two
d3_k5Xpfmik,54.400,54.820,girls
d3_k5Xpfmik,54.820,55.040,one
d3_k5Xpfmik,55.040,55.200,of
d3_k5Xpfmik,55.200,55.300,which
d3_k5Xpfmik,55.300,55.480,is
d3_k5Xpfmik,55.480,55.720,called
d3_k5Xpfmik,55.720,56.160,Wichita
d3_k5Xpfmik,56.160,57.260,and
d3_k5Xpfmik,57.260,57.980,who
d3_k5Xpfmik,57.980,58.740,Columbus
d3_k5Xpfmik,58.740,59.080,falls
d3_k5Xpfmik,59.080,59.520,for
d3_k5Xpfmik,59.520,59.860,and
d3_k5Xpfmik,60.440,61.020,her
d3_k5Xpfmik,61.020,61.520,smaller
d3_k5Xpfmik,61.520,61.840,sister
d3_k5Xpfmik,61.840,62.200,called
d3_k5Xpfmik,62.200,62.460,him.
d3_k5Xpfmik,62.600,62.620,I
d3_k5Xpfmik,62.620,62.820,think
d3_k5Xpfmik,62.820,63.220,it's
d3_k5Xpfmik,63.220,63.440,Little
d3_k5Xpfmik,63.440,63.780,Rock
d3_k5Xpfmik,63.780,64.120,and
d3_k5Xpfmik,64.860,65.540,basically
d3_k5Xpfmik,65.540,66.220,the
d3_k5Xpfmik,66.220,67.220,These
d3_k5Xpfmik,67.220,67.580,girls
d3_k5Xpfmik,67.580,68.000,try
d3_k5Xpfmik,68.000,68.420,to
d3_k5Xpfmik,68.420,69.060,get
d3_k5Xpfmik,69.060,69.260,one
d3_k5Xpfmik,69.260,69.620,over
d3_k5Xpfmik,69.620,69.940,on
d3_k5Xpfmik,69.940,70.060,the
d3_k5Xpfmik,70.060,70.360,guys
d3_k5Xpfmik,70.360,70.740,all
d3_k5Xpfmik,70.740,70.880,the
d3_k5Xpfmik,70.880,71.240,time
d3_k5Xpfmik,71.240,71.600,like
d3_k5Xpfmik,71.600,71.920,steal
d3_k5Xpfmik,71.920,72.080,the
d3_k5Xpfmik,72.080,72.360,truck
d3_k5Xpfmik,72.360,72.640,steal
d3_k5Xpfmik,72.640,72.860,the
d3_k5Xpfmik,72.860,73.140,ammo
d3_k5Xpfmik,73.140,73.760,all
d3_k5Xpfmik,73.760,73.940,that
d3_k5Xpfmik,73.940,74.220,stuff
d3_k5Xpfmik,74.220,74.540,So
d3_k5Xpfmik,74.540,74.940,and
d3_k5Xpfmik,74.940,75.640,it
d3_k5Xpfmik,75.640,75.840,just
d3_k5Xpfmik,75.840,76.040,goes
d3_k5Xpfmik,76.040,76.240,to
d3_k5Xpfmik,76.240,76.440,show
d3_k5Xpfmik,76.440,76.600,that
d3_k5Xpfmik,76.600,76.720,you
d3_k5Xpfmik,76.720,76.940,really
d3_k5Xpfmik,76.940,77.300,can't
d3_k5Xpfmik,77.300,77.440,trust
d3_k5Xpfmik,77.440,77.720,anyone
d3_k5Xpfmik,77.720,77.900,in
d3_k5Xpfmik,77.900,78.060,this
d3_k5Xpfmik,78.060,78.700,situation
d3_k5Xpfmik,78.700,79.520,Zombieland
d3_k5Xpfmik,79.520,79.740,is
d3_k5Xpfmik,79.740,79.860,a
d3_k5Xpfmik,79.860,80.080,really
d3_k5Xpfmik,80.080,80.600,successful
d3_k5Xpfmik,80.600,81.120,horror
d3_k5Xpfmik,81.120,81.600,comedy
d3_k5Xpfmik,81.600,82.100,as
d3_k5Xpfmik,82.100,82.440,it
d3_k5Xpfmik,82.440,83.300,contains
d3_k5Xpfmik,84.640,85.280,a
d3_k5Xpfmik,85.280,85.300,really
d3_k5Xpfmik,85.300,86.340,well
d3_k5Xpfmik,86.340,86.780,done
d3_k5Xpfmik,86.780,87.080,and
d3_k5Xpfmik,87.080,87.580,faithful
d3_k5Xpfmik,87.580,88.220,homages
d3_k5Xpfmik,88.220,88.620,to
d3_k5Xpfmik,88.620,88.920,the
d3_k5Xpfmik,88.920,89.560,zombie
d3_k5Xpfmik,89.560,90.180,horror
d3_k5Xpfmik,90.180,90.500,sub
d3_k5Xpfmik,90.500,90.880,-genre
d3_k5Xpfmik,90.880,91.200,and
d3_k5Xpfmik,92.480,93.120,While
d3_k5Xpfmik,93.120,93.300,it
d3_k5Xpfmik,93.300,93.700,also
d3_k5Xpfmik,93.700,94.500,maintains
d3_k5Xpfmik,94.500,94.840,its
d3_k5Xpfmik,94.840,95.160,kind
d3_k5Xpfmik,95.160,95.680,of
d3_k5Xpfmik,95.680,96.640,detached
d3_k5Xpfmik,98.470,99.110,Satire
d3_k5Xpfmik,99.110,99.430,of
d3_k5Xpfmik,99.430,99.550,the
d3_k5Xpfmik,99.550,99.850,"genre,"
d3_k5Xpfmik,99.850,100.430,but
d3_k5Xpfmik,100.430,100.650,it's
d3_k5Xpfmik,100.650,100.890,really
d3_k5Xpfmik,100.890,101.210,well
d3_k5Xpfmik,101.210,101.570,done
d3_k5Xpfmik,101.570,101.970,I
d3_k5Xpfmik,101.970,102.150,have
d3_k5Xpfmik,102.150,102.290,to
d3_k5Xpfmik,102.290,102.490,say
d3_k5Xpfmik,102.490,102.650,that
d3_k5Xpfmik,102.650,102.770,I
d3_k5Xpfmik,102.770,102.950,thought
d3_k5Xpfmik,102.950,103.110,the
d3_k5Xpfmik,103.110,103.470,credit
d3_k5Xpfmik,103.470,103.970,sequence
d3_k5Xpfmik,103.970,104.350,which
d3_k5Xpfmik,104.350,104.550,I
d3_k5Xpfmik,104.550,104.730,won't
d3_k5Xpfmik,104.730,104.850,give
d3_k5Xpfmik,104.850,105.050,too
d3_k5Xpfmik,105.050,105.210,much
d3_k5Xpfmik,105.210,105.450,away
d3_k5Xpfmik,105.450,105.850,because
d3_k5Xpfmik,105.850,106.810,You
d3_k5Xpfmik,106.810,107.070,really
d3_k5Xpfmik,107.070,107.230,want
d3_k5Xpfmik,107.230,107.350,to
d3_k5Xpfmik,107.350,107.510,see
d3_k5Xpfmik,107.510,107.590,it
d3_k5Xpfmik,107.590,107.730,for
d3_k5Xpfmik,107.730,108.130,yourself
d3_k5Xpfmik,108.130,109.170,It's
d3_k5Xpfmik,109.170,109.510,basically
d3_k5Xpfmik,109.510,110.390,a
d3_k5Xpfmik,110.390,110.930,slow
d3_k5Xpfmik,110.930,111.410,-motion
d3_k5Xpfmik,111.410,112.070,showcase
d3_k5Xpfmik,112.070,112.890,of
d3_k5Xpfmik,112.890,113.290,different
d3_k5Xpfmik,113.290,113.790,events
d3_k5Xpfmik,113.790,114.510,this
d3_k5Xpfmik,114.510,114.770,credit
d3_k5Xpfmik,114.770,115.210,sequence
d3_k5Xpfmik,115.210,115.430,I
d3_k5Xpfmik,115.430,115.650,think
d3_k5Xpfmik,115.650,115.850,is
d3_k5Xpfmik,115.850,116.030,the
d3_k5Xpfmik,116.030,116.290,best
d3_k5Xpfmik,116.290,116.590,credit
d3_k5Xpfmik,116.590,117.310,sequence
d3_k5Xpfmik,117.310,118.190,Since
d3_k5Xpfmik,118.190,118.830,watchman
d3_k5Xpfmik,118.830,119.450,and
d3_k5Xpfmik,119.450,119.650,I
d3_k5Xpfmik,119.650,119.890,honestly
d3_k5Xpfmik,119.890,120.170,think
d3_k5Xpfmik,120.170,120.450,if
d3_k5Xpfmik,120.450,121.010,we
d3_k5Xpfmik,121.010,121.390,hadn't
d3_k5Xpfmik,121.390,121.490,have
d3_k5Xpfmik,121.490,121.750,seen
d3_k5Xpfmik,121.750,122.190,watchman
d3_k5Xpfmik,122.190,122.350,This
d3_k5Xpfmik,122.350,122.490,would
d3_k5Xpfmik,122.490,122.630,be
d3_k5Xpfmik,122.630,122.790,the
d3_k5Xpfmik,122.790,122.990,best
d3_k5Xpfmik,122.990,123.230,credit
d3_k5Xpfmik,123.230,123.750,sequence
d3_k5Xpfmik,123.750,123.950,of
d3_k5Xpfmik,123.950,124.110,the
d3_k5Xpfmik,124.110,124.350,year.
d3_k5Xpfmik,124.350,124.590,It
d3_k5Xpfmik,124.590,124.870,really
d3_k5Xpfmik,124.870,125.210,is
d3_k5Xpfmik,125.210,125.470,good
d3_k5Xpfmik,125.470,125.670,I
d3_k5Xpfmik,125.670,125.890,mean
d3_k5Xpfmik,125.890,126.410,it
d3_k5Xpfmik,126.410,126.830,uses
d3_k5Xpfmik,126.830,127.370,and
d3_k5Xpfmik,127.370,127.630,this
d3_k5Xpfmik,127.630,127.830,just
d3_k5Xpfmik,127.830,128.250,doesn't
d3_k5Xpfmik,128.250,128.550,apply
d3_k5Xpfmik,128.550,128.730,to
d3_k5Xpfmik,128.730,129.290,the
d3_k5Xpfmik,130.170,130.730,Credit
d3_k5Xpfmik,130.730,131.290,sequence
d3_k5Xpfmik,131.290,131.670,on
d3_k5Xpfmik,131.670,131.790,its
d3_k5Xpfmik,131.790,132.070,own
d3_k5Xpfmik,132.070,132.290,but
d3_k5Xpfmik,132.290,132.590,applies
d3_k5Xpfmik,132.590,132.770,to
d3_k5Xpfmik,132.770,132.890,the
d3_k5Xpfmik,132.890,133.090,movie
d3_k5Xpfmik,133.090,133.230,as
d3_k5Xpfmik,133.230,133.330,a
d3_k5Xpfmik,133.330,133.630,whole
d3_k5Xpfmik,133.630,134.190,it
d3_k5Xpfmik,134.190,134.470,really
d3_k5Xpfmik,134.470,134.730,knows
d3_k5Xpfmik,134.730,134.990,how
d3_k5Xpfmik,134.990,135.130,to
d3_k5Xpfmik,135.130,135.390,use
d3_k5Xpfmik,135.390,135.830,Slow
d3_k5Xpfmik,135.830,136.270,motion
d3_k5Xpfmik,136.270,136.630,without
d3_k5Xpfmik,136.630,136.910,making
d3_k5Xpfmik,136.910,137.110,it
d3_k5Xpfmik,137.110,137.210,a
d3_k5Xpfmik,137.210,137.570,gimmick
d3_k5Xpfmik,137.570,137.930,the
d3_k5Xpfmik,137.930,138.370,sequences
d3_k5Xpfmik,138.370,138.610,at
d3_k5Xpfmik,138.610,138.690,the
d3_k5Xpfmik,138.690,138.910,beginning
d3_k5Xpfmik,138.910,139.090,of
d3_k5Xpfmik,139.090,139.210,the
d3_k5Xpfmik,139.210,139.410,film
d3_k5Xpfmik,139.410,139.590,which
d3_k5Xpfmik,139.590,140.090,feature
d3_k5Xpfmik,140.090,140.610,Columbus
d3_k5Xpfmik,140.610,141.210,explaining
d3_k5Xpfmik,141.210,141.590,some
d3_k5Xpfmik,141.590,141.710,of
d3_k5Xpfmik,141.710,141.850,his
d3_k5Xpfmik,141.850,142.470,rules
d3_k5Xpfmik,142.470,142.870,to
d3_k5Xpfmik,142.870,143.570,Surviving
d3_k5Xpfmik,143.570,144.090,a
d3_k5Xpfmik,144.090,144.730,zombie
d3_k5Xpfmik,144.730,145.290,apocalypse
d3_k5Xpfmik,145.290,145.630,are
d3_k5Xpfmik,145.630,145.970,really
d3_k5Xpfmik,145.970,146.270,well
d3_k5Xpfmik,146.270,146.590,done
d3_k5Xpfmik,146.590,147.030,like
d3_k5Xpfmik,147.030,147.290,rule
d3_k5Xpfmik,147.290,147.490,number
d3_k5Xpfmik,147.490,147.850,one
d3_k5Xpfmik,147.850,148.370,cardio
d3_k5Xpfmik,148.370,148.830,the
d3_k5Xpfmik,148.830,149.030,you
d3_k5Xpfmik,149.030,149.130,know
d3_k5Xpfmik,149.130,149.290,The
d3_k5Xpfmik,149.290,149.470,fat
d3_k5Xpfmik,149.470,149.790,people
d3_k5Xpfmik,149.790,150.030,die
d3_k5Xpfmik,150.030,150.390,first
d3_k5Xpfmik,150.390,150.550,in
d3_k5Xpfmik,150.550,150.690,the
d3_k5Xpfmik,150.690,151.090,apocalypse
d3_k5Xpfmik,151.090,151.330,and
