id,start,end,word
d6hH302o4v8,0.820,1.380,"Hello,"
d6hH302o4v8,1.480,1.540,and
d6hH302o4v8,1.540,1.660,this
d6hH302o4v8,1.660,1.800,is
d6hH302o4v8,1.800,1.920,my
d6hH302o4v8,1.920,2.280,review
d6hH302o4v8,2.280,2.900,of
d6hH302o4v8,3.580,3.920,season
d6hH302o4v8,3.920,4.600,of
d6hH302o4v8,4.600,4.820,the
d6hH302o4v8,4.820,5.220,witch
d6hH302o4v8,6.420,6.940,this
d6hH302o4v8,6.940,7.220,movie
d6hH302o4v8,7.220,7.840,was
d6hH302o4v8,8.620,9.140,horrible
d6hH302o4v8,10.640,11.160,Nicholas
d6hH302o4v8,11.160,11.580,cage
d6hH302o4v8,11.580,11.980,should
d6hH302o4v8,11.980,12.280,not
d6hH302o4v8,12.280,12.740,do
d6hH302o4v8,12.740,12.900,this
d6hH302o4v8,12.900,13.100,kind
d6hH302o4v8,13.100,13.220,of
d6hH302o4v8,13.220,13.520,movies.
d6hH302o4v8,14.040,14.560,He's
d6hH302o4v8,14.560,14.900,always
d6hH302o4v8,14.900,15.100,in
d6hH302o4v8,15.100,15.200,this
d6hH302o4v8,15.200,15.340,kind
d6hH302o4v8,15.340,15.420,of
d6hH302o4v8,15.420,15.680,movies
d6hH302o4v8,15.680,15.820,all
d6hH302o4v8,15.820,15.980,these
d6hH302o4v8,15.980,16.500,sorcerer
d6hH302o4v8,16.500,17.180,which
d6hH302o4v8,17.780,18.300,Voodoo
d6hH302o4v8,18.300,18.660,kind
d6hH302o4v8,18.660,18.780,of
d6hH302o4v8,18.780,19.220,movies
d6hH302o4v8,19.220,20.100,and
d6hH302o4v8,20.100,20.400,it's
d6hH302o4v8,20.400,20.520,getting
d6hH302o4v8,20.520,20.720,really
d6hH302o4v8,20.720,21.160,tiring.
d6hH302o4v8,21.240,21.560,He's
d6hH302o4v8,21.560,21.920,horrible
d6hH302o4v8,21.920,22.260,at
d6hH302o4v8,22.260,22.480,no
d6hH302o4v8,22.480,22.580,one
d6hH302o4v8,22.580,22.760,takes
d6hH302o4v8,22.760,22.980,him
d6hH302o4v8,22.980,23.620,seriously
d6hH302o4v8,23.620,24.500,When
d6hH302o4v8,24.500,24.600,he
d6hH302o4v8,24.600,24.700,was
d6hH302o4v8,24.700,24.820,on
d6hH302o4v8,24.820,25.140,"screen,"
d6hH302o4v8,25.140,25.280,I
d6hH302o4v8,25.280,25.420,wanted
d6hH302o4v8,25.420,25.600,to
d6hH302o4v8,25.600,25.840,punch
d6hH302o4v8,25.840,25.980,him
d6hH302o4v8,25.980,26.080,in
d6hH302o4v8,26.080,26.160,the
d6hH302o4v8,26.160,26.460,face.
d6hH302o4v8,26.640,27.160,He's
d6hH302o4v8,27.160,27.340,very
d6hH302o4v8,27.340,27.860,boring.
d6hH302o4v8,27.980,28.220,He
d6hH302o4v8,28.220,28.320,was
d6hH302o4v8,28.320,28.620,very
d6hH302o4v8,28.620,29.340,annoying
d6hH302o4v8,29.340,30.100,He
d6hH302o4v8,30.100,30.220,had
d6hH302o4v8,30.220,30.320,no
d6hH302o4v8,30.320,30.440,idea
d6hH302o4v8,30.440,30.500,what
d6hH302o4v8,30.500,30.580,he
d6hH302o4v8,30.580,30.660,was
d6hH302o4v8,30.660,31.080,talking
d6hH302o4v8,31.080,31.480,about
d6hH302o4v8,31.480,31.880,and
d6hH302o4v8,31.880,32.100,I
d6hH302o4v8,32.100,32.260,was
d6hH302o4v8,32.260,32.480,sitting
d6hH302o4v8,32.480,32.680,in
d6hH302o4v8,32.680,32.700,the
d6hH302o4v8,32.700,32.820,theater
d6hH302o4v8,32.820,33.380,sleeping
d6hH302o4v8,34.460,34.900,Ron
d6hH302o4v8,34.900,35.280,Perlman
d6hH302o4v8,35.280,35.500,was
d6hH302o4v8,35.500,35.620,in
d6hH302o4v8,35.620,35.700,this
d6hH302o4v8,35.700,35.860,movie
d6hH302o4v8,35.860,36.180,too.
d6hH302o4v8,36.340,36.580,He
d6hH302o4v8,36.580,37.280,is
d6hH302o4v8,37.280,37.460,in
d6hH302o4v8,37.460,37.940,Hellboy.
d6hH302o4v8,38.420,38.860,He's
d6hH302o4v8,38.860,38.980,very
d6hH302o4v8,38.980,39.140,good
d6hH302o4v8,39.140,39.260,in
d6hH302o4v8,39.260,39.740,Hellboy
d6hH302o4v8,40.620,41.060,But
d6hH302o4v8,41.060,41.160,in
d6hH302o4v8,41.160,41.260,this
d6hH302o4v8,41.260,41.520,movie
d6hH302o4v8,41.520,41.840,he
d6hH302o4v8,41.840,42.400,wasn't
d6hH302o4v8,42.400,42.540,good
d6hH302o4v8,42.540,42.720,at
d6hH302o4v8,42.720,42.960,all.
d6hH302o4v8,43.260,43.280,I
d6hH302o4v8,43.280,43.820,didn't
d6hH302o4v8,43.820,44.040,really
d6hH302o4v8,44.040,44.260,care
d6hH302o4v8,44.260,44.480,for
d6hH302o4v8,44.480,44.620,his
d6hH302o4v8,44.620,44.880,character
d6hH302o4v8,44.880,45.100,at
d6hH302o4v8,45.100,45.480,all
d6hH302o4v8,45.480,45.980,He's
d6hH302o4v8,45.980,46.840,very
d6hH302o4v8,46.840,47.600,boring
d6hH302o4v8,47.600,47.820,as
d6hH302o4v8,47.820,48.020,well.
d6hH302o4v8,48.180,48.220,The
d6hH302o4v8,48.220,48.260,whole
d6hH302o4v8,48.260,48.460,movie
d6hH302o4v8,48.460,48.600,is
d6hH302o4v8,48.600,48.780,very
d6hH302o4v8,48.780,49.140,boring
d6hH302o4v8,49.140,49.340,made
d6hH302o4v8,49.340,49.580,no
d6hH302o4v8,49.580,49.960,sense
d6hH302o4v8,49.960,50.360,It
d6hH302o4v8,50.360,51.000,took
d6hH302o4v8,51.000,51.240,place
d6hH302o4v8,51.240,51.360,in
d6hH302o4v8,51.360,51.460,the
d6hH302o4v8,51.460,51.960,14th
d6hH302o4v8,51.960,52.340,century
d6hH302o4v8,52.340,53.140,about
d6hH302o4v8,53.140,53.540,these
d6hH302o4v8,53.540,53.840,witches
d6hH302o4v8,53.840,54.040,and
d6hH302o4v8,54.040,54.220,stuff.
d6hH302o4v8,54.380,54.380,I
d6hH302o4v8,54.380,54.600,didn't
d6hH302o4v8,54.600,54.900,really
d6hH302o4v8,54.900,55.160,care
d6hH302o4v8,55.160,55.400,about
d6hH302o4v8,55.400,55.520,it
d6hH302o4v8,55.520,55.640,at
d6hH302o4v8,55.640,55.980,all
d6hH302o4v8,56.040,57.000,I
d6hH302o4v8,57.000,57.140,had
d6hH302o4v8,57.140,57.260,no
d6hH302o4v8,57.260,57.380,idea
d6hH302o4v8,57.380,57.740,why
d6hH302o4v8,57.740,57.920,I
d6hH302o4v8,57.920,58.360,saw
d6hH302o4v8,58.360,58.660,this
d6hH302o4v8,58.660,58.860,movie
d6hH302o4v8,58.860,59.660,the
d6hH302o4v8,59.660,59.900,trailer
d6hH302o4v8,59.900,60.200,looked
d6hH302o4v8,60.200,60.400,like
d6hH302o4v8,60.400,60.640,it
d6hH302o4v8,60.640,61.040,could
d6hH302o4v8,61.040,61.160,be
d6hH302o4v8,61.160,61.300,a
d6hH302o4v8,61.300,61.500,little
d6hH302o4v8,61.500,62.360,good
d6hH302o4v8,63.220,63.820,But
d6hH302o4v8,63.820,63.920,when
d6hH302o4v8,63.920,64.060,I
d6hH302o4v8,64.060,64.340,saw
d6hH302o4v8,64.340,64.540,it
d6hH302o4v8,64.540,64.780,was
d6hH302o4v8,64.780,65.140,this
d6hH302o4v8,65.140,65.920,totally
d6hH302o4v8,65.920,66.400,boring
d6hH302o4v8,68.270,68.870,This
d6hH302o4v8,68.870,69.050,movie
d6hH302o4v8,69.050,69.210,was
d6hH302o4v8,69.210,69.510,pushed
d6hH302o4v8,69.510,69.990,back
d6hH302o4v8,69.990,70.350,till
d6hH302o4v8,70.350,70.550,this
d6hH302o4v8,70.550,70.930,year.
d6hH302o4v8,71.050,71.650,It
