id,start,end,word
dq3Nf_lMPnE,12.750,13.070,The
dq3Nf_lMPnE,13.070,13.270,trouble
dq3Nf_lMPnE,13.270,13.550,with
dq3Nf_lMPnE,13.550,13.790,sequels
dq3Nf_lMPnE,13.790,14.170,"is,"
dq3Nf_lMPnE,14.710,15.210,what
dq3Nf_lMPnE,15.210,15.390,else
dq3Nf_lMPnE,15.390,15.590,can
dq3Nf_lMPnE,15.590,15.670,you
dq3Nf_lMPnE,15.670,15.790,do
dq3Nf_lMPnE,15.790,15.890,with
dq3Nf_lMPnE,15.890,16.010,the
dq3Nf_lMPnE,16.010,16.350,characters
dq3Nf_lMPnE,16.350,16.630,that
dq3Nf_lMPnE,16.630,16.910,hasn't
dq3Nf_lMPnE,16.910,17.210,already
dq3Nf_lMPnE,17.210,17.470,been
dq3Nf_lMPnE,17.470,17.810,done?
dq3Nf_lMPnE,18.920,19.200,Part
dq3Nf_lMPnE,19.200,19.320,of
dq3Nf_lMPnE,19.320,19.400,the
dq3Nf_lMPnE,19.400,19.540,fun
dq3Nf_lMPnE,19.540,19.660,in
dq3Nf_lMPnE,19.660,19.960,watching
dq3Nf_lMPnE,19.960,20.280,movies
dq3Nf_lMPnE,20.280,20.480,is
dq3Nf_lMPnE,20.480,20.860,witnessing
dq3Nf_lMPnE,20.860,21.220,the
dq3Nf_lMPnE,21.220,21.600,changes
dq3Nf_lMPnE,21.600,22.020,and
dq3Nf_lMPnE,22.020,22.340,growth
dq3Nf_lMPnE,22.340,22.580,in
dq3Nf_lMPnE,22.580,22.700,the
dq3Nf_lMPnE,22.700,23.140,characters.
dq3Nf_lMPnE,23.860,24.020,It's
dq3Nf_lMPnE,24.020,24.280,usually
dq3Nf_lMPnE,24.280,24.520,a
dq3Nf_lMPnE,24.520,24.840,path
dq3Nf_lMPnE,24.840,25.060,of
dq3Nf_lMPnE,25.060,25.580,discovery.
dq3Nf_lMPnE,26.590,26.750,But
dq3Nf_lMPnE,26.750,26.910,how
dq3Nf_lMPnE,26.910,26.990,do
dq3Nf_lMPnE,26.990,27.130,you
dq3Nf_lMPnE,27.130,27.270,keep
dq3Nf_lMPnE,27.270,27.650,characters
dq3Nf_lMPnE,27.650,28.130,developing
dq3Nf_lMPnE,28.130,28.470,in
dq3Nf_lMPnE,28.470,28.810,sequel
dq3Nf_lMPnE,28.810,29.190,after
dq3Nf_lMPnE,29.190,29.690,sequel
dq3Nf_lMPnE,29.690,29.970,after
dq3Nf_lMPnE,29.970,30.410,sequel?
dq3Nf_lMPnE,31.130,31.350,"Shrek,"
dq3Nf_lMPnE,31.570,31.790,forever
dq3Nf_lMPnE,31.790,32.170,"after,"
dq3Nf_lMPnE,33.150,33.230,or
dq3Nf_lMPnE,33.230,33.350,is
dq3Nf_lMPnE,33.350,33.470,it
dq3Nf_lMPnE,33.470,33.710,called
dq3Nf_lMPnE,33.710,33.990,the
dq3Nf_lMPnE,33.990,34.290,final
dq3Nf_lMPnE,34.290,34.750,"chapter,"
dq3Nf_lMPnE,35.070,35.070,a
dq3Nf_lMPnE,35.070,35.270,last
dq3Nf_lMPnE,35.270,35.430,-minute
dq3Nf_lMPnE,35.430,35.770,title
dq3Nf_lMPnE,35.770,35.990,that
dq3Nf_lMPnE,35.990,36.150,they
dq3Nf_lMPnE,36.150,36.310,threw
dq3Nf_lMPnE,36.310,36.430,on
dq3Nf_lMPnE,36.430,36.530,at
dq3Nf_lMPnE,36.530,36.690,the
dq3Nf_lMPnE,36.690,36.930,theaters?
dq3Nf_lMPnE,37.790,38.070,Dreamworks
dq3Nf_lMPnE,38.070,38.270,is
dq3Nf_lMPnE,38.270,38.670,confusing
dq3Nf_lMPnE,38.670,39.310,me.
dq3Nf_lMPnE,39.980,40.240,They
dq3Nf_lMPnE,40.240,40.560,solve
dq3Nf_lMPnE,40.560,40.780,this
dq3Nf_lMPnE,40.780,41.020,dilemma
dq3Nf_lMPnE,41.020,41.380,by
dq3Nf_lMPnE,41.380,41.820,removing
dq3Nf_lMPnE,41.820,42.220,the
dq3Nf_lMPnE,42.220,42.640,past
dq3Nf_lMPnE,42.640,43.060,with
dq3Nf_lMPnE,43.060,43.280,an
dq3Nf_lMPnE,43.280,43.840,it's
dq3Nf_lMPnE,43.840,43.960,a
dq3Nf_lMPnE,43.960,44.220,wonderful
dq3Nf_lMPnE,44.220,44.660,life
dq3Nf_lMPnE,44.660,45.140,"twist,"
dq3Nf_lMPnE,45.440,45.680,courtesy
dq3Nf_lMPnE,45.680,45.940,of
dq3Nf_lMPnE,45.940,46.100,new
dq3Nf_lMPnE,46.100,46.520,baddie
dq3Nf_lMPnE,46.520,47.480,Rumpelstiltskin.
dq3Nf_lMPnE,48.590,48.950,Everything
dq3Nf_lMPnE,48.950,49.210,that
dq3Nf_lMPnE,49.210,49.390,happened
dq3Nf_lMPnE,49.390,49.790,in
dq3Nf_lMPnE,49.790,49.870,Shrek
dq3Nf_lMPnE,49.870,50.130,"1,"
dq3Nf_lMPnE,50.170,50.370,"2,"
dq3Nf_lMPnE,50.430,50.530,and
dq3Nf_lMPnE,50.530,50.790,3
dq3Nf_lMPnE,50.790,50.970,are
dq3Nf_lMPnE,50.970,51.310,wiped
dq3Nf_lMPnE,51.310,51.690,away.
dq3Nf_lMPnE,52.050,52.310,It's
dq3Nf_lMPnE,52.310,52.430,a
dq3Nf_lMPnE,52.430,52.730,clean
dq3Nf_lMPnE,52.730,53.010,sweep
dq3Nf_lMPnE,53.010,53.250,of
dq3Nf_lMPnE,53.250,53.650,Shrek's
dq3Nf_lMPnE,53.650,53.870,life
dq3Nf_lMPnE,53.870,54.470,where
dq3Nf_lMPnE,54.470,54.590,he
dq3Nf_lMPnE,54.590,54.710,can
dq3Nf_lMPnE,54.710,54.950,now
dq3Nf_lMPnE,54.950,55.170,be
dq3Nf_lMPnE,55.170,55.390,a
dq3Nf_lMPnE,55.390,55.790,single
dq3Nf_lMPnE,55.790,56.330,grumpy
dq3Nf_lMPnE,56.330,56.590,ogre
dq3Nf_lMPnE,56.590,57.050,again
dq3Nf_lMPnE,57.050,57.590,without
dq3Nf_lMPnE,57.590,57.790,the
dq3Nf_lMPnE,57.790,57.990,burdens
dq3Nf_lMPnE,57.990,58.210,of
dq3Nf_lMPnE,58.210,58.390,being
dq3Nf_lMPnE,58.390,58.570,a
dq3Nf_lMPnE,58.570,58.830,husband
dq3Nf_lMPnE,58.830,59.070,and
dq3Nf_lMPnE,59.070,59.190,a
dq3Nf_lMPnE,59.190,59.430,father.
dq3Nf_lMPnE,60.400,60.800,Not
dq3Nf_lMPnE,60.800,60.940,a
dq3Nf_lMPnE,60.940,61.140,bad
dq3Nf_lMPnE,61.140,61.440,idea
dq3Nf_lMPnE,61.440,61.660,for
dq3Nf_lMPnE,61.660,61.800,a
dq3Nf_lMPnE,61.800,62.040,"sequel,"
dq3Nf_lMPnE,62.400,62.580,but
dq3Nf_lMPnE,62.580,62.980,also
dq3Nf_lMPnE,63.070,64.150,not
dq3Nf_lMPnE,64.150,64.390,very
dq3Nf_lMPnE,64.390,64.830,original.
dq3Nf_lMPnE,65.750,65.990,Shrek
dq3Nf_lMPnE,65.990,66.270,4
dq3Nf_lMPnE,66.270,66.510,misses
dq3Nf_lMPnE,66.510,66.770,out
dq3Nf_lMPnE,66.770,66.930,on
dq3Nf_lMPnE,66.930,67.050,the
