id,start,end,word
f9O3YtZ2VfI,0.140,0.620,Good
f9O3YtZ2VfI,0.620,0.840,evening
f9O3YtZ2VfI,0.840,1.260,friends.
f9O3YtZ2VfI,2.180,2.300,This
f9O3YtZ2VfI,2.300,2.580,video
f9O3YtZ2VfI,2.580,2.820,is
f9O3YtZ2VfI,2.820,3.080,originally
f9O3YtZ2VfI,3.080,3.360,supposed
f9O3YtZ2VfI,3.360,3.560,to
f9O3YtZ2VfI,3.560,4.020,be
f9O3YtZ2VfI,4.020,4.480,Alfred
f9O3YtZ2VfI,4.480,5.100,Hitchcock's
f9O3YtZ2VfI,5.100,5.400,Psycho
f9O3YtZ2VfI,5.400,5.960,versus
f9O3YtZ2VfI,5.960,6.740,the
f9O3YtZ2VfI,6.740,6.980,Curious
f9O3YtZ2VfI,6.980,7.180,Case
f9O3YtZ2VfI,7.180,7.360,of
f9O3YtZ2VfI,7.360,7.640,Benjamin
f9O3YtZ2VfI,7.640,7.900,Button
f9O3YtZ2VfI,8.860,9.380,But
f9O3YtZ2VfI,9.380,9.520,I
f9O3YtZ2VfI,9.520,9.720,decided
f9O3YtZ2VfI,9.720,9.940,to
f9O3YtZ2VfI,9.940,10.080,do
f9O3YtZ2VfI,10.080,10.340,away
f9O3YtZ2VfI,10.340,10.480,with
f9O3YtZ2VfI,10.480,10.640,that
f9O3YtZ2VfI,10.640,10.880,crap
f9O3YtZ2VfI,10.880,11.360,So
f9O3YtZ2VfI,11.360,11.680,it's
f9O3YtZ2VfI,11.680,11.860,just
f9O3YtZ2VfI,11.860,12.040,gonna
f9O3YtZ2VfI,12.040,12.180,be
f9O3YtZ2VfI,12.180,12.240,a
f9O3YtZ2VfI,12.240,12.460,review
f9O3YtZ2VfI,12.460,12.680,of
f9O3YtZ2VfI,12.680,12.980,Benjamin
f9O3YtZ2VfI,12.980,13.380,Button
f9O3YtZ2VfI,13.380,14.060,and
f9O3YtZ2VfI,14.060,14.420,the
f9O3YtZ2VfI,14.420,14.600,Curious
f9O3YtZ2VfI,14.600,14.860,Case
f9O3YtZ2VfI,14.860,15.080,of
f9O3YtZ2VfI,15.080,15.320,Benjamin
f9O3YtZ2VfI,15.320,15.760,Button
f9O3YtZ2VfI,15.800,16.360,What
f9O3YtZ2VfI,16.360,16.900,whatever
f9O3YtZ2VfI,16.900,17.180,the
f9O3YtZ2VfI,17.180,17.360,name
f9O3YtZ2VfI,17.360,17.480,is
f9O3YtZ2VfI,17.480,17.620,too
f9O3YtZ2VfI,17.620,17.960,long
f9O3YtZ2VfI,17.960,18.220,the
f9O3YtZ2VfI,18.220,18.440,Curious
f9O3YtZ2VfI,18.440,18.700,Case
f9O3YtZ2VfI,18.700,18.900,of
f9O3YtZ2VfI,18.900,19.120,Benjamin
f9O3YtZ2VfI,19.120,19.380,Button
f9O3YtZ2VfI,19.380,19.600,is
f9O3YtZ2VfI,19.600,19.740,a
f9O3YtZ2VfI,19.740,19.980,David
f9O3YtZ2VfI,19.980,20.440,Fincher
f9O3YtZ2VfI,20.440,20.760,film
f9O3YtZ2VfI,20.760,21.140,starring
f9O3YtZ2VfI,21.140,21.500,Brad
f9O3YtZ2VfI,21.500,21.760,Pitt
f9O3YtZ2VfI,21.760,22.000,as
f9O3YtZ2VfI,22.000,22.100,a
f9O3YtZ2VfI,22.100,22.300,man
f9O3YtZ2VfI,22.300,22.460,Who
f9O3YtZ2VfI,22.460,22.600,was
f9O3YtZ2VfI,22.600,22.880,born
f9O3YtZ2VfI,22.880,23.240,old
f9O3YtZ2VfI,23.240,23.600,and
f9O3YtZ2VfI,23.600,24.080,grows
f9O3YtZ2VfI,24.080,24.720,progressively
f9O3YtZ2VfI,24.720,25.380,younger
f9O3YtZ2VfI,25.380,25.760,as
f9O3YtZ2VfI,25.760,25.960,he
f9O3YtZ2VfI,25.960,26.340,grows
f9O3YtZ2VfI,26.340,26.720,older.
f9O3YtZ2VfI,26.720,27.180,It's
f9O3YtZ2VfI,27.180,27.220,a
f9O3YtZ2VfI,27.220,27.420,very
f9O3YtZ2VfI,27.420,27.900,interesting
f9O3YtZ2VfI,27.900,28.560,idea
f9O3YtZ2VfI,28.560,29.160,and
f9O3YtZ2VfI,29.160,29.460,it
f9O3YtZ2VfI,29.460,29.980,There
f9O3YtZ2VfI,30.010,30.630,looked
f9O3YtZ2VfI,30.630,30.850,like
f9O3YtZ2VfI,30.850,30.950,it
f9O3YtZ2VfI,30.950,31.110,had
f9O3YtZ2VfI,31.110,31.270,a
f9O3YtZ2VfI,31.270,31.470,good
f9O3YtZ2VfI,31.470,31.990,core
f9O3YtZ2VfI,33.210,33.690,But
f9O3YtZ2VfI,35.060,35.540,just
f9O3YtZ2VfI,35.540,36.080,too
f9O3YtZ2VfI,36.080,36.320,many
f9O3YtZ2VfI,36.320,36.780,problems
f9O3YtZ2VfI,36.780,37.020,with
f9O3YtZ2VfI,37.020,37.200,it
f9O3YtZ2VfI,37.200,37.420,The
f9O3YtZ2VfI,37.420,37.600,first
f9O3YtZ2VfI,37.600,37.920,problem
f9O3YtZ2VfI,37.920,38.180,is
f9O3YtZ2VfI,38.180,38.400,that
f9O3YtZ2VfI,38.400,38.600,it's
f9O3YtZ2VfI,38.600,38.780,all
f9O3YtZ2VfI,38.780,39.020,told
f9O3YtZ2VfI,39.020,39.220,in
f9O3YtZ2VfI,39.220,39.680,flashback
f9O3YtZ2VfI,39.680,40.540,from
f9O3YtZ2VfI,40.540,40.720,a
f9O3YtZ2VfI,40.720,40.980,point
f9O3YtZ2VfI,40.980,41.660,just
f9O3YtZ2VfI,41.660,42.040,before
f9O3YtZ2VfI,42.040,42.420,Katrina
f9O3YtZ2VfI,42.420,42.900,hits
f9O3YtZ2VfI,42.900,43.560,New
f9O3YtZ2VfI,43.560,43.860,Orleans
f9O3YtZ2VfI,44.660,45.140,I
f9O3YtZ2VfI,45.140,45.280,didn't
f9O3YtZ2VfI,45.280,45.440,need
f9O3YtZ2VfI,45.440,45.640,any
f9O3YtZ2VfI,45.640,45.740,of
f9O3YtZ2VfI,45.740,45.920,that
f9O3YtZ2VfI,45.920,46.160,crap.
f9O3YtZ2VfI,46.300,46.760,I
f9O3YtZ2VfI,46.760,46.880,don't
f9O3YtZ2VfI,46.880,47.060,need
f9O3YtZ2VfI,47.060,47.180,it
f9O3YtZ2VfI,47.180,47.380,all
f9O3YtZ2VfI,47.380,47.640,told
f9O3YtZ2VfI,47.640,47.780,in
f9O3YtZ2VfI,47.780,48.120,flashback
f9O3YtZ2VfI,48.120,48.360,I
f9O3YtZ2VfI,48.360,48.520,don't
f9O3YtZ2VfI,48.520,48.760,need
f9O3YtZ2VfI,48.760,49.000,the
f9O3YtZ2VfI,49.000,49.380,added
f9O3YtZ2VfI,49.380,49.800,element
f9O3YtZ2VfI,49.800,50.100,of
f9O3YtZ2VfI,50.100,50.520,Katrina.
f9O3YtZ2VfI,50.720,51.200,It
f9O3YtZ2VfI,51.200,51.540,doesn't
f9O3YtZ2VfI,51.540,51.680,it
f9O3YtZ2VfI,51.710,52.710,just
f9O3YtZ2VfI,52.710,53.290,it's
f9O3YtZ2VfI,53.290,53.450,too
f9O3YtZ2VfI,53.450,53.670,much
f9O3YtZ2VfI,53.670,53.950,crap
f9O3YtZ2VfI,53.950,54.130,in
f9O3YtZ2VfI,54.130,54.610,here
f9O3YtZ2VfI,54.610,55.290,The
f9O3YtZ2VfI,55.290,55.790,movie's
f9O3YtZ2VfI,55.790,55.930,too
f9O3YtZ2VfI,55.930,56.250,long.
f9O3YtZ2VfI,56.310,56.390,You
f9O3YtZ2VfI,56.390,56.550,just
f9O3YtZ2VfI,56.550,56.710,need
f9O3YtZ2VfI,56.710,56.830,to
f9O3YtZ2VfI,56.830,56.990,cut
f9O3YtZ2VfI,56.990,57.210,that
f9O3YtZ2VfI,57.210,57.510,out.
f9O3YtZ2VfI,57.530,58.010,Another
f9O3YtZ2VfI,58.010,58.270,thing
f9O3YtZ2VfI,58.270,58.450,is
f9O3YtZ2VfI,58.450,58.610,we
f9O3YtZ2VfI,58.610,58.750,don't
f9O3YtZ2VfI,58.750,58.910,need
f9O3YtZ2VfI,58.910,59.050,his
f9O3YtZ2VfI,59.050,59.330,entire
f9O3YtZ2VfI,59.330,59.670,life
f9O3YtZ2VfI,59.670,60.030,we
f9O3YtZ2VfI,60.030,60.350,did
f9O3YtZ2VfI,60.350,60.670,not
f9O3YtZ2VfI,60.670,61.090,need
f9O3YtZ2VfI,62.050,63.130,the
f9O3YtZ2VfI,63.130,63.710,entire
f9O3YtZ2VfI,63.710,64.330,span's
f9O3YtZ2VfI,64.330,64.490,birth
f9O3YtZ2VfI,64.490,64.670,to
f9O3YtZ2VfI,64.670,64.930,death
f9O3YtZ2VfI,65.510,66.470,just
f9O3YtZ2VfI,66.470,66.630,give
f9O3YtZ2VfI,66.630,66.710,me
f9O3YtZ2VfI,66.710,66.850,a
f9O3YtZ2VfI,66.850,67.030,nice
f9O3YtZ2VfI,67.030,67.650,interesting
f9O3YtZ2VfI,67.650,68.070,chunk
f9O3YtZ2VfI,68.070,68.360,and
f9O3YtZ2VfI,69.380,69.960,Scale
f9O3YtZ2VfI,69.960,70.140,it
f9O3YtZ2VfI,70.140,70.320,down
f9O3YtZ2VfI,70.320,70.440,to
f9O3YtZ2VfI,70.440,70.580,like
f9O3YtZ2VfI,70.580,70.740,two
f9O3YtZ2VfI,70.740,71.140,hours.
f9O3YtZ2VfI,71.140,71.540,This
f9O3YtZ2VfI,71.540,71.900,also
f9O3YtZ2VfI,71.900,72.180,falls
f9O3YtZ2VfI,72.180,72.540,into
f9O3YtZ2VfI,72.540,72.760,the
f9O3YtZ2VfI,72.760,73.020,trend.
f9O3YtZ2VfI,73.020,73.220,It
f9O3YtZ2VfI,73.220,73.460,is
f9O3YtZ2VfI,73.460,73.640,very
f9O3YtZ2VfI,73.640,73.980,popular
f9O3YtZ2VfI,73.980,74.220,these
f9O3YtZ2VfI,74.220,74.520,days
f9O3YtZ2VfI,74.520,74.720,You
f9O3YtZ2VfI,74.720,74.860,do
f9O3YtZ2VfI,74.860,74.960,a
f9O3YtZ2VfI,74.960,75.100,whole
f9O3YtZ2VfI,75.100,75.260,lot
f9O3YtZ2VfI,75.260,75.360,of
f9O3YtZ2VfI,75.360,75.860,CGI
f9O3YtZ2VfI,77.810,78.390,I
f9O3YtZ2VfI,78.390,78.490,mean
f9O3YtZ2VfI,78.490,78.610,if
f9O3YtZ2VfI,78.610,78.790,you're
f9O3YtZ2VfI,78.790,78.790,gonna
f9O3YtZ2VfI,78.790,79.170,do
f9O3YtZ2VfI,79.170,80.090,mostly
f9O3YtZ2VfI,80.090,80.630,CGI
f9O3YtZ2VfI,80.630,81.070,just
f9O3YtZ2VfI,81.070,81.410,make
f9O3YtZ2VfI,81.410,81.550,an
f9O3YtZ2VfI,81.550,81.910,animated
f9O3YtZ2VfI,81.910,82.270,movie
f9O3YtZ2VfI,82.560,83.500,This
f9O3YtZ2VfI,83.500,83.980,looks
f9O3YtZ2VfI,83.980,84.160,like
f9O3YtZ2VfI,84.160,84.260,it
f9O3YtZ2VfI,84.260,84.400,just
f9O3YtZ2VfI,84.400,84.600,has
f9O3YtZ2VfI,84.600,84.800,a
f9O3YtZ2VfI,84.800,85.880,polyurethane
f9O3YtZ2VfI,85.880,86.300,coating
f9O3YtZ2VfI,86.300,86.900,on
f9O3YtZ2VfI,86.900,87.360,it
f9O3YtZ2VfI,87.930,88.610,makes
f9O3YtZ2VfI,88.610,88.770,it
f9O3YtZ2VfI,88.770,88.950,look
f9O3YtZ2VfI,88.950,89.490,too
f9O3YtZ2VfI,89.490,90.350,Too
f9O3YtZ2VfI,90.350,90.710,"good,"
f9O3YtZ2VfI,90.710,91.530,but
f9O3YtZ2VfI,92.200,92.320,don't
f9O3YtZ2VfI,92.320,92.420,get
f9O3YtZ2VfI,92.420,92.520,me
f9O3YtZ2VfI,92.520,92.860,wrong
f9O3YtZ2VfI,93.630,94.030,It's
f9O3YtZ2VfI,94.030,94.150,not
f9O3YtZ2VfI,94.150,94.330,all
f9O3YtZ2VfI,94.330,94.630,bad.
f9O3YtZ2VfI,94.910,94.970,It's
f9O3YtZ2VfI,94.970,95.110,got
f9O3YtZ2VfI,95.110,95.250,two
f9O3YtZ2VfI,95.250,95.330,of
f9O3YtZ2VfI,95.330,95.430,my
f9O3YtZ2VfI,95.430,95.610,favorite
f9O3YtZ2VfI,95.610,96.010,actresses
f9O3YtZ2VfI,96.010,96.230,in
f9O3YtZ2VfI,96.230,96.410,it
f9O3YtZ2VfI,96.410,96.770,Tilda
f9O3YtZ2VfI,96.770,97.170,Swindon
f9O3YtZ2VfI,97.170,97.450,cake
f9O3YtZ2VfI,97.450,98.150,blanchette
f9O3YtZ2VfI,98.150,98.330,Like
f9O3YtZ2VfI,98.330,98.450,I
f9O3YtZ2VfI,98.450,98.630,said
f9O3YtZ2VfI,98.630,98.950,before
f9O3YtZ2VfI,98.950,99.150,it's
f9O3YtZ2VfI,99.150,99.190,a
f9O3YtZ2VfI,99.190,99.390,very
f9O3YtZ2VfI,99.390,99.930,interesting
f9O3YtZ2VfI,99.930,100.430,idea
f9O3YtZ2VfI,100.430,100.670,and
f9O3YtZ2VfI,100.670,100.770,they
f9O3YtZ2VfI,100.770,100.910,did
f9O3YtZ2VfI,100.910,101.030,a
f9O3YtZ2VfI,101.030,101.190,lot
f9O3YtZ2VfI,101.190,101.570,of
f9O3YtZ2VfI,101.570,102.210,good
f9O3YtZ2VfI,102.210,102.550,things
f9O3YtZ2VfI,102.550,102.770,with
f9O3YtZ2VfI,102.770,102.990,it
