id,start,end,word
nzpVDcQ0ywM,4.480,5.060,My
nzpVDcQ0ywM,5.060,5.240,name
nzpVDcQ0ywM,5.240,5.480,is
nzpVDcQ0ywM,5.480,5.660,Gina
nzpVDcQ0ywM,5.660,6.080,and
nzpVDcQ0ywM,6.080,6.320,last
nzpVDcQ0ywM,6.320,6.640,night
nzpVDcQ0ywM,6.640,6.860,I
nzpVDcQ0ywM,6.860,7.460,saw
nzpVDcQ0ywM,7.460,7.780,G
nzpVDcQ0ywM,7.780,7.980,.I.
nzpVDcQ0ywM,8.200,8.300,Joe
nzpVDcQ0ywM,8.300,8.580,The
nzpVDcQ0ywM,8.580,8.820,Rise
nzpVDcQ0ywM,8.820,9.240,of
nzpVDcQ0ywM,9.240,9.780,Cobra.
nzpVDcQ0ywM,10.240,10.400,This
nzpVDcQ0ywM,10.400,10.720,movie
nzpVDcQ0ywM,10.720,10.960,is
nzpVDcQ0ywM,10.960,11.260,directed
nzpVDcQ0ywM,11.260,11.740,by
nzpVDcQ0ywM,11.740,12.100,Stephen
nzpVDcQ0ywM,12.100,12.520,Summers
nzpVDcQ0ywM,12.520,13.220,whose
nzpVDcQ0ywM,13.220,13.560,claim
nzpVDcQ0ywM,13.560,13.720,to
nzpVDcQ0ywM,13.720,13.960,fame
nzpVDcQ0ywM,13.960,14.320,is
nzpVDcQ0ywM,14.320,14.560,the
nzpVDcQ0ywM,14.560,14.920,Mummy
nzpVDcQ0ywM,14.920,15.520,franchise
nzpVDcQ0ywM,15.520,16.660,and
nzpVDcQ0ywM,16.660,16.860,he
nzpVDcQ0ywM,16.860,17.040,really
nzpVDcQ0ywM,17.040,17.340,seems
nzpVDcQ0ywM,17.340,17.580,to
nzpVDcQ0ywM,17.580,17.860,be
nzpVDcQ0ywM,17.860,18.660,channeling
nzpVDcQ0ywM,18.660,18.860,Michael
nzpVDcQ0ywM,18.860,19.220,Bay
nzpVDcQ0ywM,19.220,19.620,in
nzpVDcQ0ywM,19.620,19.820,this
nzpVDcQ0ywM,19.820,20.240,movie.
nzpVDcQ0ywM,20.840,20.940,The
nzpVDcQ0ywM,20.940,21.180,plot
nzpVDcQ0ywM,21.180,21.440,has
nzpVDcQ0ywM,21.440,21.620,the
nzpVDcQ0ywM,21.620,22.140,consistency
nzpVDcQ0ywM,22.140,22.560,of
nzpVDcQ0ywM,22.560,22.820,Swiss
nzpVDcQ0ywM,22.820,23.300,cheese
nzpVDcQ0ywM,23.300,23.660,and
nzpVDcQ0ywM,23.660,23.860,it's
nzpVDcQ0ywM,23.860,24.100,really
nzpVDcQ0ywM,24.100,24.700,glossed
nzpVDcQ0ywM,24.700,24.880,over
nzpVDcQ0ywM,24.880,25.160,with
nzpVDcQ0ywM,25.160,25.400,lots
nzpVDcQ0ywM,25.400,25.600,of
nzpVDcQ0ywM,25.600,25.920,stunning
nzpVDcQ0ywM,25.920,26.420,special
nzpVDcQ0ywM,26.420,26.820,effects
nzpVDcQ0ywM,26.820,27.200,and
nzpVDcQ0ywM,27.200,27.520,big
nzpVDcQ0ywM,27.520,28.300,explosions.
nzpVDcQ0ywM,29.460,29.640,All
nzpVDcQ0ywM,29.640,29.780,in
nzpVDcQ0ywM,29.780,30.020,all
nzpVDcQ0ywM,30.020,30.260,it's
nzpVDcQ0ywM,30.260,30.440,kind
nzpVDcQ0ywM,30.440,30.580,of
nzpVDcQ0ywM,30.580,30.700,a
nzpVDcQ0ywM,30.700,31.220,disappointment
nzpVDcQ0ywM,31.220,31.960,to
nzpVDcQ0ywM,31.960,32.220,any
nzpVDcQ0ywM,32.220,32.340,of
nzpVDcQ0ywM,32.340,32.500,us
nzpVDcQ0ywM,32.500,32.660,who
nzpVDcQ0ywM,32.660,32.800,grew
nzpVDcQ0ywM,32.800,32.980,up
nzpVDcQ0ywM,32.980,33.140,in
nzpVDcQ0ywM,33.140,33.260,the
nzpVDcQ0ywM,33.260,33.720,80s
nzpVDcQ0ywM,33.720,33.860,and
nzpVDcQ0ywM,33.860,33.980,are
nzpVDcQ0ywM,33.980,34.160,used
nzpVDcQ0ywM,34.160,34.360,to
nzpVDcQ0ywM,34.360,34.480,the
nzpVDcQ0ywM,34.480,34.720,toys
nzpVDcQ0ywM,34.720,34.920,in
nzpVDcQ0ywM,34.920,35.040,the
nzpVDcQ0ywM,35.040,35.500,cartoon.
nzpVDcQ0ywM,35.940,36.120,I
nzpVDcQ0ywM,36.120,36.360,feel
nzpVDcQ0ywM,36.360,36.920,like
nzpVDcQ0ywM,36.920,37.600,it
nzpVDcQ0ywM,37.600,37.820,almost
nzpVDcQ0ywM,37.820,38.020,should
nzpVDcQ0ywM,38.020,38.100,have
nzpVDcQ0ywM,38.100,38.260,had
nzpVDcQ0ywM,38.260,38.420,a
nzpVDcQ0ywM,38.420,38.660,G
nzpVDcQ0ywM,38.660,39.120,rating.
nzpVDcQ0ywM,39.760,39.900,It
nzpVDcQ0ywM,39.900,40.060,was
nzpVDcQ0ywM,40.060,40.420,really
nzpVDcQ0ywM,40.420,40.760,kind
nzpVDcQ0ywM,40.760,41.480,of
nzpVDcQ0ywM,42.160,42.920,dumbed
nzpVDcQ0ywM,42.920,43.120,down
nzpVDcQ0ywM,43.120,43.500,for
nzpVDcQ0ywM,43.500,43.820,us
nzpVDcQ0ywM,43.820,44.060,and
nzpVDcQ0ywM,44.060,44.220,I
nzpVDcQ0ywM,44.220,44.440,hate
nzpVDcQ0ywM,44.440,44.700,to
nzpVDcQ0ywM,44.700,44.960,say
nzpVDcQ0ywM,44.960,45.320,that.
nzpVDcQ0ywM,45.780,46.020,I
nzpVDcQ0ywM,46.020,46.200,think
nzpVDcQ0ywM,46.200,46.420,you
nzpVDcQ0ywM,46.420,46.600,will
nzpVDcQ0ywM,46.600,46.900,really
nzpVDcQ0ywM,46.900,47.340,love
nzpVDcQ0ywM,47.340,47.680,this
nzpVDcQ0ywM,47.680,48.100,movie
nzpVDcQ0ywM,48.100,48.720,if
nzpVDcQ0ywM,48.720,49.020,you
nzpVDcQ0ywM,49.020,49.360,are
nzpVDcQ0ywM,49.360,50.540,eight
nzpVDcQ0ywM,51.690,52.210,but
nzpVDcQ0ywM,52.210,52.490,if
nzpVDcQ0ywM,52.490,52.750,you
nzpVDcQ0ywM,52.750,52.950,were
nzpVDcQ0ywM,52.950,53.110,a
nzpVDcQ0ywM,53.110,53.370,child
nzpVDcQ0ywM,53.370,53.610,who
nzpVDcQ0ywM,53.610,53.750,grew
nzpVDcQ0ywM,53.750,53.970,up
nzpVDcQ0ywM,53.970,54.170,in
nzpVDcQ0ywM,54.170,54.410,that
nzpVDcQ0ywM,54.410,54.730,time
nzpVDcQ0ywM,54.730,55.310,period
nzpVDcQ0ywM,55.310,55.790,you're
nzpVDcQ0ywM,55.790,55.990,not
nzpVDcQ0ywM,55.990,56.290,going
nzpVDcQ0ywM,56.290,56.750,to
nzpVDcQ0ywM,56.750,57.370,enjoy
nzpVDcQ0ywM,57.370,57.670,this
nzpVDcQ0ywM,57.670,57.990,movie
nzpVDcQ0ywM,57.990,58.310,very
nzpVDcQ0ywM,58.310,58.610,much
nzpVDcQ0ywM,58.610,59.070,because
nzpVDcQ0ywM,59.070,59.390,they
nzpVDcQ0ywM,59.390,59.670,aren't
nzpVDcQ0ywM,59.670,59.990,playing
nzpVDcQ0ywM,59.990,60.290,to
nzpVDcQ0ywM,60.290,60.570,you.
nzpVDcQ0ywM,60.690,60.890,They're
nzpVDcQ0ywM,60.890,61.150,playing
nzpVDcQ0ywM,61.150,61.410,to
nzpVDcQ0ywM,61.410,61.530,a
nzpVDcQ0ywM,61.530,61.690,new
