id,start,end,word
phBUpBr1hSo,0.500,0.660,Mr.
phBUpBr1hSo,0.760,0.860,Real
phBUpBr1hSo,0.860,1.120,Review
phBUpBr1hSo,1.120,1.380,here
phBUpBr1hSo,1.380,1.800,for
phBUpBr1hSo,1.800,2.580,Transformers
phBUpBr1hSo,2.580,2.980,Dark
phBUpBr1hSo,2.980,3.360,Side
phBUpBr1hSo,3.360,3.660,of
phBUpBr1hSo,3.660,3.880,the
phBUpBr1hSo,3.880,4.240,"Moon,"
phBUpBr1hSo,4.800,5.120,also
phBUpBr1hSo,5.120,5.320,known
phBUpBr1hSo,5.320,5.600,as
phBUpBr1hSo,5.600,6.080,Transformers
phBUpBr1hSo,6.080,6.540,3.
phBUpBr1hSo,7.020,7.240,I
phBUpBr1hSo,7.240,7.340,went
phBUpBr1hSo,7.340,7.500,into
phBUpBr1hSo,7.500,7.640,this
phBUpBr1hSo,7.640,7.800,movie
phBUpBr1hSo,7.800,8.240,"very,"
phBUpBr1hSo,8.300,8.460,very
phBUpBr1hSo,8.460,8.820,excited.
phBUpBr1hSo,8.940,9.040,I'm
phBUpBr1hSo,9.040,9.100,a
phBUpBr1hSo,9.100,9.420,big
phBUpBr1hSo,9.420,10.020,Transformers
phBUpBr1hSo,10.020,10.520,fan.
phBUpBr1hSo,11.020,11.040,I
phBUpBr1hSo,11.040,11.200,think
phBUpBr1hSo,11.200,11.620,the
phBUpBr1hSo,11.620,12.140,movies
phBUpBr1hSo,12.140,12.380,are
phBUpBr1hSo,12.380,12.840,"phenomenal,"
phBUpBr1hSo,13.080,13.360,especially
phBUpBr1hSo,13.360,13.700,that
phBUpBr1hSo,13.700,14.000,first
phBUpBr1hSo,14.000,14.300,one.
phBUpBr1hSo,15.220,15.500,I
phBUpBr1hSo,15.500,15.620,don't
phBUpBr1hSo,15.620,15.800,think
phBUpBr1hSo,15.800,15.940,that
phBUpBr1hSo,15.940,16.080,this
phBUpBr1hSo,16.080,16.240,one
phBUpBr1hSo,16.240,16.380,got
phBUpBr1hSo,16.380,16.540,as
phBUpBr1hSo,16.540,16.820,much
phBUpBr1hSo,16.820,17.300,buzz
phBUpBr1hSo,17.300,18.060,and
phBUpBr1hSo,18.060,18.400,as
phBUpBr1hSo,18.400,18.780,much
phBUpBr1hSo,18.780,19.740,media
phBUpBr1hSo,19.740,20.360,attention
phBUpBr1hSo,20.360,21.220,and
phBUpBr1hSo,21.220,21.620,word
phBUpBr1hSo,21.620,21.740,of
phBUpBr1hSo,21.740,22.040,mouth
phBUpBr1hSo,22.040,22.580,spreading
phBUpBr1hSo,22.580,22.960,around
phBUpBr1hSo,22.960,23.120,and
phBUpBr1hSo,23.120,23.420,stuff.
phBUpBr1hSo,24.000,24.140,I
phBUpBr1hSo,24.140,24.300,didn't
phBUpBr1hSo,24.300,24.520,see
phBUpBr1hSo,24.520,25.140,basically
phBUpBr1hSo,25.140,25.400,any
phBUpBr1hSo,25.400,25.680,commercials
phBUpBr1hSo,25.680,26.000,on
phBUpBr1hSo,26.000,26.200,TV
phBUpBr1hSo,26.200,26.600,for
phBUpBr1hSo,26.600,26.820,it.
phBUpBr1hSo,26.820,27.540,I'm
phBUpBr1hSo,27.540,27.620,a
phBUpBr1hSo,27.620,27.760,big
phBUpBr1hSo,27.760,28.000,internet
phBUpBr1hSo,28.000,28.280,"guy,"
phBUpBr1hSo,28.340,28.420,so
phBUpBr1hSo,28.420,28.520,I
phBUpBr1hSo,28.520,28.680,saw
phBUpBr1hSo,28.680,28.840,a
phBUpBr1hSo,28.840,28.980,lot
phBUpBr1hSo,28.980,29.080,of
phBUpBr1hSo,29.080,29.240,stuff
phBUpBr1hSo,29.240,29.420,on
phBUpBr1hSo,29.420,29.540,the
phBUpBr1hSo,29.540,29.820,"internet,"
phBUpBr1hSo,29.900,30.200,but
phBUpBr1hSo,30.200,31.360,didn't
phBUpBr1hSo,31.360,31.580,see
phBUpBr1hSo,31.580,32.020,as
phBUpBr1hSo,32.020,32.240,much
phBUpBr1hSo,32.240,32.440,as
phBUpBr1hSo,32.440,32.540,I
phBUpBr1hSo,32.540,32.740,did
phBUpBr1hSo,32.740,32.980,for
phBUpBr1hSo,32.980,33.200,the
phBUpBr1hSo,33.200,33.580,second
phBUpBr1hSo,33.580,33.860,and
phBUpBr1hSo,33.860,34.040,the
phBUpBr1hSo,34.040,34.320,first
phBUpBr1hSo,34.320,34.880,one.
phBUpBr1hSo,35.780,35.800,In
phBUpBr1hSo,35.800,36.440,"interviews,"
phBUpBr1hSo,36.900,36.940,Shia
phBUpBr1hSo,36.940,37.260,LaBeouf
phBUpBr1hSo,37.260,37.500,said
phBUpBr1hSo,37.500,37.680,that
phBUpBr1hSo,37.680,37.820,the
phBUpBr1hSo,37.820,38.180,second
phBUpBr1hSo,38.180,38.520,movie
phBUpBr1hSo,38.520,38.980,lacked
phBUpBr1hSo,38.980,39.860,"heart,"
phBUpBr1hSo,40.440,40.780,and
phBUpBr1hSo,40.780,40.940,he
phBUpBr1hSo,40.940,41.120,said
phBUpBr1hSo,41.120,41.280,that
phBUpBr1hSo,41.280,41.460,this
phBUpBr1hSo,41.460,41.720,new
phBUpBr1hSo,41.720,41.880,one
phBUpBr1hSo,41.880,42.080,has
phBUpBr1hSo,42.080,42.260,a
phBUpBr1hSo,42.260,42.480,lot
phBUpBr1hSo,42.480,42.640,of
phBUpBr1hSo,42.640,42.920,"heart,"
