id,start,end,word
tStelxIAHjw,0.260,0.480,"guys,"
tStelxIAHjw,0.700,1.160,it's
tStelxIAHjw,1.160,1.200,Thursday
tStelxIAHjw,1.200,1.680,"again,"
tStelxIAHjw,2.080,2.320,and
tStelxIAHjw,2.320,2.560,I
tStelxIAHjw,2.560,2.740,guess
tStelxIAHjw,2.740,2.960,I'm
tStelxIAHjw,2.960,3.100,the
tStelxIAHjw,3.100,3.300,second
tStelxIAHjw,3.300,3.660,video
tStelxIAHjw,3.660,3.900,this
tStelxIAHjw,3.900,4.200,week.
tStelxIAHjw,5.080,5.240,I
tStelxIAHjw,5.240,5.340,don't
tStelxIAHjw,5.340,5.440,know
tStelxIAHjw,5.440,5.620,what's
tStelxIAHjw,5.620,5.760,going
tStelxIAHjw,5.760,5.960,on
tStelxIAHjw,5.960,6.120,with
tStelxIAHjw,6.120,6.300,John
tStelxIAHjw,6.300,6.440,and
tStelxIAHjw,6.440,6.660,Dan.
tStelxIAHjw,7.300,7.520,I
tStelxIAHjw,7.520,7.640,know
tStelxIAHjw,7.640,7.800,that
tStelxIAHjw,7.800,7.960,John
tStelxIAHjw,7.960,8.180,doesn't
tStelxIAHjw,8.180,8.440,have
tStelxIAHjw,8.440,8.740,internet
tStelxIAHjw,8.740,9.060,right
tStelxIAHjw,9.060,9.380,"now,"
tStelxIAHjw,9.580,9.820,but
tStelxIAHjw,9.820,10.400,Dan
tStelxIAHjw,10.400,11.600,busy
tStelxIAHjw,11.730,11.990,with
tStelxIAHjw,11.990,12.310,school?
tStelxIAHjw,12.830,12.910,I
tStelxIAHjw,12.910,13.010,don't
tStelxIAHjw,13.010,13.330,know.
tStelxIAHjw,14.450,14.510,Ronnie
tStelxIAHjw,14.510,14.770,wanted
tStelxIAHjw,14.770,15.010,to
tStelxIAHjw,15.010,15.150,know
tStelxIAHjw,15.150,15.310,what
tStelxIAHjw,15.310,15.450,was
tStelxIAHjw,15.450,15.570,the
tStelxIAHjw,15.570,15.730,last
tStelxIAHjw,15.730,15.970,movie
tStelxIAHjw,15.970,16.330,we
tStelxIAHjw,16.330,16.830,saw
tStelxIAHjw,16.830,17.030,in
tStelxIAHjw,17.030,17.310,theaters
tStelxIAHjw,17.310,17.970,and
tStelxIAHjw,17.970,18.210,to
tStelxIAHjw,18.210,18.350,give
tStelxIAHjw,18.350,18.490,a
tStelxIAHjw,18.490,18.730,review
tStelxIAHjw,18.730,18.990,for
tStelxIAHjw,18.990,19.310,it.
tStelxIAHjw,20.990,21.170,I
tStelxIAHjw,21.170,21.590,think
tStelxIAHjw,21.590,22.350,the
tStelxIAHjw,22.350,22.670,last
tStelxIAHjw,22.670,22.990,movie
tStelxIAHjw,22.990,23.230,I
tStelxIAHjw,23.230,23.570,saw
tStelxIAHjw,23.570,23.910,in
tStelxIAHjw,23.910,24.390,"theaters,"
tStelxIAHjw,32.930,33.750,I
tStelxIAHjw,33.750,34.030,really
tStelxIAHjw,34.030,34.430,did.
tStelxIAHjw,34.430,35.090,I
tStelxIAHjw,35.090,35.390,think
tStelxIAHjw,35.390,35.590,I'm
