id,start,end,word
tmZoasNr4rU,1.260,1.780,Hi
tmZoasNr4rU,1.780,2.140,"folks,"
tmZoasNr4rU,2.380,3.080,I'd
tmZoasNr4rU,3.080,3.140,like
tmZoasNr4rU,3.140,3.580,to
tmZoasNr4rU,3.580,4.420,quickly
tmZoasNr4rU,4.420,4.740,talk
tmZoasNr4rU,4.740,5.180,about
tmZoasNr4rU,5.180,5.580,Machete.
tmZoasNr4rU,6.510,7.010,I'm
tmZoasNr4rU,7.010,7.330,sorry
tmZoasNr4rU,7.330,7.830,and
tmZoasNr4rU,8.120,9.640,disappointed
tmZoasNr4rU,9.640,9.880,to
tmZoasNr4rU,9.880,10.100,say
tmZoasNr4rU,10.100,10.480,this.
tmZoasNr4rU,11.510,11.970,I
tmZoasNr4rU,11.970,12.390,didn't
tmZoasNr4rU,12.390,12.570,like
tmZoasNr4rU,12.570,12.970,it.
tmZoasNr4rU,13.680,13.920,I
tmZoasNr4rU,13.920,14.420,couldn't
tmZoasNr4rU,14.420,14.580,get
tmZoasNr4rU,14.580,14.800,into
tmZoasNr4rU,14.800,15.040,it.
tmZoasNr4rU,15.280,15.640,I
tmZoasNr4rU,15.640,16.040,actually
tmZoasNr4rU,16.040,16.340,knew
tmZoasNr4rU,16.340,16.840,what
tmZoasNr4rU,16.840,16.980,I
tmZoasNr4rU,16.980,17.100,was
tmZoasNr4rU,17.100,17.440,getting
tmZoasNr4rU,17.440,18.960,myself
tmZoasNr4rU,18.960,19.320,into.
tmZoasNr4rU,19.500,19.540,I
tmZoasNr4rU,19.540,19.780,know
tmZoasNr4rU,19.780,20.420,it's
tmZoasNr4rU,20.420,20.580,not
tmZoasNr4rU,20.580,20.760,meant
tmZoasNr4rU,20.760,20.900,to
tmZoasNr4rU,20.900,21.000,be
tmZoasNr4rU,21.000,21.400,taken
tmZoasNr4rU,21.400,22.700,seriously.
tmZoasNr4rU,26.930,27.730,Maybe
tmZoasNr4rU,27.730,28.530,70s
tmZoasNr4rU,28.530,29.050,exploitation
tmZoasNr4rU,29.050,29.690,movies
tmZoasNr4rU,29.690,29.990,are
tmZoasNr4rU,29.990,30.490,more
tmZoasNr4rU,31.900,33.100,cheesy
tmZoasNr4rU,33.100,33.860,than
tmZoasNr4rU,33.860,35.000,Machete
tmZoasNr4rU,35.000,35.380,and
tmZoasNr4rU,35.380,35.740,maybe
tmZoasNr4rU,35.740,36.440,Planet
tmZoasNr4rU,36.440,36.820,Terror.
tmZoasNr4rU,37.200,37.400,I'm
tmZoasNr4rU,37.400,38.020,not
tmZoasNr4rU,38.020,38.260,sure.
tmZoasNr4rU,38.460,38.480,I'm
tmZoasNr4rU,38.480,38.840,just
tmZoasNr4rU,38.870,39.910,guessing.
tmZoasNr4rU,45.310,45.310,The
tmZoasNr4rU,45.310,45.910,action
tmZoasNr4rU,45.910,46.170,and
