id,start,end,word
v0zCBqDeKcE,0.300,0.620,"guys,"
v0zCBqDeKcE,0.880,1.060,welcome
v0zCBqDeKcE,1.060,1.360,to
v0zCBqDeKcE,1.360,1.700,Tuesday
v0zCBqDeKcE,1.700,2.120,on
v0zCBqDeKcE,2.120,2.360,the
v0zCBqDeKcE,2.360,2.680,Rough
v0zCBqDeKcE,2.680,3.220,Cuts.
v0zCBqDeKcE,3.400,3.620,I
v0zCBqDeKcE,3.620,3.720,just
v0zCBqDeKcE,3.720,3.840,want
v0zCBqDeKcE,3.840,3.940,to
v0zCBqDeKcE,3.940,4.100,say
v0zCBqDeKcE,4.100,4.280,that
v0zCBqDeKcE,4.280,4.480,I
v0zCBqDeKcE,4.480,4.640,love
v0zCBqDeKcE,4.640,4.980,"you,"
v0zCBqDeKcE,6.420,6.820,I
v0zCBqDeKcE,6.820,6.940,have
v0zCBqDeKcE,6.940,7.100,something
v0zCBqDeKcE,7.100,7.280,in
v0zCBqDeKcE,7.280,7.400,my
v0zCBqDeKcE,7.400,7.780,mouth.
v0zCBqDeKcE,8.630,8.830,Hey
v0zCBqDeKcE,8.830,9.130,"guys,"
v0zCBqDeKcE,9.410,9.590,welcome
v0zCBqDeKcE,9.590,9.870,to
v0zCBqDeKcE,9.870,10.090,Tuesday
v0zCBqDeKcE,10.090,10.450,on
v0zCBqDeKcE,10.450,10.690,the
v0zCBqDeKcE,10.690,11.010,Rough
v0zCBqDeKcE,11.010,11.550,Cuts.
v0zCBqDeKcE,12.090,12.430,I'm
v0zCBqDeKcE,12.430,12.550,the
v0zCBqDeKcE,12.550,12.830,Lindsey
v0zCBqDeKcE,12.830,13.170,"Bue,"
v0zCBqDeKcE,13.310,13.570,aka
v0zCBqDeKcE,13.570,14.110,Lindsey
v0zCBqDeKcE,14.110,14.610,"Brace,"
v0zCBqDeKcE,14.810,15.150,here
v0zCBqDeKcE,15.150,15.450,on
v0zCBqDeKcE,15.450,15.870,YouTube.
v0zCBqDeKcE,16.850,17.250,Tuesdays
v0zCBqDeKcE,17.250,17.510,is
v0zCBqDeKcE,17.510,17.770,my
v0zCBqDeKcE,17.770,18.050,"day,"
v0zCBqDeKcE,18.250,18.510,although
v0zCBqDeKcE,18.510,18.870,Brock
v0zCBqDeKcE,18.870,19.670,did
v0zCBqDeKcE,19.670,20.610,a
v0zCBqDeKcE,20.610,20.990,unique
v0zCBqDeKcE,20.990,21.490,movie
v0zCBqDeKcE,21.490,22.290,last
v0zCBqDeKcE,22.290,22.950,Tuesday.
v0zCBqDeKcE,23.150,23.330,But
v0zCBqDeKcE,23.330,23.530,I
v0zCBqDeKcE,23.530,23.650,want
v0zCBqDeKcE,23.650,23.770,to
v0zCBqDeKcE,23.770,23.930,talk
v0zCBqDeKcE,23.930,24.150,to
v0zCBqDeKcE,24.150,24.270,you
v0zCBqDeKcE,24.270,24.430,about
v0zCBqDeKcE,24.430,24.590,a
v0zCBqDeKcE,24.590,24.950,movie
v0zCBqDeKcE,25.110,26.190,called
v0zCBqDeKcE,26.190,26.490,I
v0zCBqDeKcE,26.490,26.670,Love
v0zCBqDeKcE,26.670,26.930,"You,"
v0zCBqDeKcE,27.070,27.250,Philip
v0zCBqDeKcE,27.250,27.690,Morris.
v0zCBqDeKcE,28.390,28.690,"Now,"
v0zCBqDeKcE,28.690,28.870,I
v0zCBqDeKcE,28.870,28.990,had
v0zCBqDeKcE,28.990,29.270,no
v0zCBqDeKcE,29.270,29.770,idea
v0zCBqDeKcE,29.770,30.410,how
v0zCBqDeKcE,30.410,30.610,good
v0zCBqDeKcE,30.610,30.790,this
v0zCBqDeKcE,30.790,31.070,movie
v0zCBqDeKcE,31.070,31.470,was
v0zCBqDeKcE,31.470,31.710,going
v0zCBqDeKcE,31.710,31.850,to
v0zCBqDeKcE,31.850,32.370,be.
v0zCBqDeKcE,33.570,33.990,I
v0zCBqDeKcE,33.990,34.150,shouldn't
v0zCBqDeKcE,34.150,34.350,say
v0zCBqDeKcE,34.350,34.690,it's
v0zCBqDeKcE,34.690,34.990,not
v0zCBqDeKcE,34.990,35.150,like
v0zCBqDeKcE,35.150,35.810,amazingly
v0zCBqDeKcE,35.810,36.430,going
v0zCBqDeKcE,36.430,36.510,to
v0zCBqDeKcE,36.510,36.650,win
v0zCBqDeKcE,36.650,36.910,some
v0zCBqDeKcE,36.910,37.270,awards
v0zCBqDeKcE,37.270,37.530,"good,"
v0zCBqDeKcE,37.610,37.690,but
v0zCBqDeKcE,37.690,37.850,it's
v0zCBqDeKcE,37.850,37.950,such
v0zCBqDeKcE,37.950,38.110,a
v0zCBqDeKcE,38.110,38.490,feel
v0zCBqDeKcE,38.490,39.010,-good
v0zCBqDeKcE,39.010,39.990,comedy
v0zCBqDeKcE,39.990,41.070,based
v0zCBqDeKcE,41.070,41.490,on
v0zCBqDeKcE,41.490,41.650,a
v0zCBqDeKcE,41.650,42.010,real
v0zCBqDeKcE,42.010,42.930,story.
v0zCBqDeKcE,43.870,44.190,It's
v0zCBqDeKcE,44.190,44.510,based
v0zCBqDeKcE,44.510,45.610,on
v0zCBqDeKcE,45.610,46.570,Steven
v0zCBqDeKcE,46.570,47.270,"Russell,"
v0zCBqDeKcE,48.440,48.540,is
v0zCBqDeKcE,48.540,48.660,the
v0zCBqDeKcE,48.660,48.960,guy's
v0zCBqDeKcE,48.960,49.240,real
v0zCBqDeKcE,49.240,49.560,"name,"
v0zCBqDeKcE,49.820,49.920,who
v0zCBqDeKcE,49.920,50.060,was
v0zCBqDeKcE,50.060,50.380,portrayed
v0zCBqDeKcE,50.380,50.600,by
v0zCBqDeKcE,50.600,50.820,Jim
v0zCBqDeKcE,50.820,51.180,Carrey
v0zCBqDeKcE,51.180,51.360,in
v0zCBqDeKcE,51.360,51.480,the
v0zCBqDeKcE,51.480,51.880,movie.
v0zCBqDeKcE,53.000,53.600,It's
v0zCBqDeKcE,53.600,53.880,about
v0zCBqDeKcE,53.880,54.680,a
v0zCBqDeKcE,54.680,54.680,con
v0zCBqDeKcE,54.680,55.280,artist.
v0zCBqDeKcE,56.700,56.920,He
v0zCBqDeKcE,56.920,57.360,turned
v0zCBqDeKcE,57.360,57.700,like
v0zCBqDeKcE,57.700,57.900,he
v0zCBqDeKcE,57.900,58.040,has
v0zCBqDeKcE,58.040,58.660,everything
v0zCBqDeKcE,58.660,59.380,a
v0zCBqDeKcE,59.380,59.560,guy
v0zCBqDeKcE,59.560,59.780,could
v0zCBqDeKcE,59.780,60.040,dream
v0zCBqDeKcE,60.040,60.360,of.
v0zCBqDeKcE,60.420,60.520,He's
v0zCBqDeKcE,60.520,60.620,got
v0zCBqDeKcE,60.620,60.760,a
v0zCBqDeKcE,60.760,61.180,"wife,"
v0zCBqDeKcE,61.380,61.400,a
v0zCBqDeKcE,61.400,61.700,beautiful
v0zCBqDeKcE,61.700,62.320,"daughter,"
v0zCBqDeKcE,62.780,63.500,and
v0zCBqDeKcE,63.500,63.640,then
v0zCBqDeKcE,63.640,63.780,he
v0zCBqDeKcE,63.780,64.260,realizes
v0zCBqDeKcE,64.260,64.640,"that,"
v0zCBqDeKcE,64.840,65.640,"well,"
v0zCBqDeKcE,66.080,66.480,he's
v0zCBqDeKcE,66.480,66.760,gay.
v0zCBqDeKcE,67.740,68.000,And
v0zCBqDeKcE,68.000,68.280,in
v0zCBqDeKcE,68.280,68.460,order
v0zCBqDeKcE,68.460,68.720,to
v0zCBqDeKcE,68.720,68.940,keep
v0zCBqDeKcE,68.940,69.260,up
v0zCBqDeKcE,69.260,69.560,with
v0zCBqDeKcE,69.560,69.840,his
v0zCBqDeKcE,69.840,70.700,extravagant
