id,start,end,word
vyB00TXsimI,7.120,7.120,Hi
vyB00TXsimI,7.120,7.300,this
vyB00TXsimI,7.300,7.580,is
vyB00TXsimI,7.580,7.760,"Gina,"
vyB00TXsimI,8.040,8.180,I'm
vyB00TXsimI,8.180,8.280,gonna
vyB00TXsimI,8.280,8.520,make
vyB00TXsimI,8.520,8.760,this
vyB00TXsimI,8.760,9.020,one
vyB00TXsimI,9.020,9.320,pretty
vyB00TXsimI,9.320,9.660,short
vyB00TXsimI,9.660,9.960,and
vyB00TXsimI,9.960,10.100,I
vyB00TXsimI,10.100,10.520,apologize
vyB00TXsimI,10.520,10.860,that
vyB00TXsimI,10.860,10.980,I've
vyB00TXsimI,10.980,11.120,been
vyB00TXsimI,11.120,11.320,kind
vyB00TXsimI,11.320,11.500,of
vyB00TXsimI,11.500,12.180,neglecting
vyB00TXsimI,12.180,12.340,movie
vyB00TXsimI,12.340,12.780,reviews
vyB00TXsimI,12.780,13.020,lately
vyB00TXsimI,13.020,13.460,because
vyB00TXsimI,13.460,13.660,things
vyB00TXsimI,13.660,13.860,have
vyB00TXsimI,13.860,14.060,been
vyB00TXsimI,14.060,14.680,"really,"
vyB00TXsimI,14.680,15.160,really
vyB00TXsimI,15.160,15.560,busy.
vyB00TXsimI,15.940,16.040,But
vyB00TXsimI,16.040,16.140,I
vyB00TXsimI,16.140,16.280,do
vyB00TXsimI,16.280,16.420,want
vyB00TXsimI,16.420,16.540,to
vyB00TXsimI,16.540,16.680,tell
vyB00TXsimI,16.680,16.920,you
vyB00TXsimI,16.920,17.320,about
vyB00TXsimI,17.320,17.660,Priest.
vyB00TXsimI,18.200,18.480,Priest
vyB00TXsimI,18.480,18.880,stars
vyB00TXsimI,18.880,19.200,Paul
vyB00TXsimI,19.200,19.640,"Bettany,"
vyB00TXsimI,19.920,20.060,it's
vyB00TXsimI,20.060,20.200,based
vyB00TXsimI,20.200,20.400,on
vyB00TXsimI,20.400,20.580,a
vyB00TXsimI,20.580,20.840,graphic
vyB00TXsimI,20.840,21.180,"novel,"
vyB00TXsimI,21.480,21.560,and
vyB00TXsimI,21.560,21.700,it
vyB00TXsimI,21.700,21.980,is
vyB00TXsimI,21.980,22.440,crazy.
vyB00TXsimI,23.560,24.080,Basically
vyB00TXsimI,24.080,24.600,priests
vyB00TXsimI,24.600,25.120,are
vyB00TXsimI,25.120,25.520,trained
vyB00TXsimI,25.520,25.860,to
vyB00TXsimI,25.860,26.080,kill
vyB00TXsimI,26.080,26.600,vampires
