id,start,end,word
wMbj6ajWbic,6.700,7.140,Hey
wMbj6ajWbic,7.140,7.360,"everyone,"
wMbj6ajWbic,7.580,7.700,Matthew
wMbj6ajWbic,7.700,8.240,Robinson
wMbj6ajWbic,8.240,8.840,back
wMbj6ajWbic,8.840,9.460,"again,"
wMbj6ajWbic,10.040,10.140,and
wMbj6ajWbic,10.140,10.260,I'm
wMbj6ajWbic,10.260,10.380,here
wMbj6ajWbic,10.380,10.540,to
wMbj6ajWbic,10.540,10.680,give
wMbj6ajWbic,10.680,10.800,a
wMbj6ajWbic,10.800,11.180,review
wMbj6ajWbic,11.180,11.520,of
wMbj6ajWbic,11.520,11.660,G
wMbj6ajWbic,11.660,11.840,.I.
wMbj6ajWbic,12.220,12.220,Joe
wMbj6ajWbic,12.220,12.760,Rise
wMbj6ajWbic,12.760,13.700,of
wMbj6ajWbic,13.700,13.900,the
wMbj6ajWbic,13.900,14.520,Cobras.
wMbj6ajWbic,17.470,17.910,"Anyway,"
wMbj6ajWbic,18.190,18.430,I
wMbj6ajWbic,18.430,18.730,actually
wMbj6ajWbic,18.730,18.990,missed
wMbj6ajWbic,18.990,19.230,this
wMbj6ajWbic,19.230,19.450,movie
wMbj6ajWbic,19.450,19.630,when
wMbj6ajWbic,19.630,19.690,it
wMbj6ajWbic,19.690,19.810,came
wMbj6ajWbic,19.810,19.990,out
wMbj6ajWbic,19.990,20.130,in
wMbj6ajWbic,20.130,20.330,theaters
wMbj6ajWbic,20.330,20.830,because
wMbj6ajWbic,20.830,21.050,I
wMbj6ajWbic,21.050,21.210,really
wMbj6ajWbic,21.210,21.410,wanted
wMbj6ajWbic,21.410,21.590,to
wMbj6ajWbic,21.590,21.730,see
wMbj6ajWbic,21.730,21.850,it
wMbj6ajWbic,21.850,22.150,"actually,"
wMbj6ajWbic,22.270,22.470,but
wMbj6ajWbic,22.470,22.710,I
wMbj6ajWbic,22.710,22.910,never
wMbj6ajWbic,22.910,23.070,was
wMbj6ajWbic,23.070,23.170,able
wMbj6ajWbic,23.170,23.330,to
wMbj6ajWbic,23.330,23.450,kind
wMbj6ajWbic,23.450,23.570,of
wMbj6ajWbic,23.570,23.890,connect
wMbj6ajWbic,23.890,24.070,and
wMbj6ajWbic,24.070,24.370,actually
wMbj6ajWbic,24.370,24.710,see
wMbj6ajWbic,24.710,24.890,it.
wMbj6ajWbic,25.190,25.450,Some
wMbj6ajWbic,25.450,25.710,things
wMbj6ajWbic,25.710,25.970,fell
wMbj6ajWbic,25.970,26.370,"through,"
wMbj6ajWbic,27.230,27.510,never
wMbj6ajWbic,27.510,27.630,was
wMbj6ajWbic,27.630,27.730,able
wMbj6ajWbic,27.730,27.830,to
wMbj6ajWbic,27.830,27.990,see
wMbj6ajWbic,27.990,28.150,"it,"
wMbj6ajWbic,28.410,28.650,just
wMbj6ajWbic,28.650,28.990,saw
wMbj6ajWbic,28.990,29.110,it
wMbj6ajWbic,29.110,29.390,on
wMbj6ajWbic,29.390,30.070,"DVD,"
wMbj6ajWbic,30.310,30.550,rented
wMbj6ajWbic,30.550,31.010,"it,"
wMbj6ajWbic,31.010,31.590,and
wMbj6ajWbic,31.590,33.430,first
wMbj6ajWbic,33.430,33.690,of
wMbj6ajWbic,33.690,33.850,"all,"
wMbj6ajWbic,34.210,34.230,I
wMbj6ajWbic,34.230,34.710,actually
wMbj6ajWbic,34.710,35.150,was
wMbj6ajWbic,35.150,35.630,never
wMbj6ajWbic,35.630,36.010,a
wMbj6ajWbic,36.010,36.610,huge
wMbj6ajWbic,36.610,37.170,fan
wMbj6ajWbic,37.170,37.350,of
wMbj6ajWbic,37.350,37.490,the
wMbj6ajWbic,37.490,37.630,G
wMbj6ajWbic,37.630,37.790,.I.
wMbj6ajWbic,38.050,38.070,Joe
wMbj6ajWbic,38.070,38.550,TV
wMbj6ajWbic,38.550,38.990,series
wMbj6ajWbic,38.990,39.970,or
wMbj6ajWbic,39.970,40.150,a
wMbj6ajWbic,40.150,40.290,big
wMbj6ajWbic,40.290,40.650,collector
wMbj6ajWbic,40.650,40.850,of
wMbj6ajWbic,40.850,40.950,the
wMbj6ajWbic,40.950,41.250,action
wMbj6ajWbic,41.250,41.710,figures.
wMbj6ajWbic,42.870,43.070,I
wMbj6ajWbic,43.070,43.230,watch
wMbj6ajWbic,43.230,43.410,the
wMbj6ajWbic,43.410,43.630,TV
wMbj6ajWbic,43.630,43.910,show
wMbj6ajWbic,43.910,44.130,every
wMbj6ajWbic,44.130,44.330,once
wMbj6ajWbic,44.330,44.490,in
wMbj6ajWbic,44.490,44.550,a
wMbj6ajWbic,44.550,44.830,"while,"
wMbj6ajWbic,44.990,45.070,but
wMbj6ajWbic,45.070,45.230,I
wMbj6ajWbic,45.230,45.630,wasn't
wMbj6ajWbic,45.630,46.010,big
wMbj6ajWbic,46.010,46.210,on
wMbj6ajWbic,46.210,46.630,it.
wMbj6ajWbic,48.520,48.780,That
wMbj6ajWbic,48.780,48.960,being
wMbj6ajWbic,48.960,49.240,"said,"
wMbj6ajWbic,49.340,49.420,I
wMbj6ajWbic,49.420,49.700,still
wMbj6ajWbic,49.700,49.920,have
wMbj6ajWbic,49.920,50.200,got
wMbj6ajWbic,50.200,50.320,a
