id,start,end,word
yvsjCA6Y5Fc,3.760,4.240,Hey
yvsjCA6Y5Fc,4.240,4.420,little
yvsjCA6Y5Fc,4.420,4.780,"ones,"
yvsjCA6Y5Fc,5.200,5.200,Lee
yvsjCA6Y5Fc,5.200,5.600,"here,"
yvsjCA6Y5Fc,5.780,5.820,and
yvsjCA6Y5Fc,5.820,6.060,I'm
yvsjCA6Y5Fc,6.060,6.220,doing
yvsjCA6Y5Fc,6.220,6.380,a
yvsjCA6Y5Fc,6.380,6.500,movie
yvsjCA6Y5Fc,6.500,6.980,review
yvsjCA6Y5Fc,6.980,7.580,for
yvsjCA6Y5Fc,7.580,7.920,Ridley
yvsjCA6Y5Fc,7.920,8.480,Scott's
yvsjCA6Y5Fc,8.480,8.980,adaptation
yvsjCA6Y5Fc,8.980,9.580,of
yvsjCA6Y5Fc,9.580,10.040,Robin
yvsjCA6Y5Fc,10.040,10.300,"Hood,"
yvsjCA6Y5Fc,10.480,10.780,starring
yvsjCA6Y5Fc,10.780,11.060,Russell
yvsjCA6Y5Fc,11.060,11.600,Crowe.
yvsjCA6Y5Fc,12.820,13.220,First
yvsjCA6Y5Fc,13.220,13.460,thing
yvsjCA6Y5Fc,13.460,13.580,I
yvsjCA6Y5Fc,13.580,13.760,gotta
yvsjCA6Y5Fc,13.760,14.020,"say,"
yvsjCA6Y5Fc,14.140,14.240,right
yvsjCA6Y5Fc,14.240,14.360,off
yvsjCA6Y5Fc,14.360,14.500,the
yvsjCA6Y5Fc,14.500,14.680,"bat,"
yvsjCA6Y5Fc,14.780,14.880,I
yvsjCA6Y5Fc,14.880,15.020,was
yvsjCA6Y5Fc,15.020,15.620,dreading
yvsjCA6Y5Fc,15.620,15.800,going
yvsjCA6Y5Fc,15.800,15.980,in
yvsjCA6Y5Fc,15.980,16.100,to
yvsjCA6Y5Fc,16.100,16.260,see
yvsjCA6Y5Fc,16.260,16.440,this
yvsjCA6Y5Fc,16.440,16.800,movie.
yvsjCA6Y5Fc,17.500,17.680,The
yvsjCA6Y5Fc,17.680,18.040,trailers
yvsjCA6Y5Fc,18.040,18.360,weren't
yvsjCA6Y5Fc,18.360,18.580,really
yvsjCA6Y5Fc,18.580,18.800,doing
yvsjCA6Y5Fc,18.800,19.000,it
yvsjCA6Y5Fc,19.000,19.140,much
yvsjCA6Y5Fc,19.140,19.440,for
yvsjCA6Y5Fc,19.440,19.600,me.
yvsjCA6Y5Fc,19.700,19.700,It
yvsjCA6Y5Fc,19.700,19.840,seemed
yvsjCA6Y5Fc,19.840,19.960,like
yvsjCA6Y5Fc,19.960,20.060,they
yvsjCA6Y5Fc,20.060,20.140,were
yvsjCA6Y5Fc,20.140,20.380,focusing
yvsjCA6Y5Fc,20.380,20.620,too
yvsjCA6Y5Fc,20.620,20.760,much
yvsjCA6Y5Fc,20.760,20.920,on
yvsjCA6Y5Fc,20.920,21.300,epic
yvsjCA6Y5Fc,21.300,21.640,"than,"
yvsjCA6Y5Fc,21.640,21.940,you
yvsjCA6Y5Fc,21.940,22.060,"know,"
yvsjCA6Y5Fc,22.320,22.500,character
yvsjCA6Y5Fc,22.500,23.000,development
yvsjCA6Y5Fc,23.000,23.420,of
yvsjCA6Y5Fc,23.420,23.620,this
yvsjCA6Y5Fc,23.620,24.120,timeless
yvsjCA6Y5Fc,24.120,24.560,tale
yvsjCA6Y5Fc,24.560,24.820,that
yvsjCA6Y5Fc,24.820,24.980,is
yvsjCA6Y5Fc,24.980,25.180,Robin
yvsjCA6Y5Fc,25.180,25.440,Hood.
yvsjCA6Y5Fc,26.100,26.300,And
yvsjCA6Y5Fc,26.300,26.500,also
yvsjCA6Y5Fc,26.500,26.660,just
yvsjCA6Y5Fc,26.660,26.820,these
yvsjCA6Y5Fc,26.820,27.180,reviews
yvsjCA6Y5Fc,27.180,27.460,I
yvsjCA6Y5Fc,27.460,27.580,was
yvsjCA6Y5Fc,27.580,27.880,reading
yvsjCA6Y5Fc,27.880,28.200,about
yvsjCA6Y5Fc,28.200,28.460,it.
yvsjCA6Y5Fc,28.580,28.680,I
yvsjCA6Y5Fc,28.680,28.740,"mean,"
yvsjCA6Y5Fc,28.820,28.860,I
yvsjCA6Y5Fc,28.860,28.980,think
yvsjCA6Y5Fc,28.980,29.100,the
yvsjCA6Y5Fc,29.100,29.220,most
yvsjCA6Y5Fc,29.220,29.620,generous
yvsjCA6Y5Fc,29.620,30.040,review
yvsjCA6Y5Fc,30.040,30.240,I
yvsjCA6Y5Fc,30.240,30.500,read
yvsjCA6Y5Fc,30.500,30.760,gave
yvsjCA6Y5Fc,30.760,30.900,it
yvsjCA6Y5Fc,30.900,31.180,2
yvsjCA6Y5Fc,31.180,31.300,out
yvsjCA6Y5Fc,31.300,31.360,of
yvsjCA6Y5Fc,31.360,31.840,5.
yvsjCA6Y5Fc,31.840,32.360,So
yvsjCA6Y5Fc,32.360,32.500,I
yvsjCA6Y5Fc,32.500,32.920,really
yvsjCA6Y5Fc,32.920,33.340,was
yvsjCA6Y5Fc,33.340,33.700,not
yvsjCA6Y5Fc,33.700,34.080,looking
yvsjCA6Y5Fc,34.080,34.380,forward
yvsjCA6Y5Fc,34.380,34.620,to
yvsjCA6Y5Fc,34.620,34.860,seeing
yvsjCA6Y5Fc,34.860,35.100,this
yvsjCA6Y5Fc,35.100,35.500,movie.
yvsjCA6Y5Fc,36.760,37.240,But
yvsjCA6Y5Fc,37.240,37.660,I
yvsjCA6Y5Fc,37.660,37.840,gotta
yvsjCA6Y5Fc,37.840,38.220,"say,"
yvsjCA6Y5Fc,38.420,38.620,maybe
yvsjCA6Y5Fc,38.620,38.860,my
yvsjCA6Y5Fc,38.860,39.260,expectations
yvsjCA6Y5Fc,39.260,39.620,were
yvsjCA6Y5Fc,39.620,39.900,lowered
yvsjCA6Y5Fc,39.900,40.180,by
yvsjCA6Y5Fc,40.180,40.320,these
